Linux 7.0.0 (hp5) 	06/20/2026 	_x86_64_	(8 CPU)

01:43:43 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:43:44 AM  all    0.75    0.00    9.09    0.00    0.37   10.21    0.00    0.00    0.00   79.58
01:43:44 AM    0    2.97    0.00   35.64    0.00    0.99   38.61    0.00    0.00    0.00   21.78
01:43:44 AM    1    2.94    0.00   36.27    0.00    0.98   38.24    0.00    0.00    0.00   21.57
01:43:44 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:43:44 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:43:44 AM    4    0.00    0.00    0.00    0.00    0.00    2.00    0.00    0.00    0.00   98.00
01:43:44 AM    5    0.00    0.00    0.00    0.00    0.00    1.01    0.00    0.00    0.00   98.99
01:43:44 AM    6    0.00    0.00    0.00    0.00    0.99    0.99    0.00    0.00    0.00   98.02
01:43:44 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

01:43:44 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:43:45 AM  all    0.87    0.00   11.47    0.00    0.37   13.09    0.00    0.00    0.00   74.19
01:43:45 AM    0    2.97    0.00   46.53    0.00    0.99   48.51    0.00    0.00    0.00    0.99
01:43:45 AM    1    4.04    0.00   45.45    0.00    1.01   49.49    0.00    0.00    0.00    0.00
01:43:45 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:43:45 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:43:45 AM    4    0.00    0.00    0.00    0.00    0.99    2.97    0.00    0.00    0.00   96.04
01:43:45 AM    5    0.00    0.00    0.00    0.00    0.00    2.00    0.00    0.00    0.00   98.00
01:43:45 AM    6    0.00    0.00    0.00    0.00    0.00    2.00    0.00    0.00    0.00   98.00
01:43:45 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

01:43:45 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:43:46 AM  all    0.88    0.00   11.67    0.00    0.00   13.05    0.00    0.00    0.00   74.40
01:43:46 AM    0    3.03    0.00   47.47    0.00    0.00   49.49    0.00    0.00    0.00    0.00
01:43:46 AM    1    4.00    0.00   46.00    0.00    0.00   50.00    0.00    0.00    0.00    0.00
01:43:46 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:43:46 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:43:46 AM    4    0.00    0.00    0.00    0.00    0.00    2.02    0.00    0.00    0.00   97.98
01:43:46 AM    5    0.00    0.00    0.00    0.00    0.00    1.01    0.00    0.00    0.00   98.99
01:43:46 AM    6    0.00    0.00    0.00    0.00    0.00    2.00    0.00    0.00    0.00   98.00
01:43:46 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

01:43:46 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:43:47 AM  all    1.00    0.00   11.49    0.00    0.37   13.23    0.00    0.00    0.00   73.91
01:43:47 AM    0    3.96    0.00   45.54    0.00    0.99   49.50    0.00    0.00    0.00    0.00
