Linux 7.0.0 (hp5) 	06/20/2026 	_x86_64_	(8 CPU)

01:24:24 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:24:25 AM  all    0.00    0.00    9.44    0.00    0.50   11.06    0.00    0.00    0.00   79.01
01:24:25 AM    0    0.00    0.00   38.61    0.00    0.99   38.61    0.00    0.00    0.00   21.78
01:24:25 AM    1    0.00    0.00   36.63    0.00    0.99   39.60    0.00    0.00    0.00   22.77
01:24:25 AM    2    0.00    0.00    0.00    0.00    0.99    0.99    0.00    0.00    0.00   98.02
01:24:25 AM    3    0.00    0.00    0.00    0.00    0.00    1.98    0.00    0.00    0.00   98.02
01:24:25 AM    4    0.00    0.00    0.00    0.00    0.00    2.00    0.00    0.00    0.00   98.00
01:24:25 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:24:25 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:24:25 AM    7    0.00    0.00    0.00    0.00    0.99    4.95    0.00    0.00    0.00   94.06

01:24:25 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:24:26 AM  all    0.25    0.00   12.12    0.00    0.25   14.12    0.00    0.00    0.00   73.25
01:24:26 AM    0    1.01    0.00   48.48    0.00    0.00   50.51    0.00    0.00    0.00    0.00
01:24:26 AM    1    0.99    0.00   48.51    0.00    0.99   49.50    0.00    0.00    0.00    0.00
01:24:26 AM    2    0.00    0.00    0.00    0.00    0.00    2.00    0.00    0.00    0.00   98.00
01:24:26 AM    3    0.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   99.00
01:24:26 AM    4    0.00    0.00    0.00    0.00    1.00    3.00    0.00    0.00    0.00   96.00
01:24:26 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:24:26 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:24:26 AM    7    0.00    0.00    0.00    0.00    0.00    7.00    0.00    0.00    0.00   93.00

01:24:26 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:24:27 AM  all    0.00    0.00   12.16    0.00    0.13   14.16    0.00    0.00    0.00   73.56
01:24:27 AM    0    0.00    0.00   48.00    0.00    1.00   51.00    0.00    0.00    0.00    0.00
01:24:27 AM    1    0.00    0.00   50.00    0.00    0.00   50.00    0.00    0.00    0.00    0.00
01:24:27 AM    2    0.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   99.00
01:24:27 AM    3    0.00    0.00    0.00    0.00    0.00    1.01    0.00    0.00    0.00   98.99
01:24:27 AM    4    0.00    0.00    0.00    0.00    0.00    3.96    0.00    0.00    0.00   96.04
01:24:27 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:24:27 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:24:27 AM    7    0.00    0.00    0.00    0.00    0.00    7.07    0.00    0.00    0.00   92.93

01:24:27 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:24:28 AM  all    0.00    0.00   11.99    0.00    0.37   14.23    0.00    0.00    0.00   73.41
01:24:28 AM    0    0.00    0.00   48.00    0.00    1.00   51.00    0.00    0.00    0.00    0.00
01:24:28 AM    1    0.00    0.00   47.52    0.00    0.99   51.49    0.00    0.00    0.00    0.00
01:24:28 AM    2    0.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   99.00
01:24:28 AM    3    0.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   99.00
