Linux 7.0.0 (hp5) 	06/20/2026 	_x86_64_	(8 CPU)

01:12:59 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:13:00 AM  all    0.77    0.00    2.95    0.00    0.00    7.56    0.00    0.00    0.00   88.72
01:13:00 AM    0    3.33    0.00   12.22    0.00    0.00   25.56    0.00    0.00    0.00   58.89
01:13:00 AM    1    3.26    0.00   13.04    0.00    0.00   23.91    0.00    0.00    0.00   59.78
01:13:00 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:13:00 AM    3    0.00    0.00    0.00    0.00    0.00   10.10    0.00    0.00    0.00   89.90
01:13:00 AM    4    0.00    0.00    0.00    0.00    0.00    4.04    0.00    0.00    0.00   95.96
01:13:00 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:13:00 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:13:00 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

01:13:00 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:13:01 AM  all    1.29    0.00    4.24    0.00    0.13   11.57    0.00    0.00    0.00   82.78
01:13:01 AM    0    5.62    0.00   17.98    0.00    0.00   38.20    0.00    0.00    0.00   38.20
01:13:01 AM    1    5.49    0.00   18.68    0.00    1.10   37.36    0.00    0.00    0.00   37.36
01:13:01 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:13:01 AM    3    0.00    0.00    0.00    0.00    0.00   16.16    0.00    0.00    0.00   83.84
01:13:01 AM    4    0.00    0.00    0.00    0.00    0.00    6.06    0.00    0.00    0.00   93.94
01:13:01 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:13:01 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:13:01 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

01:13:01 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:13:02 AM  all    1.54    0.00    4.74    0.00    0.13   11.40    0.00    0.00    0.00   82.20
01:13:02 AM    0    6.59    0.00   20.88    0.00    1.10   35.16    0.00    0.00    0.00   36.26
01:13:02 AM    1    6.67    0.00   20.00    0.00    0.00   37.78    0.00    0.00    0.00   35.56
01:13:02 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:13:02 AM    3    0.00    0.00    0.00    0.00    0.00   17.00    0.00    0.00    0.00   83.00
01:13:02 AM    4    0.00    0.00    0.00    0.00    0.00    6.00    0.00    0.00    0.00   94.00
01:13:02 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:13:02 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:13:02 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

01:13:02 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:13:03 AM  all    1.29    0.00    4.50    0.13    0.13   11.18    0.00    0.00    0.00   82.78
01:13:03 AM    0    5.62    0.00   19.10    1.12    0.00   37.08    0.00    0.00    0.00   37.08
01:13:03 AM    1    5.62    0.00   20.22    0.00    0.00   35.96    0.00    0.00    0.00   38.20
01:13:03 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:13:03 AM    3    0.00    0.00    0.00    0.00    0.00   16.16    0.00    0.00    0.00   83.84
01:13:03 AM    4    0.00    0.00    0.00    0.00    0.99    5.94    0.00    0.00    0.00   93.07
01:13:03 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:13:03 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:13:03 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

01:13:03 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:13:04 AM  all    1.16    0.00    4.62    0.00    0.13   11.55    0.00    0.00    0.00   82.54
01:13:04 AM    0    5.56    0.00   18.89    0.00    0.00   38.89    0.00    0.00    0.00   36.67
01:13:04 AM    1    4.49    0.00   21.35    0.00    1.12   35.96    0.00    0.00    0.00   37.08
