Linux 7.0.0 (hp5) 	06/20/2026 	_x86_64_	(8 CPU)

12:49:04 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:49:05 AM  all    0.88    0.00   12.00    0.00    0.25    6.62    0.00    0.00    0.00   80.25
12:49:05 AM    0    4.00    0.00   48.00    0.00    1.00   25.00    0.00    0.00    0.00   22.00
12:49:05 AM    1    3.00    0.00   48.00    0.00    1.00   26.00    0.00    0.00    0.00   22.00
12:49:05 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:49:05 AM    3    0.00    0.00    0.00    0.00    0.00    2.02    0.00    0.00    0.00   97.98
12:49:05 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:49:05 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:49:05 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:49:05 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

12:49:05 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:49:06 AM  all    1.13    0.00   15.52    0.00    0.13    8.64    0.00    0.00    0.00   74.59
12:49:06 AM    0    5.05    0.00   62.63    0.00    0.00   32.32    0.00    0.00    0.00    0.00
12:49:06 AM    1    4.00    0.00   62.00    0.00    1.00   33.00    0.00    0.00    0.00    0.00
12:49:06 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:49:06 AM    3    0.00    0.00    0.00    0.00    0.00    4.00    0.00    0.00    0.00   96.00
12:49:06 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:49:06 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:49:06 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:49:06 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

