pair,scenario,cell,rep,proto,sysctl,dur_s,scenario_iface,scenario_v4,mbps,retransmits,recv_sys_pct,recv_soft_pct,rps,rfs,cake,flower,kernel_has_sysctl,status
pi5-pair,eth_ip,cell-01,1,tcp,0,60,end0,172.16.40.174,936.4,0,2.97,6.45,1,1,1,1,yes,ok
pi5-pair,eth_ip,cell-01,2,tcp,0,60,end0,172.16.40.174,936.4,0,2.94,6.47,1,1,1,1,yes,ok
pi5-pair,eth_ip,cell-01,3,tcp,0,60,end0,172.16.40.174,936.4,0,2.96,6.44,1,1,1,1,yes,ok
pi5-pair,eth_ip,cell-02,1,tcp,1,60,end0,172.16.40.174,936.4,0,2.96,6.46,1,1,1,1,yes,ok
pi5-pair,eth_ip,cell-02,2,tcp,1,60,end0,172.16.40.174,936.4,0,3.06,6.50,1,1,1,1,yes,ok
pi5-pair,eth_ip,cell-02,3,tcp,1,60,end0,172.16.40.174,936.4,0,2.93,6.49,1,1,1,1,yes,ok
pi5-pair,eth_ip,cell-03,1,udp,0,60,end0,172.16.40.174,947.9,0,3.42,13.35,1,1,1,1,yes,ok
pi5-pair,eth_ip,cell-03,2,udp,0,60,end0,172.16.40.174,947.9,0,3.63,13.31,1,1,1,1,yes,ok
pi5-pair,eth_ip,cell-03,3,udp,0,60,end0,172.16.40.174,947.9,0,3.53,13.32,1,1,1,1,yes,ok
pi5-pair,eth_ip,cell-04,1,udp,1,60,end0,172.16.40.174,947.9,25,3.62,13.32,1,1,1,1,yes,ok
pi5-pair,eth_ip,cell-04,2,udp,1,60,end0,172.16.40.174,947.9,0,3.68,13.32,1,1,1,1,yes,ok
pi5-pair,eth_ip,cell-04,3,udp,1,60,end0,172.16.40.174,947.9,17,3.63,14.06,1,1,1,1,yes,ok
pi5-pair,vlan,cell-01,1,tcp,0,60,vlan100,10.10.40.5,939.0,0,1.21,4.86,1,1,1,1,yes,ok
pi5-pair,vlan,cell-01,2,tcp,0,60,vlan100,10.10.40.5,938.9,0,1.17,4.87,1,1,1,1,yes,ok
pi5-pair,vlan,cell-01,3,tcp,0,60,vlan100,10.10.40.5,939.0,0,1.24,4.81,1,1,1,1,yes,ok
pi5-pair,vlan,cell-02,1,tcp,1,60,vlan100,10.10.40.5,939.0,0,1.21,4.83,1,1,1,1,yes,ok
pi5-pair,vlan,cell-02,2,tcp,1,60,vlan100,10.10.40.5,938.9,0,1.09,4.87,1,1,1,1,yes,ok
pi5-pair,vlan,cell-02,3,tcp,1,60,vlan100,10.10.40.5,938.9,0,1.15,4.86,1,1,1,1,yes,ok
pi5-pair,vlan,cell-03,1,udp,0,60,vlan100,10.10.40.5,944.9,0,3.65,13.91,1,1,1,1,yes,ok
pi5-pair,vlan,cell-03,2,udp,0,60,vlan100,10.10.40.5,944.9,38,3.40,13.93,1,1,1,1,yes,ok
pi5-pair,vlan,cell-03,3,udp,0,60,vlan100,10.10.40.5,944.9,0,3.56,13.92,1,1,1,1,yes,ok
pi5-pair,vlan,cell-04,1,udp,1,60,vlan100,10.10.40.5,944.9,0,3.57,13.92,1,1,1,1,yes,ok
pi5-pair,vlan,cell-04,2,udp,1,60,vlan100,10.10.40.5,944.9,0,3.50,13.92,1,1,1,1,yes,ok
pi5-pair,vlan,cell-04,3,udp,1,60,vlan100,10.10.40.5,944.9,0,3.53,13.94,1,1,1,1,yes,ok
pi5-pair,qinq,cell-01,1,tcp,0,60,cvlan100,10.10.41.5,936.2,0,0.86,5.60,1,1,1,1,yes,ok
pi5-pair,qinq,cell-01,2,tcp,0,60,cvlan100,10.10.41.5,936.2,0,0.85,5.59,1,1,1,1,yes,ok
pi5-pair,qinq,cell-01,3,tcp,0,60,cvlan100,10.10.41.5,936.2,0,0.96,5.58,1,1,1,1,yes,ok
pi5-pair,qinq,cell-02,1,tcp,1,60,cvlan100,10.10.41.5,936.2,0,0.97,5.58,1,1,1,1,yes,ok
pi5-pair,qinq,cell-02,2,tcp,1,60,cvlan100,10.10.41.5,936.2,0,0.92,5.60,1,1,1,1,yes,ok
pi5-pair,qinq,cell-02,3,tcp,1,60,cvlan100,10.10.41.5,936.2,0,0.93,5.59,1,1,1,1,yes,ok
pi5-pair,qinq,cell-03,1,udp,0,60,cvlan100,10.10.41.5,941.9,0,3.05,15.72,1,1,1,1,yes,ok
pi5-pair,qinq,cell-03,2,udp,0,60,cvlan100,10.10.41.5,941.9,0,3.05,15.66,1,1,1,1,yes,ok
pi5-pair,qinq,cell-03,3,udp,0,60,cvlan100,10.10.41.5,941.9,0,2.96,15.70,1,1,1,1,yes,ok
pi5-pair,qinq,cell-04,1,udp,1,60,cvlan100,10.10.41.5,941.9,0,3.07,15.70,1,1,1,1,yes,ok
pi5-pair,qinq,cell-04,2,udp,1,60,cvlan100,10.10.41.5,941.9,45,2.98,15.72,1,1,1,1,yes,ok
pi5-pair,qinq,cell-04,3,udp,1,60,cvlan100,10.10.41.5,941.9,0,3.08,15.72,1,1,1,1,yes,ok
pi5-pair,vxlan,cell-01,1,tcp,0,60,vxlan10,192.168.100.2,908.9,0,1.03,5.60,1,1,1,1,yes,ok
pi5-pair,vxlan,cell-01,2,tcp,0,60,vxlan10,192.168.100.2,908.9,0,1.01,5.63,1,1,1,1,yes,ok
pi5-pair,vxlan,cell-01,3,tcp,0,60,vxlan10,192.168.100.2,908.9,0,1.03,5.58,1,1,1,1,yes,ok
pi5-pair,vxlan,cell-02,1,tcp,1,60,vxlan10,192.168.100.2,908.9,0,1.02,5.69,1,1,1,1,yes,ok
