Linux 7.0.9 (hp3) 	06/20/2026 	_x86_64_	(8 CPU)

03:12:46 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:12:47 AM  all    0.00    0.00    9.59    0.12    0.25   32.25    0.00    0.00    0.00   57.78
03:12:47 AM    0    0.00    0.00    0.00    1.00    1.00   75.00    0.00    0.00    0.00   23.00
03:12:47 AM    1    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
03:12:47 AM    2    0.00    0.00    5.00    0.00    0.00   13.00    0.00    0.00    0.00   82.00
03:12:47 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:12:47 AM    4    0.00    0.00   16.83    0.00    0.00   13.86    0.00    0.00    0.00   69.31
03:12:47 AM    5    0.00    0.00   17.82    0.00    0.00   14.85    0.00    0.00    0.00   67.33
03:12:47 AM    6    0.00    0.00   15.84    0.00    0.00   15.84    0.00    0.00    0.00   68.32
03:12:47 AM    7    0.00    0.00   21.21    0.00    0.00   27.27    0.00    0.00    0.00   51.52

03:12:47 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:12:48 AM  all    0.00    0.00   11.62    0.00    0.50   34.38    0.00    0.00    0.00   53.50
03:12:48 AM    0    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
03:12:48 AM    1    0.00    0.00    0.00    0.00    1.01   94.95    0.00    0.00    0.00    4.04
03:12:48 AM    2    0.00    0.00   22.77    0.00    0.00   13.86    0.00    0.00    0.00   63.37
03:12:48 AM    3    0.00    0.00   25.74    0.00    0.00   25.74    0.00    0.00    0.00   48.51
03:12:48 AM    4    0.00    0.00   19.00    0.00    1.00   17.00    0.00    0.00    0.00   63.00
03:12:48 AM    5    0.00    0.00   20.00    0.00    1.00   15.00    0.00    0.00    0.00   64.00
03:12:48 AM    6    0.00    0.00    5.05    0.00    0.00    9.09    0.00    0.00    0.00   85.86
03:12:48 AM    7    0.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   99.00

