Linux 7.0.0 (hp5) 	06/20/2026 	_x86_64_	(8 CPU)

03:50:57 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:50:58 AM  all    0.00    0.00   12.22    0.00    0.37   31.05    0.00    0.00    0.00   56.36
03:50:58 AM    0    0.00    0.00    0.00    0.00    0.99   98.02    0.00    0.00    0.00    0.99
03:50:58 AM    1    0.00    0.00    0.00    0.00    0.99   99.01    0.00    0.00    0.00    0.00
03:50:58 AM    2    0.00    0.00   24.75    0.00    0.99    7.92    0.00    0.00    0.00   66.34
03:50:58 AM    3    0.00    0.00   28.28    0.00    0.00   15.15    0.00    0.00    0.00   56.57
03:50:58 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:50:58 AM    5    0.00    0.00   19.00    0.00    0.00   10.00    0.00    0.00    0.00   71.00
03:50:58 AM    6    0.00    0.00    9.00    0.00    0.00    5.00    0.00    0.00    0.00   86.00
03:50:58 AM    7    0.00    0.00   17.00    0.00    0.00   12.00    0.00    0.00    0.00   71.00

03:50:58 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:50:59 AM  all    0.00    0.00    8.51    0.00    0.13   24.53    0.00    0.00    0.00   66.83
03:50:59 AM    0    0.00    0.00    0.00    0.00    0.00   31.00    0.00    0.00    0.00   69.00
03:50:59 AM    1    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00
03:50:59 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:50:59 AM    3    0.00    0.00   20.00    0.00    0.00   19.00    0.00    0.00    0.00   61.00
03:50:59 AM    4    0.00    0.00   12.00    0.00    0.00   13.00    0.00    0.00    0.00   75.00
03:50:59 AM    5    0.00    0.00   12.12    0.00    0.00   15.15    0.00    0.00    0.00   72.73
03:50:59 AM    6    0.00    0.00    9.00    0.00    0.00    6.00    0.00    0.00    0.00   85.00
03:50:59 AM    7    0.00    0.00   14.85    0.00    0.99   12.87    0.00    0.00    0.00   71.29

03:50:59 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:51:00 AM  all    0.00    0.00   11.11    0.00    0.37   26.47    0.00    0.00    0.00   62.05
03:51:00 AM    0    0.00    0.00    0.00    0.00    0.99   53.47    0.00    0.00    0.00   45.54
03:51:00 AM    1    0.00    0.00    0.00    0.00    0.99   99.01    0.00    0.00    0.00    0.00
03:51:00 AM    2    0.00    0.00    5.00    0.00    0.00    5.00    0.00    0.00    0.00   90.00
03:51:00 AM    3    0.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00   96.00
03:51:00 AM    4    0.00    0.00   38.38    0.00    0.00   25.25    0.00    0.00    0.00   36.36
03:51:00 AM    5    0.00    0.00   17.00    0.00    1.00   20.00    0.00    0.00    0.00   62.00
03:51:00 AM    6    0.00    0.00   26.00    0.00    0.00    7.00    0.00    0.00    0.00   67.00
