Linux 7.0.0 (hp5) 	06/20/2026 	_x86_64_	(8 CPU)

04:33:46 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:33:47 AM  all    0.00    0.00   11.50    0.00    0.00   22.50    0.00    0.00    0.00   66.00
04:33:47 AM    0    0.00    0.00    0.00    0.00    0.00   71.00    0.00    0.00    0.00   29.00
04:33:47 AM    1    0.00    0.00    0.00    0.00    0.00   58.59    0.00    0.00    0.00   41.41
04:33:47 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:47 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:47 AM    4    0.00    0.00   36.36    0.00    0.00   26.26    0.00    0.00    0.00   37.37
04:33:47 AM    5    0.00    0.00   24.00    0.00    0.00   12.00    0.00    0.00    0.00   64.00
04:33:47 AM    6    0.00    0.00   32.32    0.00    0.00   13.13    0.00    0.00    0.00   54.55
04:33:47 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

04:33:47 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:33:48 AM  all    0.00    0.00   12.28    0.00    0.25   28.45    0.00    0.00    0.00   59.02
04:33:48 AM    0    0.00    0.00    0.00    0.00    0.99   90.10    0.00    0.00    0.00    8.91
04:33:48 AM    1    0.00    0.00    0.00    0.00    0.99   99.01    0.00    0.00    0.00    0.00
04:33:48 AM    2    0.00    0.00    7.07    0.00    0.00    8.08    0.00    0.00    0.00   84.85
04:33:48 AM    3    0.00    0.00   32.32    0.00    0.00   17.17    0.00    0.00    0.00   50.51
04:33:48 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:48 AM    5    0.00    0.00   38.38    0.00    0.00    0.00    0.00    0.00    0.00   61.62
04:33:48 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:48 AM    7    0.00    0.00   21.21    0.00    0.00   11.11    0.00    0.00    0.00   67.68

04:33:48 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:33:49 AM  all    0.12    0.00   13.51    0.00    0.12   26.15    0.00    0.00    0.00   60.10
04:33:49 AM    0    0.99    0.00    1.98    0.00    0.00   79.21    0.00    0.00    0.00   17.82
04:33:49 AM    1    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00
04:33:49 AM    2    0.00    0.00   10.89    0.00    0.00    6.93    0.00    0.00    0.00   82.18
04:33:49 AM    3    0.00    0.00   10.89    0.00    0.00    5.94    0.00    0.00    0.00   83.17
04:33:49 AM    4    0.00    0.00   64.36    0.00    0.00    8.91    0.00    0.00    0.00   26.73
04:33:49 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:49 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:49 AM    7    0.00    0.00   19.80    0.00    0.99    8.91    0.00    0.00    0.00   70.30

04:33:49 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:33:50 AM  all    0.00    0.00   11.25    0.00    0.12   26.50    0.00    0.00    0.00   62.12
04:33:50 AM    0    0.00    0.00    0.00    0.00    0.00   73.00    0.00    0.00    0.00   27.00
04:33:50 AM    1    0.00    0.00    0.00    0.00    0.00   75.00    0.00    0.00    0.00   25.00
04:33:50 AM    2    0.00    0.00   10.00    0.00    0.00    5.00    0.00    0.00    0.00   85.00
04:33:50 AM    3    0.00    0.00   45.00    0.00    1.00   30.00    0.00    0.00    0.00   24.00
04:33:50 AM    4    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
04:33:50 AM    5    0.00    0.00   14.00    0.00    0.00   16.00    0.00    0.00    0.00   70.00
04:33:50 AM    6    0.00    0.00   17.17    0.00    0.00   13.13    0.00    0.00    0.00   69.70
04:33:50 AM    7    0.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00

04:33:50 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:33:51 AM  all    0.00    0.00   11.19    0.00    0.37   26.37    0.00    0.00    0.00   62.06
04:33:51 AM    0    0.00    0.00    0.00    0.00    0.99   99.01    0.00    0.00    0.00    0.00
04:33:51 AM    1    0.00    0.00    0.00    0.00    1.00   66.00    0.00    0.00    0.00   33.00
04:33:51 AM    2    0.00    0.00   12.87    0.00    0.00    7.92    0.00    0.00    0.00   79.21
04:33:51 AM    3    0.00    0.00   30.30    0.00    0.00   22.22    0.00    0.00    0.00   47.47
04:33:51 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:51 AM    5    0.00    0.00   13.86    0.00    0.99   14.85    0.00    0.00    0.00   70.30
04:33:51 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:51 AM    7    0.00    0.00   32.67    0.00    0.00    0.99    0.00    0.00    0.00   66.34

04:33:51 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:33:52 AM  all    0.00    0.00   13.88    0.00    0.12   28.12    0.00    0.00    0.00   57.88
04:33:52 AM    0    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00
04:33:52 AM    1    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00
04:33:52 AM    2    0.00    0.00   27.27    0.00    0.00   14.14    0.00    0.00    0.00   58.59
04:33:52 AM    3    0.00    0.00   51.00    0.00    0.00    1.00    0.00    0.00    0.00   48.00
04:33:52 AM    4    0.00    0.00   22.77    0.00    0.99    9.90    0.00    0.00    0.00   66.34
04:33:52 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:52 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:52 AM    7    0.00    0.00   10.00    0.00    0.00    0.00    0.00    0.00    0.00   90.00

