Linux 7.0.0 (hp5) 	06/20/2026 	_x86_64_	(8 CPU)

04:26:48 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:26:49 AM  all    0.00    0.00    8.93    0.00    0.13   24.03    0.00    0.00    0.00   66.92
04:26:49 AM    0    0.00    0.00    0.00    0.00    0.00   56.57    0.00    0.00    0.00   43.43
04:26:49 AM    1    0.00    0.00    0.00    0.00    0.00   75.76    0.00    0.00    0.00   24.24
04:26:49 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:26:49 AM    3    0.00    0.00   23.23    0.00    0.00   17.17    0.00    0.00    0.00   59.60
04:26:49 AM    4    0.00    0.00   14.00    0.00    1.00   13.00    0.00    0.00    0.00   72.00
04:26:49 AM    5    0.00    0.00    5.05    0.00    0.00    4.04    0.00    0.00    0.00   90.91
04:26:49 AM    6    0.00    0.00    1.00    0.00    0.00    1.00    0.00    0.00    0.00   98.00
04:26:49 AM    7    0.00    0.00   28.28    0.00    0.00   25.25    0.00    0.00    0.00   46.46

04:26:49 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:26:50 AM  all    0.00    0.00    8.76    0.00    0.13   21.15    0.00    0.00    0.00   69.96
04:26:50 AM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:26:50 AM    1    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00
04:26:50 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:26:50 AM    3    0.00    0.00    9.00    0.00    0.00    8.00    0.00    0.00    0.00   83.00
04:26:50 AM    4    0.00    0.00   12.00    0.00    0.00   15.00    0.00    0.00    0.00   73.00
04:26:50 AM    5    0.00    0.00   10.00    0.00    0.00    8.00    0.00    0.00    0.00   82.00
04:26:50 AM    6    0.00    0.00   26.00    0.00    1.00   26.00    0.00    0.00    0.00   47.00
04:26:50 AM    7    0.00    0.00   13.13    0.00    0.00   12.12    0.00    0.00    0.00   74.75

04:26:50 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:26:51 AM  all    0.00    0.00   10.47    0.00    0.25   26.93    0.00    0.00    0.00   62.34
04:26:51 AM    0    0.00    0.00    0.00    0.00    0.99   62.38    0.00    0.00    0.00   36.63
04:26:51 AM    1    0.00    0.00    0.00    0.00    0.99   99.01    0.00    0.00    0.00    0.00
04:26:51 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:26:51 AM    3    0.00    0.00   25.25    0.00    0.00    8.08    0.00    0.00    0.00   66.67
