Linux 7.0.0 (hp5) 	06/20/2026 	_x86_64_	(8 CPU)

04:18:42 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:18:43 AM  all    0.00    0.00   11.21    0.00    0.12   26.15    0.00    0.00    0.00   62.52
04:18:43 AM    0    0.00    0.00    0.00    0.00    1.00   70.00    0.00    0.00    0.00   29.00
04:18:43 AM    1    0.00    0.00    0.00    0.00    0.00   80.20    0.00    0.00    0.00   19.80
04:18:43 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:18:43 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:18:43 AM    4    0.00    0.00   35.64    0.00    0.00   25.74    0.00    0.00    0.00   38.61
04:18:43 AM    5    0.00    0.00   32.00    0.00    0.00   15.00    0.00    0.00    0.00   53.00
04:18:43 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:18:43 AM    7    0.00    0.00   22.00    0.00    0.00   18.00    0.00    0.00    0.00   60.00

04:18:43 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:18:44 AM  all    0.00    0.00   11.78    0.00    0.25   25.81    0.00    0.00    0.00   62.16
04:18:44 AM    0    0.00    0.00    1.00    0.00    0.00   97.00    0.00    0.00    0.00    2.00
04:18:44 AM    1    0.00    0.00    1.00    0.00    1.00   68.00    0.00    0.00    0.00   30.00
04:18:44 AM    2    0.00    0.00   59.41    0.00    0.99   14.85    0.00    0.00    0.00   24.75
04:18:44 AM    3    0.00    0.00   18.18    0.00    0.00   14.14    0.00    0.00    0.00   67.68
04:18:44 AM    4    0.00    0.00    7.00    0.00    0.00    6.00    0.00    0.00    0.00   87.00
04:18:44 AM    5    0.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   99.00
04:18:44 AM    6    0.00    0.00    7.07    0.00    0.00    5.05    0.00    0.00    0.00   87.88
04:18:44 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

04:18:44 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:18:45 AM  all    0.00    0.00   12.05    0.00    0.25   21.24    0.00    0.00    0.00   66.46
04:18:45 AM    0    0.00    0.00    0.00    0.00    0.99   34.65    0.00    0.00    0.00   64.36
