Linux 7.0.0 (hp5) 	06/20/2026 	_x86_64_	(8 CPU)

03:59:04 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:59:05 AM  all    0.00    0.00    9.80    0.00    0.37   26.80    0.00    0.00    0.00   63.03
03:59:05 AM    0    0.00    0.00    0.00    0.00    0.00   83.17    0.00    0.00    0.00   16.83
03:59:05 AM    1    0.00    0.00    0.00    0.00    0.00   70.30    0.00    0.00    0.00   29.70
03:59:05 AM    2    0.00    0.00   18.00    0.00    0.00   19.00    0.00    0.00    0.00   63.00
03:59:05 AM    3    0.00    0.00    0.99    0.00    0.00    0.99    0.00    0.00    0.00   98.02
03:59:05 AM    4    0.00    0.00   19.80    0.00    0.99   18.81    0.00    0.00    0.00   60.40
03:59:05 AM    5    0.00    0.00   16.00    0.00    1.00   13.00    0.00    0.00    0.00   70.00
03:59:05 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:59:05 AM    7    0.00    0.00   23.76    0.00    0.99    8.91    0.00    0.00    0.00   66.34

03:59:05 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:59:06 AM  all    0.00    0.00   12.11    0.00    0.25   28.21    0.00    0.00    0.00   59.43
03:59:06 AM    0    0.00    0.00    0.00    0.00    1.00   73.00    0.00    0.00    0.00   26.00
03:59:06 AM    1    0.00    0.00    0.00    0.00    0.99   92.08    0.00    0.00    0.00    6.93
03:59:06 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:59:06 AM    3    0.00    0.00   14.14    0.00    0.00   12.12    0.00    0.00    0.00   73.74
03:59:06 AM    4    0.00    0.00   22.00    0.00    0.00   20.00    0.00    0.00    0.00   58.00
03:59:06 AM    5    0.00    0.00    8.91    0.00    0.00    6.93    0.00    0.00    0.00   84.16
03:59:06 AM    6    0.00    0.00   28.00    0.00    0.00    9.00    0.00    0.00    0.00   63.00
03:59:06 AM    7    0.00    0.00   24.00    0.00    0.00   12.00    0.00    0.00    0.00   64.00

03:59:06 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:59:07 AM  all    0.00    0.00   10.23    0.00    0.00   23.86    0.00    0.00    0.00   65.91
03:59:07 AM    0    0.00    0.00    0.00    0.00    0.00   73.74    0.00    0.00    0.00   26.26
03:59:07 AM    1    0.00    0.00    0.00    0.00    0.00   54.55    0.00    0.00    0.00   45.45
03:59:07 AM    2    0.00    0.00   16.16    0.00    0.00   12.12    0.00    0.00    0.00   71.72
03:59:07 AM    3    0.00    0.00   16.16    0.00    0.00   11.11    0.00    0.00    0.00   72.73
03:59:07 AM    4    0.00    0.00   25.51    0.00    0.00   19.39    0.00    0.00    0.00   55.10
03:59:07 AM    5    0.00    0.00    9.09    0.00    0.00    7.07    0.00    0.00    0.00   83.84
03:59:07 AM    6    0.00    0.00   15.15    0.00    0.00   13.13    0.00    0.00    0.00   71.72
03:59:07 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

03:59:07 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:59:08 AM  all    0.00    0.00    9.62    0.00    0.25   21.62    0.00    0.00    0.00   68.50
03:59:08 AM    0    0.00    0.00    0.00    0.00    0.99   69.31    0.00    0.00    0.00   29.70
03:59:08 AM    1    0.00    0.00    0.00    0.00    0.00   55.00    0.00    0.00    0.00   45.00
03:59:08 AM    2    0.00    0.00   33.00    0.00    0.00   11.00    0.00    0.00    0.00   56.00
03:59:08 AM    3    0.00    0.00    1.00    0.00    0.00    2.00    0.00    0.00    0.00   97.00
03:59:08 AM    4    0.00    0.00    3.96    0.00    0.00    4.95    0.00    0.00    0.00   91.09
03:59:08 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
