pair,scenario,cell,rep,sysctl,dur_s,pkt_size,threads,scenario_iface,scenario_mac,pps_sent,pps_recv,cycles,instructions,branches,branch_misses,cycles_per_pkt,ins_per_pkt,branch_miss_per_pkt,recv_sys_pct,recv_soft_pct,rps,rfs,cake,flower,kernel_has_sysctl,status
pi5-pair,eth_ip,cell-01,1,0,60,64,2,end0,2c:cf:67:31:df:b7,368921,369073,0,0,0,0,0.00,0.00,0.0000,0.10,33.90,1,1,1,1,yes,ok
pi5-pair,eth_ip,cell-01,2,0,60,64,2,end0,2c:cf:67:31:df:b7,368086,368160,0,0,0,0,0.00,0.00,0.0000,0.05,29.31,1,1,1,1,yes,ok
pi5-pair,eth_ip,cell-01,3,0,60,64,2,end0,2c:cf:67:31:df:b7,368354,368504,0,0,0,0,0.00,0.00,0.0000,0.07,29.07,1,1,1,1,yes,ok
pi5-pair,eth_ip,cell-02,1,1,60,64,2,end0,2c:cf:67:31:df:b7,368489,368639,0,0,0,0,0.00,0.00,0.0000,0.05,32.97,1,1,1,1,yes,ok
pi5-pair,eth_ip,cell-02,2,1,60,64,2,end0,2c:cf:67:31:df:b7,368404,368460,0,0,0,0,0.00,0.00,0.0000,0.05,30.30,1,1,1,1,yes,ok
pi5-pair,eth_ip,cell-02,3,1,60,64,2,end0,2c:cf:67:31:df:b7,368457,368516,0,0,0,0,0.00,0.00,0.0000,0.03,30.23,1,1,1,1,yes,ok
pi5-pair,vlan,cell-01,1,0,60,64,2,vlan100,2c:cf:67:31:df:b7,368318,368471,0,0,0,0,0.00,0.00,0.0000,0.05,33.21,1,1,1,1,yes,ok
pi5-pair,vlan,cell-01,2,0,60,64,2,vlan100,2c:cf:67:31:df:b7,368244,368313,0,0,0,0,0.00,0.00,0.0000,0.04,33.46,1,1,1,1,yes,ok
pi5-pair,vlan,cell-01,3,0,60,64,2,vlan100,2c:cf:67:31:df:b7,368400,368428,0,0,0,0,0.00,0.00,0.0000,0.06,30.79,1,1,1,1,yes,ok
pi5-pair,vlan,cell-02,1,1,60,64,2,vlan100,2c:cf:67:31:df:b7,368779,368924,0,0,0,0,0.00,0.00,0.0000,0.07,31.15,1,1,1,1,yes,ok
pi5-pair,vlan,cell-02,2,1,60,64,2,vlan100,2c:cf:67:31:df:b7,368498,368550,0,0,0,0,0.00,0.00,0.0000,0.09,31.31,1,1,1,1,yes,ok
pi5-pair,vlan,cell-02,3,1,60,64,2,vlan100,2c:cf:67:31:df:b7,368343,368218,0,0,0,0,0.00,0.00,0.0000,0.05,30.54,1,1,1,1,yes,ok
pi5-pair,qinq,cell-01,1,0,60,64,2,cvlan100,2c:cf:67:31:df:b7,368530,368571,0,0,0,0,0.00,0.00,0.0000,0.07,29.63,1,1,1,1,yes,ok
pi5-pair,qinq,cell-01,2,0,60,64,2,cvlan100,2c:cf:67:31:df:b7,368247,368307,0,0,0,0,0.00,0.00,0.0000,0.10,32.60,1,1,1,1,yes,ok
pi5-pair,qinq,cell-01,3,0,60,64,2,cvlan100,2c:cf:67:31:df:b7,368749,368895,0,0,0,0,0.00,0.00,0.0000,0.07,33.14,1,1,1,1,yes,ok
pi5-pair,qinq,cell-02,1,1,60,64,2,cvlan100,2c:cf:67:31:df:b7,368150,368298,0,0,0,0,0.00,0.00,0.0000,0.07,29.77,1,1,1,1,yes,ok
pi5-pair,qinq,cell-02,2,1,60,64,2,cvlan100,2c:cf:67:31:df:b7,368328,368473,0,0,0,0,0.00,0.00,0.0000,0.08,33.31,1,1,1,1,yes,ok
pi5-pair,qinq,cell-02,3,1,60,64,2,cvlan100,2c:cf:67:31:df:b7,368996,369145,0,0,0,0,0.00,0.00,0.0000,0.06,30.51,1,1,1,1,yes,ok
pi5-pair,vxlan,cell-01,1,0,60,64,2,vxlan10,56:98:7e:10:9a:8f,0,5,0,0,0,0,0.00,0.00,0.0000,0.04,0.00,1,1,1,1,yes,ok
pi5-pair,vxlan,cell-01,2,0,60,64,2,vxlan10,56:98:7e:10:9a:8f,0,6,0,0,0,0,0.00,0.00,0.0000,0.03,0.01,1,1,1,1,yes,ok
pi5-pair,vxlan,cell-01,3,0,60,64,2,vxlan10,56:98:7e:10:9a:8f,0,6,0,0,0,0,0.00,0.00,0.0000,0.04,0.00,1,1,1,1,yes,ok
pi5-pair,vxlan,cell-02,1,1,60,64,2,vxlan10,56:98:7e:10:9a:8f,0,6,0,0,0,0,0.00,0.00,0.0000,0.05,0.00,1,1,1,1,yes,ok
pi5-pair,vxlan,cell-02,2,1,60,64,2,vxlan10,56:98:7e:10:9a:8f,0,6,0,0,0,0,0.00,0.00,0.0000,0.03,0.01,1,1,1,1,yes,ok
pi5-pair,vxlan,cell-02,3,1,60,64,2,vxlan10,56:98:7e:10:9a:8f,0,6,0,0,0,0,0.00,0.00,0.0000,0.03,0.00,1,1,1,1,yes,ok
pi5-pair,mpls,cell-01,1,0,60,64,2,lo,2c:cf:67:31:df:b7,368587,368668,0,0,0,0,0.00,0.00,0.0000,0.06,31.19,1,1,1,1,yes,ok
pi5-pair,mpls,cell-01,2,0,60,64,2,lo,2c:cf:67:31:df:b7,368089,368242,0,0,0,0,0.00,0.00,0.0000,0.07,30.13,1,1,1,1,yes,ok
pi5-pair,mpls,cell-01,3,0,60,64,2,lo,2c:cf:67:31:df:b7,368314,368383,0,0,0,0,0.00,0.00,0.0000,0.04,29.48,1,1,1,1,yes,ok
pi5-pair,mpls,cell-02,1,1,60,64,2,lo,2c:cf:67:31:df:b7,368269,368421,0,0,0,0,0.00,0.00,0.0000,0.07,31.17,1,1,1,1,yes,ok
pi5-pair,mpls,cell-02,2,1,60,64,2,lo,2c:cf:67:31:df:b7,368410,368557,0,0,0,0,0.00,0.00,0.0000,0.05,33.42,1,1,1,1,yes,ok
pi5-pair,mpls,cell-02,3,1,60,64,2,lo,2c:cf:67:31:df:b7,367932,368084,0,0,0,0,0.00,0.00,0.0000,0.08,30.53,1,1,1,1,yes,ok
pi5-pair,ipip,cell-01,1,0,60,64,2,ipip0,2c:cf:67:31:df:b7,368643,368796,0,0,0,0,0.00,0.00,0.0000,0.05,28.35,1,1,1,1,yes,ok
pi5-pair,ipip,cell-01,2,0,60,64,2,ipip0,2c:cf:67:31:df:b7,368405,368553,0,0,0,0,0.00,0.00,0.0000,0.07,28.23,1,1,1,1,yes,ok
pi5-pair,ipip,cell-01,3,0,60,64,2,ipip0,2c:cf:67:31:df:b7,368615,368762,0,0,0,0,0.00,0.00,0.0000,0.08,28.41,1,1,1,1,yes,ok
pi5-pair,ipip,cell-02,1,1,60,64,2,ipip0,2c:cf:67:31:df:b7,368439,368486,0,0,0,0,0.00,0.00,0.0000,0.08,29.18,1,1,1,1,yes,ok
pi5-pair,ipip,cell-02,2,1,60,64,2,ipip0,2c:cf:67:31:df:b7,368283,368322,0,0,0,0,0.00,0.00,0.0000,0.07,28.76,1,1,1,1,yes,ok
pi5-pair,ipip,cell-02,3,1,60,64,2,ipip0,2c:cf:67:31:df:b7,368328,368375,0,0,0,0,0.00,0.00,0.0000,0.05,29.52,1,1,1,1,yes,ok
pi5-pair,gre,cell-01,1,0,60,64,2,gretest0,2c:cf:67:31:df:b7,368028,368159,0,0,0,0,0.00,0.00,0.0000,0.07,30.24,1,1,1,1,yes,ok
pi5-pair,gre,cell-01,2,0,60,64,2,gretest0,2c:cf:67:31:df:b7,368345,368496,0,0,0,0,0.00,0.00,0.0000,0.04,28.29,1,1,1,1,yes,ok
pi5-pair,gre,cell-01,3,0,60,64,2,gretest0,2c:cf:67:31:df:b7,368523,368670,0,0,0,0,0.00,0.00,0.0000,0.07,29.42,1,1,1,1,yes,ok
pi5-pair,gre,cell-02,1,1,60,64,2,gretest0,2c:cf:67:31:df:b7,368350,368505,0,0,0,0,0.00,0.00,0.0000,0.06,30.90,1,1,1,1,yes,ok
pi5-pair,gre,cell-02,2,1,60,64,2,gretest0,2c:cf:67:31:df:b7,368621,368773,0,0,0,0,0.00,0.00,0.0000,0.08,30.86,1,1,1,1,yes,ok
pi5-pair,gre,cell-02,3,1,60,64,2,gretest0,2c:cf:67:31:df:b7,368267,368416,0,0,0,0,0.00,0.00,0.0000,0.07,29.70,1,1,1,1,yes,ok
pi5-pair,geneve,cell-01,1,0,60,64,2,geneve10,d6:fc:f8:fd:03:81,0,6,0,0,0,0,0.00,0.00,0.0000,0.06,0.00,1,1,1,1,yes,ok
pi5-pair,geneve,cell-01,2,0,60,64,2,geneve10,d6:fc:f8:fd:03:81,0,6,0,0,0,0,0.00,0.00,0.0000,0.06,0.01,1,1,1,1,yes,ok
pi5-pair,geneve,cell-01,3,0,60,64,2,geneve10,d6:fc:f8:fd:03:81,0,6,0,0,0,0,0.00,0.00,0.0000,0.04,0.00,1,1,1,1,yes,ok
pi5-pair,geneve,cell-02,1,1,60,64,2,geneve10,d6:fc:f8:fd:03:81,0,4,0,0,0,0,0.00,0.00,0.0000,0.04,0.00,1,1,1,1,yes,ok
pi5-pair,geneve,cell-02,2,1,60,64,2,geneve10,d6:fc:f8:fd:03:81,0,4,0,0,0,0,0.00,0.00,0.0000,0.06,0.01,1,1,1,1,yes,ok
pi5-pair,geneve,cell-02,3,1,60,64,2,geneve10,d6:fc:f8:fd:03:81,0,6,0,0,0,0,0.00,0.00,0.0000,0.06,0.00,1,1,1,1,yes,ok
hp1-hp3,eth_ip,cell-01,1,0,60,64,2,enp1s0f0np0,98:f2:b3:df:1c:70,4207613,3607903,501415159442,527184061678,98651621507,246447627,2316.28,2435.32,1.1385,9.65,29.81,1,1,1,1,yes,ok
hp1-hp3,eth_ip,cell-01,2,0,60,64,2,enp1s0f0np0,98:f2:b3:df:1c:70,4161726,3548109,499851304307,524443738996,98170385891,242324381,2347.97,2463.49,1.1383,9.96,29.64,1,1,1,1,yes,ok
hp1-hp3,eth_ip,cell-01,3,0,60,64,2,enp1s0f0np0,98:f2:b3:df:1c:70,4143730,3572103,501278632809,525517310882,98349885467,245399817,2338.86,2451.95,1.1450,9.72,30.13,1,1,1,1,yes,ok
hp1-hp3,eth_ip,cell-02,1,1,60,64,2,enp1s0f0np0,98:f2:b3:df:1c:70,4134135,3536257,495706093229,521883440449,97677718312,243508070,2336.30,2459.68,1.1477,9.67,29.64,1,1,1,1,yes,ok
hp1-hp3,eth_ip,cell-02,2,1,60,64,2,enp1s0f0np0,98:f2:b3:df:1c:70,4116113,3542749,492235785626,519015195950,97174332896,241144285,2315.70,2441.68,1.1344,9.60,29.69,1,1,1,1,yes,ok
