pair,scenario,cell,rep,proto,sysctl,dur_s,scenario_iface,scenario_v4,mbps,retransmits,recv_sys_pct,recv_soft_pct,rps,rfs,cake,flower,kernel_has_sysctl,status
pi5-bpif3,eth_ip,cell-01,1,tcp,0,60,end0,172.16.40.205,936.4,135,4.16,15.23,1,1,1,1,yes,ok
pi5-bpif3,eth_ip,cell-01,2,tcp,0,60,end0,172.16.40.205,936.4,225,4.42,15.72,1,1,1,1,yes,ok
pi5-bpif3,eth_ip,cell-01,3,tcp,0,60,end0,172.16.40.205,936.4,45,4.56,15.93,1,1,1,1,yes,ok
pi5-bpif3,eth_ip,cell-02,1,tcp,1,60,end0,172.16.40.205,936.3,0,4.52,16.41,1,1,1,1,yes,ok
pi5-bpif3,eth_ip,cell-02,2,tcp,1,60,end0,172.16.40.205,936.3,0,4.32,15.44,1,1,1,1,yes,ok
pi5-bpif3,eth_ip,cell-02,3,tcp,1,60,end0,172.16.40.205,936.3,0,4.47,15.56,1,1,1,1,yes,ok
pi5-bpif3,eth_ip,cell-03,1,udp,0,60,end0,172.16.40.205,947.8,1944405,6.37,31.91,1,1,1,1,yes,ok
pi5-bpif3,eth_ip,cell-03,2,udp,0,60,end0,172.16.40.205,947.8,2004028,8.23,39.38,1,1,1,1,yes,ok
pi5-bpif3,eth_ip,cell-03,3,udp,0,60,end0,172.16.40.205,947.8,1591031,5.06,34.92,1,1,1,1,yes,ok
pi5-bpif3,eth_ip,cell-04,1,udp,1,60,end0,172.16.40.205,947.8,1695839,6.55,32.16,1,1,1,1,yes,ok
pi5-bpif3,eth_ip,cell-04,2,udp,1,60,end0,172.16.40.205,947.8,1820946,9.25,39.74,1,1,1,1,yes,ok
pi5-bpif3,eth_ip,cell-04,3,udp,1,60,end0,172.16.40.205,947.8,1967148,8.36,39.43,1,1,1,1,yes,ok
pi5-bpif3,vlan,cell-01,1,tcp,0,60,vlan100,10.10.40.5,938.2,306,6.51,19.07,1,1,1,1,yes,ok
pi5-bpif3,vlan,cell-01,2,tcp,0,60,vlan100,10.10.40.5,938.4,410,6.35,18.69,1,1,1,1,yes,ok
pi5-bpif3,vlan,cell-01,3,tcp,0,60,vlan100,10.10.40.5,923.9,617,5.94,17.73,1,1,1,1,yes,ok
pi5-bpif3,vlan,cell-02,1,tcp,1,60,vlan100,10.10.40.5,899.0,651,5.47,18.04,1,1,1,1,yes,ok
pi5-bpif3,vlan,cell-02,2,tcp,1,60,vlan100,10.10.40.5,924.2,662,6.08,18.64,1,1,1,1,yes,ok
pi5-bpif3,vlan,cell-02,3,tcp,1,60,vlan100,10.10.40.5,937.2,586,6.36,19.95,1,1,1,1,yes,ok
pi5-bpif3,vlan,cell-03,1,udp,0,60,vlan100,10.10.40.5,944.9,2636930,6.86,39.05,1,1,1,1,yes,ok
pi5-bpif3,vlan,cell-03,2,udp,0,60,vlan100,10.10.40.5,944.9,2216568,8.19,39.15,1,1,1,1,yes,ok
pi5-bpif3,vlan,cell-03,3,udp,0,60,vlan100,10.10.40.5,944.9,2412776,8.17,39.09,1,1,1,1,yes,ok
pi5-bpif3,vlan,cell-04,1,udp,1,60,vlan100,10.10.40.5,944.9,2437503,7.75,39.22,1,1,1,1,yes,ok
pi5-bpif3,vlan,cell-04,2,udp,1,60,vlan100,10.10.40.5,944.9,2309292,5.69,32.09,1,1,1,1,yes,ok
pi5-bpif3,vlan,cell-04,3,udp,1,60,vlan100,10.10.40.5,944.9,2353018,5.53,32.83,1,1,1,1,yes,ok
pi5-bpif3,qinq,cell-01,1,tcp,0,60,cvlan100,10.10.41.5,936.1,33,6.18,18.20,1,1,1,1,yes,ok
pi5-bpif3,qinq,cell-01,2,tcp,0,60,cvlan100,10.10.41.5,931.6,477,6.11,19.99,1,1,1,1,yes,ok
pi5-bpif3,qinq,cell-01,3,tcp,0,60,cvlan100,10.10.41.5,935.5,342,6.36,20.34,1,1,1,1,yes,ok
pi5-bpif3,qinq,cell-02,1,tcp,1,60,cvlan100,10.10.41.5,935.9,199,6.09,19.19,1,1,1,1,yes,ok
pi5-bpif3,qinq,cell-02,2,tcp,1,60,cvlan100,10.10.41.5,933.9,485,6.48,19.25,1,1,1,1,yes,ok
pi5-bpif3,qinq,cell-02,3,tcp,1,60,cvlan100,10.10.41.5,927.9,710,5.93,19.17,1,1,1,1,yes,ok
pi5-bpif3,qinq,cell-03,1,udp,0,60,cvlan100,10.10.41.5,941.9,2724922,7.12,38.92,1,1,1,1,yes,ok
pi5-bpif3,qinq,cell-03,2,udp,0,60,cvlan100,10.10.41.5,941.9,2800419,7.18,38.80,1,1,1,1,yes,ok
pi5-bpif3,qinq,cell-03,3,udp,0,60,cvlan100,10.10.41.5,941.9,2988267,6.31,38.85,1,1,1,1,yes,ok
pi5-bpif3,qinq,cell-04,1,udp,1,60,cvlan100,10.10.41.5,941.9,2685297,7.10,39.05,1,1,1,1,yes,ok
pi5-bpif3,qinq,cell-04,2,udp,1,60,cvlan100,10.10.41.5,941.9,3016575,6.60,38.73,1,1,1,1,yes,ok
pi5-bpif3,qinq,cell-04,3,udp,1,60,cvlan100,10.10.41.5,941.9,2730394,7.10,38.92,1,1,1,1,yes,ok
pi5-bpif3,vxlan,cell-01,1,tcp,0,60,vxlan10,192.168.100.2,908.8,377,5.34,16.35,1,1,1,1,yes,ok
pi5-bpif3,vxlan,cell-01,2,tcp,0,60,vxlan10,192.168.100.2,908.8,507,5.42,15.79,1,1,1,1,yes,ok
pi5-bpif3,vxlan,cell-01,3,tcp,0,60,vxlan10,192.168.100.2,908.8,184,5.44,15.95,1,1,1,1,yes,ok
pi5-bpif3,vxlan,cell-02,1,tcp,1,60,vxlan10,192.168.100.2,908.8,460,5.35,15.89,1,1,1,1,yes,ok
pi5-bpif3,vxlan,cell-02,2,tcp,1,60,vxlan10,192.168.100.2,908.7,303,5.46,16.53,1,1,1,1,yes,ok
pi5-bpif3,vxlan,cell-02,3,tcp,1,60,vxlan10,192.168.100.2,908.6,425,5.28,17.11,1,1,1,1,yes,ok
pi5-bpif3,vxlan,cell-03,1,udp,0,60,vxlan10,192.168.100.2,911.8,2288251,5.81,38.07,1,1,1,1,yes,ok
pi5-bpif3,vxlan,cell-03,2,udp,0,60,vxlan10,192.168.100.2,914.3,2720022,4.70,32.46,1,1,1,1,yes,ok
pi5-bpif3,vxlan,cell-03,3,udp,0,60,vxlan10,192.168.100.2,911.8,2399556,4.79,32.68,1,1,1,1,yes,ok
pi5-bpif3,vxlan,cell-04,1,udp,1,60,vxlan10,192.168.100.2,911.8,2399202,4.75,33.05,1,1,1,1,yes,ok
pi5-bpif3,vxlan,cell-04,2,udp,1,60,vxlan10,192.168.100.2,911.8,2305532,6.70,38.00,1,1,1,1,yes,ok
pi5-bpif3,vxlan,cell-04,3,udp,1,60,vxlan10,192.168.100.2,911.8,2303075,6.61,38.01,1,1,1,1,yes,ok
pi5-bpif3,mpls,cell-01,1,tcp,0,60,lo,10.10.43.5,630.3,530,9.82,19.46,1,1,1,1,yes,ok
pi5-bpif3,mpls,cell-01,2,tcp,0,60,lo,10.10.43.5,666.4,770,10.21,19.79,1,1,1,1,yes,ok
pi5-bpif3,mpls,cell-01,3,tcp,0,60,lo,10.10.43.5,629.3,581,9.89,19.67,1,1,1,1,yes,ok
pi5-bpif3,mpls,cell-02,1,tcp,1,60,lo,10.10.43.5,630.2,608,9.88,19.59,1,1,1,1,yes,ok
pi5-bpif3,mpls,cell-02,2,tcp,1,60,lo,10.10.43.5,666.7,686,10.09,20.14,1,1,1,1,yes,ok
pi5-bpif3,mpls,cell-02,3,tcp,1,60,lo,10.10.43.5,661.6,550,10.12,19.74,1,1,1,1,yes,ok
pi5-bpif3,mpls,cell-03,1,udp,0,60,lo,10.10.43.5,944.8,4685218,2.59,12.83,1,1,1,1,yes,ok
pi5-bpif3,mpls,cell-03,2,udp,0,60,lo,10.10.43.5,944.9,4444171,2.89,15.46,1,1,1,1,yes,ok
pi5-bpif3,mpls,cell-03,3,udp,0,60,lo,10.10.43.5,944.9,3547098,4.85,22.29,1,1,1,1,yes,ok
pi5-bpif3,mpls,cell-04,1,udp,1,60,lo,10.10.43.5,944.9,3819676,4.24,20.14,1,1,1,1,yes,ok
pi5-bpif3,mpls,cell-04,2,udp,1,60,lo,10.10.43.5,944.9,3535894,4.95,23.00,1,1,1,1,yes,ok
pi5-bpif3,mpls,cell-04,3,udp,1,60,lo,10.10.43.5,944.9,4106556,3.69,17.21,1,1,1,1,yes,ok
pi5-bpif3,ipip,cell-01,1,tcp,0,60,ipip0,10.10.42.5,911.3,677,5.45,18.92,1,1,1,1,yes,ok
pi5-bpif3,ipip,cell-01,2,tcp,0,60,ipip0,10.10.42.5,860.6,567,5.31,19.09,1,1,1,1,yes,ok
pi5-bpif3,ipip,cell-01,3,tcp,0,60,ipip0,10.10.42.5,905.8,671,5.53,19.12,1,1,1,1,yes,ok
pi5-bpif3,ipip,cell-02,1,tcp,1,60,ipip0,10.10.42.5,928.3,354,5.11,16.42,1,1,1,1,yes,ok
pi5-bpif3,ipip,cell-02,2,tcp,1,60,ipip0,10.10.42.5,928.3,348,5.25,16.13,1,1,1,1,yes,ok
pi5-bpif3,ipip,cell-02,3,tcp,1,60,ipip0,10.10.42.5,928.3,604,5.30,15.82,1,1,1,1,yes,ok
pi5-bpif3,ipip,cell-03,1,udp,0,60,ipip0,10.10.42.5,933.1,2242936,5.77,31.86,1,1,1,1,yes,ok
pi5-bpif3,ipip,cell-03,2,udp,0,60,ipip0,10.10.42.5,933.1,2076301,5.99,31.97,1,1,1,1,yes,ok
pi5-bpif3,ipip,cell-03,3,udp,0,60,ipip0,10.10.42.5,933.1,2112094,5.15,33.12,1,1,1,1,yes,ok
pi5-bpif3,ipip,cell-04,1,udp,1,60,ipip0,10.10.42.5,933.1,1816603,4.85,33.61,1,1,1,1,yes,ok
pi5-bpif3,ipip,cell-04,2,udp,1,60,ipip0,10.10.42.5,933.1,1577489,3.83,35.13,1,1,1,1,yes,ok
pi5-bpif3,ipip,cell-04,3,udp,1,60,ipip0,10.10.42.5,933.1,2374729,5.54,31.93,1,1,1,1,yes,ok
pi5-bpif3,gre,cell-01,1,tcp,0,60,gretest0,10.10.44.5,925.7,405,4.86,15.10,1,1,1,1,yes,ok
pi5-bpif3,gre,cell-01,2,tcp,0,60,gretest0,10.10.44.5,925.7,675,4.79,15.18,1,1,1,1,yes,ok
pi5-bpif3,gre,cell-01,3,tcp,0,60,gretest0,10.10.44.5,923.1,425,4.95,16.99,1,1,1,1,yes,ok
pi5-bpif3,gre,cell-02,1,tcp,1,60,gretest0,10.10.44.5,921.9,459,5.03,17.32,1,1,1,1,yes,ok
pi5-bpif3,gre,cell-02,2,tcp,1,60,gretest0,10.10.44.5,923.9,756,4.74,16.34,1,1,1,1,yes,ok
pi5-bpif3,gre,cell-02,3,tcp,1,60,gretest0,10.10.44.5,888.0,640,5.27,19.17,1,1,1,1,yes,ok
pi5-bpif3,gre,cell-03,1,udp,0,60,gretest0,10.10.44.5,930.2,2240133,4.94,32.57,1,1,1,1,yes,ok
pi5-bpif3,gre,cell-03,2,udp,0,60,gretest0,10.10.44.5,930.2,2129319,5.78,31.34,1,1,1,1,yes,ok
pi5-bpif3,gre,cell-03,3,udp,0,60,gretest0,10.10.44.5,930.2,2111667,5.69,31.48,1,1,1,1,yes,ok
pi5-bpif3,gre,cell-04,1,udp,1,60,gretest0,10.10.44.5,930.2,1992973,5.53,32.06,1,1,1,1,yes,ok
pi5-bpif3,gre,cell-04,2,udp,1,60,gretest0,10.10.44.5,930.2,2135887,5.64,31.88,1,1,1,1,yes,ok
pi5-bpif3,gre,cell-04,3,udp,1,60,gretest0,10.10.44.5,930.2,2064524,5.77,31.73,1,1,1,1,yes,ok
pi5-bpif3,geneve,cell-01,1,tcp,0,60,geneve10,192.168.101.2,894.9,1029,5.61,18.93,1,1,1,1,yes,ok
pi5-bpif3,geneve,cell-01,2,tcp,0,60,geneve10,192.168.101.2,903.5,596,5.51,18.72,1,1,1,1,yes,ok
pi5-bpif3,geneve,cell-01,3,tcp,0,60,geneve10,192.168.101.2,902.9,707,5.40,18.46,1,1,1,1,yes,ok
pi5-bpif3,geneve,cell-02,1,tcp,1,60,geneve10,192.168.101.2,875.0,732,5.61,19.78,1,1,1,1,yes,ok
pi5-bpif3,geneve,cell-02,2,tcp,1,60,geneve10,192.168.101.2,886.8,886,5.70,19.77,1,1,1,1,yes,ok
pi5-bpif3,geneve,cell-02,3,tcp,1,60,geneve10,192.168.101.2,879.6,955,5.45,19.00,1,1,1,1,yes,ok
