Linux 7.0.12 (bpi-f3) 	06/25/2026 	_riscv64_	(8 CPU)

11:58:07 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:58:08 AM  all    0.00    0.00    4.87    0.00    0.77   15.00    0.00    0.00    0.00   79.36
11:58:08 AM    0    0.00    0.00    0.00    0.00    2.27   76.14    0.00    0.00    0.00   21.59
11:58:08 AM    1    0.00    0.00    4.04    0.00    0.00    4.04    0.00    0.00    0.00   91.92
11:58:08 AM    2    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
11:58:08 AM    3    0.00    0.00   13.00    0.00    1.00   13.00    0.00    0.00    0.00   73.00
11:58:08 AM    4    0.00    0.00    6.06    0.00    0.00    7.07    0.00    0.00    0.00   86.87
11:58:08 AM    5    0.00    0.00    4.08    0.00    1.02    8.16    0.00    0.00    0.00   86.73
11:58:08 AM    6    0.00    0.00    8.16    0.00    1.02   13.27    0.00    0.00    0.00   77.55
11:58:08 AM    7    0.00    0.00    2.06    0.00    1.03    5.15    0.00    0.00    0.00   91.75

11:58:08 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:58:09 AM  all    0.26    0.00    3.99    0.00    0.51   15.57    0.00    0.00    0.00   79.67
11:58:09 AM    0    0.00    0.00    1.11    0.00    1.11   80.00    0.00    0.00    0.00   17.78
11:58:09 AM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:58:09 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:58:09 AM    3    0.00    0.00   11.11    0.00    1.01   12.12    0.00    0.00    0.00   75.76
11:58:09 AM    4    1.03    0.00    7.22    0.00    1.03   12.37    0.00    0.00    0.00   78.35
11:58:09 AM    5    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
11:58:09 AM    6    0.00    0.00    6.38    0.00    0.00   12.77    0.00    0.00    0.00   80.85
11:58:09 AM    7    0.00    0.00    6.25    0.00    1.04   13.54    0.00    0.00    0.00   79.17

