Linux 7.0.12 (bpi-f3) 	06/25/2026 	_riscv64_	(8 CPU)

12:00:22 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:00:23 PM  all    0.26    0.00    4.02    0.00    0.65   15.67    0.00    0.00    0.00   79.40
12:00:23 PM    0    0.00    0.00    0.00    0.00    1.20   85.54    0.00    0.00    0.00   13.25
12:00:23 PM    1    0.00    0.00    3.00    0.00    1.00    5.00    0.00    0.00    0.00   91.00
12:00:23 PM    2    0.00    0.00    7.07    0.00    1.01    9.09    0.00    0.00    0.00   82.83
12:00:23 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:00:23 PM    4    0.00    0.00    7.29    0.00    0.00   12.50    0.00    0.00    0.00   80.21
12:00:23 PM    5    1.03    0.00    7.22    0.00    1.03   12.37    0.00    0.00    0.00   78.35
12:00:23 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:00:23 PM    7    1.03    0.00    7.22    0.00    1.03   12.37    0.00    0.00    0.00   78.35

12:00:23 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:00:24 PM  all    0.00    0.00    3.65    0.00    0.78   16.04    0.00    0.00    0.00   79.53
12:00:24 PM    0    0.00    0.00    0.00    0.00    2.35   85.88    0.00    0.00    0.00   11.76
12:00:24 PM    1    0.00    0.00    7.45    0.00    1.06   14.89    0.00    0.00    0.00   76.60
12:00:24 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:00:24 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:00:24 PM    4    0.00    0.00    8.25    0.00    1.03   12.37    0.00    0.00    0.00   78.35
12:00:24 PM    5    0.00    0.00    7.22    0.00    1.03   12.37    0.00    0.00    0.00   79.38
12:00:24 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:00:24 PM    7    0.00    0.00    6.32    0.00    1.05   12.63    0.00    0.00    0.00   80.00

12:00:24 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:00:25 PM  all    0.13    0.00    3.65    0.00    0.65   15.91    0.00    0.00    0.00   79.66
12:00:25 PM    0    0.00    0.00    1.18    0.00    1.18   85.88    0.00    0.00    0.00   11.76
12:00:25 PM    1    0.00    0.00    6.45    0.00    1.08   15.05    0.00    0.00    0.00   77.42
12:00:25 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:00:25 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:00:25 PM    4    0.00    0.00    7.29    0.00    1.04   11.46    0.00    0.00    0.00   80.21
12:00:25 PM    5    0.00    0.00    2.06    0.00    1.03    5.15    0.00    0.00    0.00   91.75
12:00:25 PM    6    0.99    0.00    9.90    0.00    0.99   10.89    0.00    0.00    0.00   77.23
12:00:25 PM    7    0.00    0.00    2.11    0.00    0.00    8.42    0.00    0.00    0.00   89.47

12:00:25 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:00:26 PM  all    0.39    0.00    4.63    0.00    0.77   15.70    0.00    0.00    0.00   78.51
12:00:26 PM    0    0.00    0.00    0.00    0.00    2.35   85.88    0.00    0.00    0.00   11.76
12:00:26 PM    1    1.02    0.00   11.22    0.00    1.02   13.27    0.00    0.00    0.00   73.47
12:00:26 PM    2    0.98    0.00    0.00    0.00    0.00    0.98    0.00    0.00    0.00   98.04
12:00:26 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:00:26 PM    4    1.00    0.00    4.00    0.00    1.00    5.00    0.00    0.00    0.00   89.00
12:00:26 PM    5    0.00    0.00    8.16    0.00    1.02   11.22    0.00    0.00    0.00   79.59
12:00:26 PM    6    0.00    0.00    5.15    0.00    0.00    8.25    0.00    0.00    0.00   86.60
12:00:26 PM    7    0.00    0.00    8.25    0.00    1.03   11.34    0.00    0.00    0.00   79.38

12:00:26 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:00:27 PM  all    0.26    0.00    4.71    0.00    0.78   16.47    0.00    0.00    0.00   77.78
12:00:27 PM    0    0.00    0.00    0.00    0.00    1.16   87.21    0.00    0.00    0.00   11.63
12:00:27 PM    1    0.00    0.00    1.01    0.00    0.00    3.03    0.00    0.00    0.00   95.96
12:00:27 PM    2    0.00    0.00    8.33    0.00    1.04   11.46    0.00    0.00    0.00   79.17
12:00:27 PM    3    0.00    0.00    4.08    0.00    1.02    6.12    0.00    0.00    0.00   88.78
12:00:27 PM    4    1.05    0.00    7.37    0.00    1.05   12.63    0.00    0.00    0.00   77.89
12:00:27 PM    5    0.00    0.00    6.32    0.00    0.00    7.37    0.00    0.00    0.00   86.32
12:00:27 PM    6    1.00    0.00    6.00    0.00    1.00    4.00    0.00    0.00    0.00   88.00
12:00:27 PM    7    0.00    0.00    4.17    0.00    1.04    8.33    0.00    0.00    0.00   86.46

12:00:27 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:00:28 PM  all    0.00    0.00    4.15    0.00    0.65   16.58    0.00    0.00    0.00   78.63
12:00:28 PM    0    0.00    0.00    0.00    0.00    2.27   85.23    0.00    0.00    0.00   12.50
12:00:28 PM    1    0.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   99.00
12:00:28 PM    2    0.00    0.00   10.20    0.00    1.02   14.29    0.00    0.00    0.00   74.49
12:00:28 PM    3    0.00    0.00   10.20    0.00    1.02   13.27    0.00    0.00    0.00   75.51
12:00:28 PM    4    0.00    0.00    2.11    0.00    0.00    6.32    0.00    0.00    0.00   91.58
12:00:28 PM    5    0.00    0.00    3.03    0.00    1.01    5.05    0.00    0.00    0.00   90.91
12:00:28 PM    6    0.00    0.00    4.17    0.00    0.00    8.33    0.00    0.00    0.00   87.50
12:00:28 PM    7    0.00    0.00    3.06    0.00    0.00    6.12    0.00    0.00    0.00   90.82

12:00:28 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:00:29 PM  all    0.13    0.00    4.27    0.00    0.65   17.08    0.00    0.00    0.00   77.88
12:00:29 PM    0    0.00    0.00    0.00    0.00    1.14   93.18    0.00    0.00    0.00    5.68
12:00:29 PM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:00:29 PM    2    0.00    0.00    8.42    0.00    1.05   12.63    0.00    0.00    0.00   77.89
12:00:29 PM    3    0.00    0.00   11.11    0.00    1.01   13.13    0.00    0.00    0.00   74.75
12:00:29 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:00:29 PM    5    1.00    0.00    2.00    0.00    0.00    4.00    0.00    0.00    0.00   93.00
12:00:29 PM    6    0.00    0.00    8.33    0.00    1.04   12.50    0.00    0.00    0.00   78.12
12:00:29 PM    7    0.00    0.00    4.17    0.00    1.04    9.38    0.00    0.00    0.00   85.42

12:00:29 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:00:30 PM  all    0.13    0.00    4.62    0.00    0.77   16.94    0.00    0.00    0.00   77.54
12:00:30 PM    0    0.00    0.00    0.00    0.00    1.14   90.91    0.00    0.00    0.00    7.95
12:00:30 PM    1    0.00    0.00    0.00    0.00    0.99    0.99    0.00    0.00    0.00   98.02
12:00:30 PM    2    0.00    0.00    9.28    0.00    1.03   13.40    0.00    0.00    0.00   76.29
12:00:30 PM    3    1.00    0.00   12.00    0.00    1.00   13.00    0.00    0.00    0.00   73.00
12:00:30 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:00:30 PM    5    0.00    0.00    0.00    0.00    0.00    1.01    0.00    0.00    0.00   98.99
12:00:30 PM    6    0.00    0.00    6.25    0.00    1.04   11.46    0.00    0.00    0.00   81.25
12:00:30 PM    7    0.00    0.00    9.18    0.00    1.02   13.27    0.00    0.00    0.00   76.53

12:00:30 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:00:31 PM  all    0.00    0.00    4.24    0.00    0.77   17.74    0.00    0.00    0.00   77.25
12:00:31 PM    0    0.00    0.00    1.08    0.00    2.15   92.47    0.00    0.00    0.00    4.30
12:00:31 PM    1    0.00    0.00    2.04    0.00    0.00    4.08    0.00    0.00    0.00   93.88
12:00:31 PM    2    0.00    0.00    7.22    0.00    1.03   10.31    0.00    0.00    0.00   81.44
12:00:31 PM    3    0.00    0.00    6.38    0.00    1.06   13.83    0.00    0.00    0.00   78.72
12:00:31 PM    4    0.00    0.00    8.16    0.00    1.02   13.27    0.00    0.00    0.00   77.55
12:00:31 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:00:31 PM    6    0.00    0.00    9.18    0.00    1.02   12.24    0.00    0.00    0.00   77.55
12:00:31 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

12:00:31 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:00:32 PM  all    0.00    0.00    3.93    0.00    0.52   16.62    0.00    0.00    0.00   78.93
12:00:32 PM    0    0.00    0.00    0.00    0.00    1.20   91.57    0.00    0.00    0.00    7.23
12:00:32 PM    1    0.00    0.00    9.28    0.00    1.03   14.43    0.00    0.00    0.00   75.26
12:00:32 PM    2    0.00    0.00    3.96    0.00    0.00    3.96    0.00    0.00    0.00   92.08
12:00:32 PM    3    0.00    0.00    7.22    0.00    0.00    9.28    0.00    0.00    0.00   83.51
12:00:32 PM    4    0.00    0.00    5.32    0.00    1.06   12.77    0.00    0.00    0.00   80.85
12:00:32 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:00:32 PM    6    0.00    0.00    2.11    0.00    1.05    8.42    0.00    0.00    0.00   88.42
12:00:32 PM    7    0.00    0.00    3.06    0.00    0.00    4.08    0.00    0.00    0.00   92.86

12:00:32 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:00:33 PM  all    0.39    0.00    4.15    0.00    0.65   16.32    0.00    0.00    0.00   78.50
12:00:33 PM    0    0.00    0.00    0.00    0.00    1.19   90.48    0.00    0.00    0.00    8.33
12:00:33 PM    1    1.01    0.00    3.03    0.00    0.00    5.05    0.00    0.00    0.00   90.91
12:00:33 PM    2    0.00    0.00    8.51    0.00    1.06   13.83    0.00    0.00    0.00   76.60
12:00:33 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:00:33 PM    4    1.01    0.00    9.09    0.00    1.01   12.12    0.00    0.00    0.00   76.77
12:00:33 PM    5    0.00    0.00    3.03    0.00    1.01    6.06    0.00    0.00    0.00   89.90
12:00:33 PM    6    1.01    0.00    6.06    0.00    0.00    8.08    0.00    0.00    0.00   84.85
12:00:33 PM    7    0.00    0.00    3.06    0.00    1.02    6.12    0.00    0.00    0.00   89.80

12:00:33 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:00:34 PM  all    0.26    0.00    4.09    0.13    0.90   17.01    0.00    0.00    0.00   77.62
12:00:34 PM    0    0.00    0.00    0.00    0.00    2.20   91.21    0.00    0.00    0.00    6.59
12:00:34 PM    1    0.00    0.00    0.00    1.00    1.00    0.00    0.00    0.00    0.00   98.00
12:00:34 PM    2    1.04    0.00    7.29    0.00    1.04   13.54    0.00    0.00    0.00   77.08
12:00:34 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:00:34 PM    4    0.00    0.00    6.25    0.00    1.04   12.50    0.00    0.00    0.00   80.21
12:00:34 PM    5    0.00    0.00    4.04    0.00    0.00    5.05    0.00    0.00    0.00   90.91
12:00:34 PM    6    0.00    0.00    6.00    0.00    1.00    8.00    0.00    0.00    0.00   85.00
12:00:34 PM    7    1.00    0.00    9.00    0.00    1.00   12.00    0.00    0.00    0.00   77.00

12:00:34 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:00:35 PM  all    0.13    0.00    4.50    0.00    0.64   16.20    0.00    0.00    0.00   78.53
12:00:35 PM    0    0.00    0.00    0.00    0.00    1.19   90.48    0.00    0.00    0.00    8.33
12:00:35 PM    1    0.00    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00   99.01
12:00:35 PM    2    0.00    0.00    7.37    0.00    1.05   14.74    0.00    0.00    0.00   76.84
12:00:35 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
