Linux 7.0.12 (bpi-f3) 	06/25/2026 	_riscv64_	(8 CPU)

01:38:14 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:38:15 PM  all    0.26    0.00    4.35    0.00    0.90   20.20    0.00    0.00    0.00   74.30
01:38:15 PM    0    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
01:38:15 PM    1    1.01    0.00    2.02    0.00    1.01    4.04    0.00    0.00    0.00   91.92
01:38:15 PM    2    0.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   99.00
01:38:15 PM    3    0.00    0.00    4.04    0.00    1.01    5.05    0.00    0.00    0.00   89.90
01:38:15 PM    4    1.01    0.00   11.11    0.00    1.01   14.14    0.00    0.00    0.00   72.73
01:38:15 PM    5    0.00    0.00    4.26    0.00    1.06   11.70    0.00    0.00    0.00   82.98
01:38:15 PM    6    0.00    0.00    5.32    0.00    1.06   11.70    0.00    0.00    0.00   81.91
01:38:15 PM    7    0.00    0.00    8.25    0.00    1.03   13.40    0.00    0.00    0.00   77.32

01:38:15 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:38:16 PM  all    0.77    0.00    6.30    0.00    0.64   19.79    0.00    0.00    0.00   72.49
01:38:16 PM    0    0.00    0.00    0.00    0.00    1.01   98.99    0.00    0.00    0.00    0.00
01:38:16 PM    1    0.00    0.00    4.12    0.00    0.00    6.19    0.00    0.00    0.00   89.69
01:38:16 PM    2    0.00    0.00    3.06    0.00    0.00    2.04    0.00    0.00    0.00   94.90
01:38:16 PM    3    1.02    0.00    6.12    0.00    0.00    4.08    0.00    0.00    0.00   88.78
01:38:16 PM    4    1.06    0.00    6.38    0.00    0.00    9.57    0.00    0.00    0.00   82.98
01:38:16 PM    5    2.06    0.00    9.28    0.00    1.03   11.34    0.00    0.00    0.00   76.29
01:38:16 PM    6    1.04    0.00    8.33    0.00    1.04   12.50    0.00    0.00    0.00   77.08
01:38:16 PM    7    1.01    0.00   13.13    0.00    2.02   12.12    0.00    0.00    0.00   71.72

