Linux 7.0.12 (bpi-f3) 	06/25/2026 	_riscv64_	(8 CPU)

01:24:35 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:24:36 PM  all    0.13    0.00    4.73    0.00    0.51   19.80    0.00    0.00    0.00   74.84
01:24:36 PM    0    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
01:24:36 PM    1    0.00    0.00    3.06    0.00    0.00    6.12    0.00    0.00    0.00   90.82
01:24:36 PM    2    0.00    0.00    3.09    0.00    1.03    7.22    0.00    0.00    0.00   88.66
01:24:36 PM    3    0.00    0.00    7.29    0.00    1.04   10.42    0.00    0.00    0.00   81.25
01:24:36 PM    4    1.00    0.00    6.00    0.00    0.00    7.00    0.00    0.00    0.00   86.00
01:24:36 PM    5    0.00    0.00    8.82    0.00    0.98    9.80    0.00    0.00    0.00   80.39
01:24:36 PM    6    0.00    0.00    4.26    0.00    0.00    8.51    0.00    0.00    0.00   87.23
01:24:36 PM    7    0.00    0.00    5.21    0.00    0.00    8.33    0.00    0.00    0.00   86.46

01:24:36 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:24:37 PM  all    0.13    0.00    5.95    0.00    0.89   18.99    0.00    0.00    0.00   74.05
01:24:37 PM    0    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
01:24:37 PM    1    0.00    0.00    4.04    0.00    1.01    5.05    0.00    0.00    0.00   89.90
01:24:37 PM    2    0.00    0.00    6.06    0.00    0.00    5.05    0.00    0.00    0.00   88.89
01:24:37 PM    3    0.00    0.00   11.34    0.00    1.03   12.37    0.00    0.00    0.00   75.26
01:24:37 PM    4    0.00    0.00    9.00    0.00    1.00    8.00    0.00    0.00    0.00   82.00
01:24:37 PM    5    1.03    0.00    7.22    0.00    1.03    9.28    0.00    0.00    0.00   81.44
01:24:37 PM    6    0.00    0.00    7.14    0.00    1.02    9.18    0.00    0.00    0.00   82.65
01:24:37 PM    7    0.00    0.00    3.00    0.00    1.00    3.00    0.00    0.00    0.00   93.00

01:24:37 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:24:38 PM  all    0.13    0.00    6.04    0.00    0.88   19.37    0.00    0.00    0.00   73.58
01:24:38 PM    0    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
01:24:38 PM    1    0.99    0.00    7.92    0.00    0.99    7.92    0.00    0.00    0.00   82.18
01:24:38 PM    2    0.00    0.00    5.10    0.00    1.02    8.16    0.00    0.00    0.00   85.71
01:24:38 PM    3    0.00    0.00    7.14    0.00    1.02    8.16    0.00    0.00    0.00   83.67
01:24:38 PM    4    0.00    0.00   12.87    0.00    0.99   11.88    0.00    0.00    0.00   74.26
01:24:38 PM    5    0.00    0.00    6.86    0.00    0.98    6.86    0.00    0.00    0.00   85.29
01:24:38 PM    6    0.00    0.00    3.09    0.00    1.03    6.19    0.00    0.00    0.00   89.69
01:24:38 PM    7    0.00    0.00    5.10    0.00    0.00    6.12    0.00    0.00    0.00   88.78

01:24:38 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:24:39 PM  all    0.64    0.00    6.24    0.00    0.89   19.36    0.00    0.00    0.00   72.87
01:24:39 PM    0    0.00    0.00    0.00    0.00    2.00   98.00    0.00    0.00    0.00    0.00
01:24:39 PM    1    0.00    0.00    3.06    0.00    0.00    4.08    0.00    0.00    0.00   92.86
01:24:39 PM    2    0.00    0.00    8.16    0.00    1.02    9.18    0.00    0.00    0.00   81.63
01:24:39 PM    3    0.00    0.00    6.38    0.00    1.06   11.70    0.00    0.00    0.00   80.85
01:24:39 PM    4    1.98    0.00    7.92    0.00    0.99    4.95    0.00    0.00    0.00   84.16
01:24:39 PM    5    1.04    0.00    4.17    0.00    0.00    5.21    0.00    0.00    0.00   89.58
01:24:39 PM    6    0.00    0.00   10.10    0.00    1.01   11.11    0.00    0.00    0.00   77.78
01:24:39 PM    7    2.02    0.00   10.10    0.00    1.01    9.09    0.00    0.00    0.00   77.78

01:24:39 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:24:40 PM  all    0.13    0.00    5.22    0.00    0.64   19.21    0.00    0.00    0.00   74.81
01:24:40 PM    0    0.00    0.00    0.99    0.00    0.99   98.02    0.00    0.00    0.00    0.00
01:24:40 PM    1    0.00    0.00   13.27    0.00    1.02   13.27    0.00    0.00    0.00   72.45
01:24:40 PM    2    0.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   99.00
01:24:40 PM    3    0.00    0.00    6.06    0.00    0.00    5.05    0.00    0.00    0.00   88.89
01:24:40 PM    4    0.00    0.00    4.04    0.00    0.00    5.05    0.00    0.00    0.00   90.91
01:24:40 PM    5    0.00    0.00    6.19    0.00    1.03   10.31    0.00    0.00    0.00   82.47
01:24:40 PM    6    1.05    0.00    6.32    0.00    1.05   11.58    0.00    0.00    0.00   80.00
01:24:40 PM    7    0.00    0.00    5.15    0.00    1.03    7.22    0.00    0.00    0.00   86.60

01:24:40 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:24:41 PM  all    0.64    0.00    6.27    0.00    0.77   19.57    0.00    0.00    0.00   72.76
01:24:41 PM    0    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
01:24:41 PM    1    0.00    0.00    9.47    0.00    1.05   14.74    0.00    0.00    0.00   74.74
01:24:41 PM    2    0.99    0.00    5.94    0.00    0.99    4.95    0.00    0.00    0.00   87.13
01:24:41 PM    3    0.00    0.00    6.12    0.00    1.02    9.18    0.00    0.00    0.00   83.67
01:24:41 PM    4    0.00    0.00    5.32    0.00    1.06    7.45    0.00    0.00    0.00   86.17
01:24:41 PM    5    1.01    0.00   11.11    0.00    1.01    9.09    0.00    0.00    0.00   77.78
01:24:41 PM    6    2.04    0.00    7.14    0.00    0.00    4.08    0.00    0.00    0.00   86.73
01:24:41 PM    7    1.03    0.00    5.15    0.00    0.00    6.19    0.00    0.00    0.00   87.63

01:24:41 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:24:42 PM  all    0.26    0.00    3.62    0.00    0.78   19.51    0.00    0.00    0.00   75.84
01:24:42 PM    0    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
01:24:42 PM    1    0.00    0.00    4.08    0.00    1.02    5.10    0.00    0.00    0.00   89.80
01:24:42 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:24:42 PM    3    0.00    0.00    5.56    0.00    1.11   13.33    0.00    0.00    0.00   80.00
01:24:42 PM    4    1.01    0.00    8.08    0.00    1.01   10.10    0.00    0.00    0.00   79.80
01:24:42 PM    5    1.02    0.00    3.06    0.00    0.00    5.10    0.00    0.00    0.00   90.82
01:24:42 PM    6    0.00    0.00    0.00    0.00    1.08    8.60    0.00    0.00    0.00   90.32
01:24:42 PM    7    0.00    0.00    8.33    0.00    1.04   12.50    0.00    0.00    0.00   78.12

01:24:42 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:24:43 PM  all    0.00    0.00    5.10    0.00    0.64   19.13    0.00    0.00    0.00   75.13
01:24:43 PM    0    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
01:24:43 PM    1    0.00    0.00    5.15    0.00    0.00    8.25    0.00    0.00    0.00   86.60
01:24:43 PM    2    0.00    0.00    0.00    0.00    0.00    2.06    0.00    0.00    0.00   97.94
01:24:43 PM    3    0.00    0.00    6.06    0.00    1.01    7.07    0.00    0.00    0.00   85.86
01:24:43 PM    4    0.00    0.00    8.25    0.00    0.00    9.28    0.00    0.00    0.00   82.47
01:24:43 PM    5    0.00    0.00    6.12    0.00    1.02    7.14    0.00    0.00    0.00   85.71
01:24:43 PM    6    0.00    0.00    9.00    0.00    1.00    9.00    0.00    0.00    0.00   81.00
01:24:43 PM    7    0.00    0.00    6.25    0.00    1.04    9.38    0.00    0.00    0.00   83.33

01:24:43 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:24:44 PM  all    0.25    0.00    5.56    0.00    0.76   18.81    0.00    0.00    0.00   74.62
01:24:44 PM    0    0.00    0.00    0.00    0.00    1.01   98.99    0.00    0.00    0.00    0.00
01:24:44 PM    1    0.00    0.00    1.98    0.00    0.99    1.98    0.00    0.00    0.00   95.05
01:24:44 PM    2    0.00    0.00    6.86    0.00    0.00    4.90    0.00    0.00    0.00   88.24
01:24:44 PM    3    1.00    0.00    6.00    0.00    0.00    6.00    0.00    0.00    0.00   87.00
01:24:44 PM    4    0.00    0.00    9.90    0.00    0.99    9.90    0.00    0.00    0.00   79.21
01:24:44 PM    5    0.00    0.00    5.21    0.00    1.04    8.33    0.00    0.00    0.00   85.42
01:24:44 PM    6    0.00    0.00    5.21    0.00    1.04    8.33    0.00    0.00    0.00   85.42
01:24:44 PM    7    1.03    0.00    9.28    0.00    1.03   12.37    0.00    0.00    0.00   76.29

