Linux 7.0.12 (bpi-f3) 	06/25/2026 	_riscv64_	(8 CPU)

01:16:34 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:16:35 PM  all    0.52    0.00    2.46    0.00    1.42   37.65    0.00    0.00    0.00   57.96
01:16:35 PM    0    0.00    0.00    0.00    0.00    5.00   95.00    0.00    0.00    0.00    0.00
01:16:35 PM    1    1.04    0.00    3.12    0.00    1.04   34.38    0.00    0.00    0.00   60.42
01:16:35 PM    2    1.06    0.00    4.26    0.00    1.06   44.68    0.00    0.00    0.00   48.94
01:16:35 PM    3    1.06    0.00    3.19    0.00    1.06   37.23    0.00    0.00    0.00   57.45
01:16:35 PM    4    0.00    0.00    3.06    0.00    1.02   23.47    0.00    0.00    0.00   72.45
01:16:35 PM    5    0.00    0.00    1.05    0.00    0.00   20.00    0.00    0.00    0.00   78.95
01:16:35 PM    6    0.00    0.00    2.06    0.00    1.03   22.68    0.00    0.00    0.00   74.23
01:16:35 PM    7    1.01    0.00    3.03    0.00    1.01   22.22    0.00    0.00    0.00   72.73

01:16:35 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:16:36 PM  all    0.52    0.00    2.85    0.00    1.04   38.26    0.00    0.00    0.00   57.33
01:16:36 PM    0    0.00    0.00    0.00    0.00    5.00   95.00    0.00    0.00    0.00    0.00
01:16:36 PM    1    1.05    0.00    4.21    0.00    1.05   42.11    0.00    0.00    0.00   51.58
01:16:36 PM    2    1.05    0.00    4.21    0.00    1.05   38.95    0.00    0.00    0.00   54.74
01:16:36 PM    3    0.00    0.00    5.32    0.00    1.06   41.49    0.00    0.00    0.00   52.13
01:16:36 PM    4    1.04    0.00    4.17    0.00    0.00   33.33    0.00    0.00    0.00   61.46
01:16:36 PM    5    0.00    0.00    1.03    0.00    0.00   13.40    0.00    0.00    0.00   85.57
01:16:36 PM    6    1.02    0.00    3.06    0.00    0.00   22.45    0.00    0.00    0.00   73.47
01:16:36 PM    7    0.00    0.00    1.04    0.00    0.00   17.71    0.00    0.00    0.00   81.25

01:16:36 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:16:37 PM  all    0.90    0.00    3.08    0.00    1.29   37.92    0.00    0.00    0.00   56.81
01:16:37 PM    0    0.00    0.00    0.99    0.00    4.95   94.06    0.00    0.00    0.00    0.00
01:16:37 PM    1    2.17    0.00    5.43    0.00    1.09   53.26    0.00    0.00    0.00   38.04
01:16:37 PM    2    1.06    0.00    6.38    0.00    1.06   53.19    0.00    0.00    0.00   38.30
01:16:37 PM    3    2.13    0.00    5.32    0.00    1.06   53.19    0.00    0.00    0.00   38.30
