Linux 7.0.12 (bpi-f3) 	06/25/2026 	_riscv64_	(8 CPU)

12:58:23 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:58:24 PM  all    1.33    0.00    4.40    0.00    2.80   23.20    0.00    0.00    0.00   68.27
12:58:24 PM    0    0.00    0.00    2.33    0.00    1.16   87.21    0.00    0.00    0.00    9.30
12:58:24 PM    1    2.27    0.00   12.50    0.00    6.82    1.14    0.00    0.00    0.00   77.27
12:58:24 PM    2    0.00    0.00    1.00    0.00    1.00   98.00    0.00    0.00    0.00    0.00
12:58:24 PM    3    4.65    0.00   10.47    0.00    8.14    0.00    0.00    0.00    0.00   76.74
12:58:24 PM    4    3.12    0.00    7.29    0.00    3.12    0.00    0.00    0.00    0.00   86.46
12:58:24 PM    5    1.06    0.00    3.19    0.00    3.19    0.00    0.00    0.00    0.00   92.55
12:58:24 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:58:24 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

12:58:24 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:58:25 PM  all    0.90    0.00    3.21    0.00    2.69   13.21    0.00    0.00    0.00   80.00
12:58:25 PM    0    3.03    0.00    2.02    0.00    6.06    4.04    0.00    0.00    0.00   84.85
12:58:25 PM    1    1.01    0.00    3.03    0.00    1.01    0.00    0.00    0.00    0.00   94.95
12:58:25 PM    2    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
12:58:25 PM    3    0.00    0.00    5.26    0.00    3.16    0.00    0.00    0.00    0.00   91.58
12:58:25 PM    4    1.03    0.00    5.15    0.00    3.09    0.00    0.00    0.00    0.00   90.72
12:58:25 PM    5    1.04    0.00    6.25    0.00    3.12    0.00    0.00    0.00    0.00   89.58
12:58:25 PM    6    1.03    0.00    3.09    0.00    3.09    0.00    0.00    0.00    0.00   92.78
12:58:25 PM    7    0.00    0.00    1.03    0.00    1.03    0.00    0.00    0.00    0.00   97.94

12:58:25 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
