Linux 7.0.12 (bpi-f3) 	06/25/2026 	_riscv64_	(8 CPU)

12:32:12 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:32:13 PM  all    1.58    0.00    7.26    0.00    4.75   38.92    0.00    0.00    0.00   47.49
12:32:13 PM    0    0.00    0.00    0.00    0.00    4.95   95.05    0.00    0.00    0.00    0.00
12:32:13 PM    1    6.41    0.00   34.62    0.00   16.67    1.28    0.00    0.00    0.00   41.03
12:32:13 PM    2    0.00    0.00    2.00    0.00    1.00   97.00    0.00    0.00    0.00    0.00
12:32:13 PM    3    0.00    0.00    0.00    0.00    0.99   99.01    0.00    0.00    0.00    0.00
12:32:13 PM    4    2.15    0.00    9.68    0.00    6.45    1.08    0.00    0.00    0.00   80.65
12:32:13 PM    5    3.45    0.00   16.09    0.00    9.20    0.00    0.00    0.00    0.00   71.26
12:32:13 PM    6    1.02    0.00    2.04    0.00    2.04    0.00    0.00    0.00    0.00   94.90
12:32:13 PM    7    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00

12:32:13 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:32:14 PM  all    1.83    0.00    9.69    0.00    4.58   38.35    0.00    0.00    0.00   45.55
12:32:14 PM    0    0.00    0.00    0.00    0.00    4.04   95.96    0.00    0.00    0.00    0.00
12:32:14 PM    1    3.16    0.00    7.37    0.00    3.16    0.00    0.00    0.00    0.00   86.32
12:32:14 PM    2    0.00    0.00    0.99    0.00    0.99   98.02    0.00    0.00    0.00    0.00
12:32:14 PM    3    0.00    0.00    1.01    0.00    0.00   98.99    0.00    0.00    0.00    0.00
12:32:14 PM    4    2.22    0.00   18.89    0.00    7.78    0.00    0.00    0.00    0.00   71.11
12:32:14 PM    5    4.44    0.00   17.78    0.00    8.89    1.11    0.00    0.00    0.00   67.78
12:32:14 PM    6    2.08    0.00   13.54    0.00    4.17    0.00    0.00    0.00    0.00   80.21
12:32:14 PM    7    3.19    0.00   20.21    0.00    8.51    0.00    0.00    0.00    0.00   68.09

12:32:14 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:32:15 PM  all    1.41    0.00    8.74    0.00    5.01   38.05    0.00    0.00    0.00   46.79
12:32:15 PM    0    0.00    0.00    0.00    0.00    4.95   95.05    0.00    0.00    0.00    0.00
12:32:15 PM    1    1.01    0.00    5.05    0.00    3.03    1.01    0.00    0.00    0.00   89.90
12:32:15 PM    2    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00
12:32:15 PM    3    0.00    0.00    0.00    0.00    0.99   99.01    0.00    0.00    0.00    0.00
12:32:15 PM    4    3.16    0.00   16.84    0.00    8.42    0.00    0.00    0.00    0.00   71.58
12:32:15 PM    5    3.16    0.00   20.00    0.00    8.42    0.00    0.00    0.00    0.00   68.42
12:32:15 PM    6    2.20    0.00   16.48    0.00    8.79    0.00    0.00    0.00    0.00   72.53
12:32:15 PM    7    2.06    0.00   13.40    0.00    6.19    0.00    0.00    0.00    0.00   78.35

12:32:15 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:32:16 PM  all    1.08    0.00    6.32    0.00    5.11   39.65    0.00    0.00    0.00   47.85
12:32:16 PM    0    0.00    0.00    0.00    0.00    4.04   95.96    0.00    0.00    0.00    0.00
12:32:16 PM    1    3.49    0.00   17.44    0.00    9.30    0.00    0.00    0.00    0.00   69.77
12:32:16 PM    2    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
12:32:16 PM    3    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
12:32:16 PM    4    1.15    0.00   11.49    0.00    8.05    1.15    0.00    0.00    0.00   78.16
12:32:16 PM    5    1.12    0.00    7.87    0.00    6.74    0.00    0.00    0.00    0.00   84.27
12:32:16 PM    6    3.45    0.00   11.49    0.00    9.20    0.00    0.00    0.00    0.00   75.86
12:32:16 PM    7    0.00    0.00    5.21    0.00    3.12    1.04    0.00    0.00    0.00   90.62

12:32:16 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:32:17 PM  all    1.05    0.00    6.84    0.13    5.13   38.95    0.00    0.00    0.00   47.89
12:32:17 PM    0    0.00    0.00    0.00    0.00    4.95   95.05    0.00    0.00    0.00    0.00
12:32:17 PM    1    0.00    0.00    0.00    0.00    1.00    1.00    0.00    0.00    0.00   98.00
12:32:17 PM    2    0.00    0.00    0.00    0.00    0.99   99.01    0.00    0.00    0.00    0.00
12:32:17 PM    3    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
12:32:17 PM    4    2.20    0.00   14.29    1.10    8.79    0.00    0.00    0.00    0.00   73.63
12:32:17 PM    5    2.25    0.00   16.85    0.00   10.11    0.00    0.00    0.00    0.00   70.79
12:32:17 PM    6    2.30    0.00   11.49    0.00    8.05    0.00    0.00    0.00    0.00   78.16
12:32:17 PM    7    2.20    0.00   15.38    0.00    7.69    0.00    0.00    0.00    0.00   74.73

12:32:17 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:32:18 PM  all    1.18    0.00    8.14    0.00    5.12   38.58    0.00    0.00    0.00   46.98
12:32:18 PM    0    0.00    0.00    0.00    0.00    4.00   96.00    0.00    0.00    0.00    0.00
12:32:18 PM    1    3.30    0.00   13.19    0.00    7.69    0.00    0.00    0.00    0.00   75.82
12:32:18 PM    2    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
