Linux 7.0.12 (bpi-f3) 	06/25/2026 	_riscv64_	(8 CPU)

12:18:32 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:18:33 PM  all    0.64    0.00    2.82    0.00    1.15   36.62    0.00    0.00    0.00   58.77
12:18:33 PM    0    0.00    0.00    0.00    0.00    5.00   95.00    0.00    0.00    0.00    0.00
12:18:33 PM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:18:33 PM    2    0.00    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00   99.01
12:18:33 PM    3    0.00    0.00    2.02    0.00    0.00   12.12    0.00    0.00    0.00   85.86
12:18:33 PM    4    1.04    0.00    6.25    0.00    1.04   50.00    0.00    0.00    0.00   41.67
12:18:33 PM    5    1.06    0.00    5.32    0.00    1.06   51.06    0.00    0.00    0.00   41.49
12:18:33 PM    6    2.11    0.00    5.26    0.00    1.05   48.42    0.00    0.00    0.00   43.16
12:18:33 PM    7    1.03    0.00    4.12    0.00    1.03   37.11    0.00    0.00    0.00   56.70

12:18:33 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:18:34 PM  all    2.25    0.00    7.00    0.00    3.96   38.18    0.00    0.00    0.00   48.61
12:18:34 PM    0    0.00    0.00    0.00    0.00    5.00   95.00    0.00    0.00    0.00    0.00
12:18:34 PM    1    4.04    0.00    3.03    0.00    1.01    0.00    0.00    0.00    0.00   91.92
12:18:34 PM    2    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
12:18:34 PM    3    0.00    0.00    2.02    0.00    1.01    0.00    0.00    0.00    0.00   96.97
12:18:34 PM    4    6.49    0.00   22.08    0.00   12.99   12.99    0.00    0.00    0.00   45.45
12:18:34 PM    5    0.00    0.00    2.02    0.00    1.01   86.87    0.00    0.00    0.00   10.10
12:18:34 PM    6    8.33    0.00   30.95    0.00   13.10   11.90    0.00    0.00    0.00   35.71
12:18:34 PM    7    0.00    0.00    1.01    0.00    1.01   88.89    0.00    0.00    0.00    9.09

12:18:34 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:18:35 PM  all    2.04    0.00    7.06    0.00    5.43   40.03    0.00    0.00    0.00   45.45
12:18:35 PM    0    0.00    0.00    0.00    0.00    5.00   95.00    0.00    0.00    0.00    0.00
12:18:35 PM    1    4.55    0.00   11.36    0.00    9.09    1.14    0.00    0.00    0.00   73.86
12:18:35 PM    2    2.35    0.00   15.29    0.00    9.41    0.00    0.00    0.00    0.00   72.94
12:18:35 PM    3    1.03    0.00    2.06    0.00    1.03    0.00    0.00    0.00    0.00   95.88
12:18:35 PM    4    5.81    0.00   13.95    0.00    9.30    1.16    0.00    0.00    0.00   69.77
12:18:35 PM    5    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
12:18:35 PM    6    3.66    0.00   18.29    0.00   10.98    0.00    0.00    0.00    0.00   67.07
12:18:35 PM    7    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00

12:18:35 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:18:36 PM  all    1.45    0.00    9.51    0.00    5.81   38.84    0.00    0.00    0.00   44.39
12:18:36 PM    0    0.00    0.00    0.00    0.00    5.05   94.95    0.00    0.00    0.00    0.00
12:18:36 PM    1    4.44    0.00   20.00    0.00   11.11    0.00    0.00    0.00    0.00   64.44
12:18:36 PM    2    2.27    0.00   20.45    0.00   11.36    0.00    0.00    0.00    0.00   65.91
12:18:36 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:18:36 PM    4    2.33    0.00   17.44    0.00   10.47    0.00    0.00    0.00    0.00   69.77
12:18:36 PM    5    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00
12:18:36 PM    6    3.23    0.00   21.51    0.00    9.68    1.08    0.00    0.00    0.00   64.52
12:18:36 PM    7    0.00    0.00    0.99    0.00    0.99   98.02    0.00    0.00    0.00    0.00

12:18:36 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:18:37 PM  all    2.30    0.00    9.08    0.00    5.83   39.70    0.00    0.00    0.00   43.09
12:18:37 PM    0    0.00    0.00    0.00    0.00    5.94   94.06    0.00    0.00    0.00    0.00
12:18:37 PM    1    4.82    0.00   16.87    0.00   10.84    0.00    0.00    0.00    0.00   67.47
12:18:37 PM    2    5.81    0.00   20.93    0.00    9.30    0.00    0.00    0.00    0.00   63.95
12:18:37 PM    3    3.30    0.00   15.38    0.00    7.69    0.00    0.00    0.00    0.00   73.63
12:18:37 PM    4    1.11    0.00   11.11    0.00    6.67    0.00    0.00    0.00    0.00   81.11
12:18:37 PM    5    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
12:18:37 PM    6    4.55    0.00   12.50    0.00    6.82    0.00    0.00    0.00    0.00   76.14
12:18:37 PM    7    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00

12:18:37 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:18:38 PM  all    1.87    0.00    8.30    0.00    5.76   39.49    0.00    0.00    0.00   44.58
12:18:38 PM    0    0.00    0.00    0.00    0.00    5.00   95.00    0.00    0.00    0.00    0.00
12:18:38 PM    1    1.06    0.00    4.26    0.00    3.19    0.00    0.00    0.00    0.00   91.49
12:18:38 PM    2    3.49    0.00   20.93    0.00   11.63    0.00    0.00    0.00    0.00   63.95
12:18:38 PM    3    6.67    0.00   22.22    0.00   11.11    0.00    0.00    0.00    0.00   60.00
12:18:38 PM    4    2.27    0.00   11.36    0.00    7.95    1.14    0.00    0.00    0.00   77.27
12:18:38 PM    5    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00
12:18:38 PM    6    2.25    0.00   11.24    0.00    7.87    0.00    0.00    0.00    0.00   78.65
12:18:38 PM    7    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00

12:18:38 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:18:39 PM  all    1.72    0.00    9.13    0.00    5.56   39.29    0.00    0.00    0.00   44.31
12:18:39 PM    0    0.00    0.00    0.00    0.00    5.00   95.00    0.00    0.00    0.00    0.00
12:18:39 PM    1    0.00    0.00    1.98    0.00    0.99    0.99    0.00    0.00    0.00   96.04
12:18:39 PM    2    3.33    0.00   20.00    0.00   10.00    1.11    0.00    0.00    0.00   65.56
12:18:39 PM    3    4.71    0.00   17.65    0.00   10.59    0.00    0.00    0.00    0.00   67.06
12:18:39 PM    4    4.49    0.00   19.10    0.00    8.99    0.00    0.00    0.00    0.00   67.42
12:18:39 PM    5    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
12:18:39 PM    6    2.22    0.00   18.89    0.00    8.89    1.11    0.00    0.00    0.00   68.89
12:18:39 PM    7    0.00    0.00    0.00    0.00    0.99   99.01    0.00    0.00    0.00    0.00

12:18:39 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:18:40 PM  all    1.61    0.00    8.20    0.00    5.65   39.25    0.00    0.00    0.00   45.30
12:18:40 PM    0    0.00    0.00    0.00    0.00    5.05   94.95    0.00    0.00    0.00    0.00
12:18:40 PM    1    3.41    0.00   17.05    0.00    9.09    0.00    0.00    0.00    0.00   70.45
12:18:40 PM    2    2.33    0.00   16.28    0.00    9.30    0.00    0.00    0.00    0.00   72.09
12:18:40 PM    3    2.06    0.00    2.06    0.00    2.06    0.00    0.00    0.00    0.00   93.81
12:18:40 PM    4    2.30    0.00   17.24    0.00   10.34    0.00    0.00    0.00    0.00   70.11
12:18:40 PM    5    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
12:18:40 PM    6    3.41    0.00   17.05    0.00   10.23    0.00    0.00    0.00    0.00   69.32
12:18:40 PM    7    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00

12:18:40 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:18:41 PM  all    1.34    0.00    8.60    0.00    5.51   39.38    0.00    0.00    0.00   45.16
12:18:41 PM    0    0.00    0.00    0.00    0.00    5.00   95.00    0.00    0.00    0.00    0.00
12:18:41 PM    1    1.09    0.00   10.87    0.00    5.43    0.00    0.00    0.00    0.00   82.61
12:18:41 PM    2    3.45    0.00   20.69    0.00   11.49    0.00    0.00    0.00    0.00   64.37
12:18:41 PM    3    1.04    0.00    6.25    0.00    3.12    0.00    0.00    0.00    0.00   89.58
12:18:41 PM    4    2.50    0.00   22.50    0.00   12.50    0.00    0.00    0.00    0.00   62.50
12:18:41 PM    5    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00
12:18:41 PM    6    3.33    0.00   13.33    0.00    7.78    0.00    0.00    0.00    0.00   75.56
12:18:41 PM    7    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00

12:18:41 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:18:42 PM  all    1.86    0.00    8.12    0.00    5.99   39.41    0.00    0.00    0.00   44.61
12:18:42 PM    0    0.00    0.00    0.00    0.00    5.94   94.06    0.00    0.00    0.00    0.00
12:18:42 PM    1    4.49    0.00   14.61    0.00   10.11    0.00    0.00    0.00    0.00   70.79
12:18:42 PM    2    2.20    0.00   10.99    0.00    6.59    0.00    0.00    0.00    0.00   80.22
12:18:42 PM    3    1.06    0.00    9.57    0.00    5.32    1.06    0.00    0.00    0.00   82.98
12:18:42 PM    4    3.41    0.00   17.05    0.00   10.23    1.14    0.00    0.00    0.00   68.18
12:18:42 PM    5    0.00    0.00    0.00    0.00    0.99   99.01    0.00    0.00    0.00    0.00
12:18:42 PM    6    4.60    0.00   16.09    0.00    9.20    0.00    0.00    0.00    0.00   70.11
12:18:42 PM    7    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00

12:18:42 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:18:43 PM  all    1.34    0.00    8.58    0.00    5.63   39.68    0.00    0.00    0.00   44.77
12:18:43 PM    0    0.00    0.00    0.00    0.00    5.00   95.00    0.00    0.00    0.00    0.00
12:18:43 PM    1    3.30    0.00   15.38    0.00    7.69    1.10    0.00    0.00    0.00   72.53
12:18:43 PM    2    0.00    0.00    5.00    0.00    2.00    0.00    0.00    0.00    0.00   93.00
12:18:43 PM    3    2.08    0.00   12.50    0.00    5.21    0.00    0.00    0.00    0.00   80.21
12:18:43 PM    4    2.67    0.00   21.33    0.00   16.00    0.00    0.00    0.00    0.00   60.00
