Linux 7.0.12 (bpi-f3) 	06/25/2026 	_riscv64_	(8 CPU)

12:42:28 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:42:29 PM  all    0.00    0.00    6.62    0.00    0.89   17.30    0.00    0.00    0.00   75.19
12:42:29 PM    0    0.00    0.00    0.00    0.00    1.10   87.91    0.00    0.00    0.00   10.99
12:42:29 PM    1    0.00    0.00   12.37    0.00    2.06   14.43    0.00    0.00    0.00   71.13
12:42:29 PM    2    0.00    0.00    3.12    0.00    0.00    7.29    0.00    0.00    0.00   89.58
12:42:29 PM    3    0.00    0.00    6.06    0.00    1.01    7.07    0.00    0.00    0.00   85.86
12:42:29 PM    4    0.00    0.00   13.86    0.00    0.99   10.89    0.00    0.00    0.00   74.26
12:42:29 PM    5    0.00    0.00    9.09    0.00    0.00    8.08    0.00    0.00    0.00   82.83
12:42:29 PM    6    0.00    0.00    7.92    0.00    0.99    7.92    0.00    0.00    0.00   83.17
12:42:29 PM    7    0.00    0.00    0.00    0.00    0.98    0.98    0.00    0.00    0.00   98.04

12:42:29 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:42:30 PM  all    0.13    0.00    5.52    0.00    0.64   15.02    0.00    0.00    0.00   78.69
12:42:30 PM    0    0.00    0.00    0.00    0.00    2.30   80.46    0.00    0.00    0.00   17.24
12:42:30 PM    1    0.00    0.00   14.14    0.00    1.01   13.13    0.00    0.00    0.00   71.72
12:42:30 PM    2    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
12:42:30 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:42:30 PM    4    0.00    0.00    5.94    0.00    0.00    5.94    0.00    0.00    0.00   88.12
12:42:30 PM    5    0.00    0.00    7.22    0.00    1.03   10.31    0.00    0.00    0.00   81.44
12:42:30 PM    6    0.00    0.00    8.33    0.00    1.04   11.46    0.00    0.00    0.00   79.17
12:42:30 PM    7    0.00    0.00    8.16    0.00    0.00    7.14    0.00    0.00    0.00   84.69

12:42:30 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:42:31 PM  all    0.13    0.00    4.69    0.00    0.78   14.97    0.00    0.00    0.00   79.43
12:42:31 PM    0    0.00    0.00    0.00    0.00    2.30   80.46    0.00    0.00    0.00   17.24
12:42:31 PM    1    1.05    0.00   10.53    0.00    1.05   12.63    0.00    0.00    0.00   74.74
12:42:31 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:42:31 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:42:31 PM    4    0.00    0.00    8.42    0.00    1.05   11.58    0.00    0.00    0.00   78.95
12:42:31 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:42:31 PM    6    0.00    0.00    9.38    0.00    1.04   11.46    0.00    0.00    0.00   78.12
12:42:31 PM    7    0.00    0.00    9.38    0.00    1.04   11.46    0.00    0.00    0.00   78.12

12:42:31 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:42:32 PM  all    0.78    0.00    5.84    0.00    0.91   15.84    0.00    0.00    0.00   76.62
12:42:32 PM    0    0.00    0.00    0.00    0.00    1.19   84.52    0.00    0.00    0.00   14.29
12:42:32 PM    1    1.04    0.00    9.38    0.00    1.04   11.46    0.00    0.00    0.00   77.08
12:42:32 PM    2    1.02    0.00    6.12    0.00    1.02    8.16    0.00    0.00    0.00   83.67
12:42:32 PM    3    0.00    0.00    5.05    0.00    0.00    5.05    0.00    0.00    0.00   89.90
12:42:32 PM    4    0.00    0.00   11.34    0.00    1.03   12.37    0.00    0.00    0.00   75.26
12:42:32 PM    5    0.99    0.00    2.97    0.00    0.99    0.99    0.00    0.00    0.00   94.06
12:42:32 PM    6    2.11    0.00    9.47    0.00    1.05   11.58    0.00    0.00    0.00   75.79
12:42:32 PM    7    1.00    0.00    2.00    0.00    1.00    3.00    0.00    0.00    0.00   93.00

12:42:32 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:42:33 PM  all    0.13    0.00    5.06    0.00    0.78   15.56    0.00    0.00    0.00   78.47
12:42:33 PM    0    0.00    0.00    0.00    0.00    2.30   82.76    0.00    0.00    0.00   14.94
12:42:33 PM    1    0.00    0.00    1.01    0.00    0.00    2.02    0.00    0.00    0.00   96.97
12:42:33 PM    2    0.00    0.00    9.47    0.00    1.05   12.63    0.00    0.00    0.00   76.84
12:42:33 PM    3    0.00    0.00   11.22    0.00    1.02   11.22    0.00    0.00    0.00   76.53
12:42:33 PM    4    0.00    0.00   10.31    0.00    1.03   12.37    0.00    0.00    0.00   76.29
12:42:33 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:42:33 PM    6    1.04    0.00    8.33    0.00    1.04   11.46    0.00    0.00    0.00   78.12
12:42:33 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

12:42:33 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:42:34 PM  all    0.13    0.00    5.56    0.00    1.03   15.01    0.00    0.00    0.00   78.27
12:42:34 PM    0    0.00    0.00    0.00    0.00    2.38   80.95    0.00    0.00    0.00   16.67
12:42:34 PM    1    0.00    0.00    9.18    0.00    1.02    9.18    0.00    0.00    0.00   80.61
12:42:34 PM    2    1.00    0.00    6.00    0.00    1.00    5.00    0.00    0.00    0.00   87.00
12:42:34 PM    3    0.00    0.00    8.42    0.00    1.05   10.53    0.00    0.00    0.00   80.00
12:42:34 PM    4    0.00    0.00   10.10    0.00    2.02   12.12    0.00    0.00    0.00   75.76
12:42:34 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:42:34 PM    6    0.00    0.00   10.31    0.00    1.03   12.37    0.00    0.00    0.00   76.29
12:42:34 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

12:42:34 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:42:35 PM  all    0.26    0.00    5.16    0.00    0.65   16.52    0.00    0.00    0.00   77.42
12:42:35 PM    0    0.00    0.00    0.00    0.00    1.15   87.36    0.00    0.00    0.00   11.49
12:42:35 PM    1    0.00    0.00   10.42    0.00    1.04   14.58    0.00    0.00    0.00   73.96
12:42:35 PM    2    0.00    0.00    8.25    0.00    1.03   11.34    0.00    0.00    0.00   79.38
12:42:35 PM    3    0.00    0.00    5.15    0.00    1.03    9.28    0.00    0.00    0.00   84.54
12:42:35 PM    4    1.01    0.00    5.05    0.00    0.00    5.05    0.00    0.00    0.00   88.89
12:42:35 PM    5    0.00    0.00    5.05    0.00    0.00    5.05    0.00    0.00    0.00   89.90
12:42:35 PM    6    0.99    0.00    6.93    0.00    0.99    7.92    0.00    0.00    0.00   83.17
12:42:35 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

12:42:35 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:42:36 PM  all    0.13    0.00    6.05    0.00    0.77   16.22    0.00    0.00    0.00   76.83
12:42:36 PM    0    0.00    0.00    0.00    0.00    2.35   85.88    0.00    0.00    0.00   11.76
12:42:36 PM    1    0.00    0.00   11.46    0.00    1.04   13.54    0.00    0.00    0.00   73.96
12:42:36 PM    2    0.00    0.00   11.46    0.00    1.04   13.54    0.00    0.00    0.00   73.96
12:42:36 PM    3    1.00    0.00   13.00    0.00    1.00   13.00    0.00    0.00    0.00   72.00
12:42:36 PM    4    0.00    0.00    4.04    0.00    0.00    6.06    0.00    0.00    0.00   89.90
12:42:36 PM    5    0.00    0.00    6.93    0.00    0.99    6.93    0.00    0.00    0.00   85.15
12:42:36 PM    6    0.00    0.00    1.00    0.00    0.00    1.00    0.00    0.00    0.00   98.00
12:42:36 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

12:42:36 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:42:37 PM  all    0.26    0.00    5.34    0.00    0.65   16.41    0.00    0.00    0.00   77.34
12:42:37 PM    0    0.00    0.00    0.00    0.00    1.19   88.10    0.00    0.00    0.00   10.71
12:42:37 PM    1    1.03    0.00   10.31    0.00    1.03   14.43    0.00    0.00    0.00   73.20
12:42:37 PM    2    1.02    0.00   11.22    0.00    1.02   13.27    0.00    0.00    0.00   73.47
12:42:37 PM    3    0.00    0.00   11.46    0.00    1.04   13.54    0.00    0.00    0.00   73.96
12:42:37 PM    4    0.00    0.00    4.12    0.00    1.03    6.19    0.00    0.00    0.00   88.66
12:42:37 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:42:37 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:42:37 PM    7    0.00    0.00    5.15    0.00    0.00    6.19    0.00    0.00    0.00   88.66

12:42:37 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:42:38 PM  all    0.39    0.00    6.03    0.00    0.77   16.94    0.00    0.00    0.00   75.87
12:42:38 PM    0    0.00    0.00    1.12    0.00    2.25   86.52    0.00    0.00    0.00   10.11
