pair,scenario,cell,rep,sysctl,dur_s,pkt_size,threads,scenario_iface,scenario_mac,pps_sent,pps_recv,cycles,instructions,branches,branch_misses,cycles_per_pkt,ins_per_pkt,branch_miss_per_pkt,recv_sys_pct,recv_soft_pct,rps,rfs,cake,flower,kernel_has_sysctl,status
pi5-bpif3,eth_ip,cell-01,1,0,60,64,2,end0,fe:fe:fe:e2:46:d4,444337,444486,165705581958,93042059599,11169679546,84752515,6213.37,3488.74,3.1779,0.10,24.48,1,1,1,1,yes,ok
pi5-bpif3,eth_ip,cell-01,2,0,60,64,2,end0,fe:fe:fe:e2:46:d4,954552,954713,0,0,0,0,0.00,0.00,0.0000,0.00,0.00,1,1,1,1,yes,ok
pi5-bpif3,eth_ip,cell-01,3,0,60,64,2,end0,fe:fe:fe:e2:46:d4,1458514,1458690,0,0,0,0,0.00,0.00,0.0000,0.00,0.00,1,1,1,1,yes,ok
pi5-bpif3,eth_ip,cell-02,1,1,60,64,2,end0,fe:fe:fe:e2:46:d4,680804,680963,153475345803,84707124557,9954326388,123880983,3756.33,2073.22,3.0320,0.08,22.01,1,1,1,1,yes,ok
pi5-bpif3,eth_ip,cell-02,2,1,60,64,2,end0,fe:fe:fe:e2:46:d4,1199185,1199346,0,0,0,0,0.00,0.00,0.0000,0.00,0.00,1,1,1,1,yes,ok
pi5-bpif3,eth_ip,cell-02,3,1,60,64,2,end0,fe:fe:fe:e2:46:d4,403515,403670,155856705233,87806920314,10417363655,114328441,6434.98,3625.35,4.7204,0.08,22.22,1,1,1,1,yes,ok
pi5-bpif3,vlan,cell-01,1,0,60,64,2,vlan100,fe:fe:fe:e2:46:d4,2347524,2347711,0,0,0,0,0.00,0.00,0.0000,0.00,0.00,1,1,1,1,yes,ok
pi5-bpif3,vlan,cell-01,2,0,60,64,2,vlan100,fe:fe:fe:e2:46:d4,750783,750940,0,0,0,0,0.00,0.00,0.0000,0.00,0.00,1,1,1,1,yes,ok
pi5-bpif3,vlan,cell-01,3,0,60,64,2,vlan100,fe:fe:fe:e2:46:d4,1597861,1598036,0,0,0,0,0.00,0.00,0.0000,0.00,0.00,1,1,1,1,yes,ok
pi5-bpif3,vlan,cell-02,1,1,60,64,2,vlan100,fe:fe:fe:e2:46:d4,809452,809612,0,0,0,0,0.00,0.00,0.0000,0.00,0.00,1,1,1,1,yes,ok
