Linux 7.0.12 (bpi-f3) 	06/25/2026 	_riscv64_	(8 CPU)

05:15:14 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:15:15 PM  all    0.00    0.00    0.13    0.00    4.11   24.90    0.00    0.00    0.00   70.86
05:15:15 PM    0    0.00    0.00    0.99    0.00   29.70   69.31    0.00    0.00    0.00    0.00
05:15:15 PM    1    0.00    0.00    0.00    0.00    1.12   69.66    0.00    0.00    0.00   29.21
05:15:15 PM    2    0.00    0.00    0.00    0.00    1.12   69.66    0.00    0.00    0.00   29.21
05:15:15 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:15:15 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:15:15 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:15:15 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:15:15 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

05:15:15 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:15:16 PM  all    0.00    0.00    0.00    0.00    4.13   25.06    0.00    0.00    0.00   70.80
05:15:16 PM    0    0.00    0.00    0.00    0.00   30.00   70.00    0.00    0.00    0.00    0.00
05:15:16 PM    1    0.00    0.00    0.00    0.00    1.14   71.59    0.00    0.00    0.00   27.27
05:15:16 PM    2    0.00    0.00    0.00    0.00    1.16   70.93    0.00    0.00    0.00   27.91
05:15:16 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:15:16 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:15:16 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:15:16 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:15:16 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

05:15:16 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
