Linux 7.0.12 (bpi-f3) 	06/25/2026 	_riscv64_	(8 CPU)

04:35:09 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:35:10 PM  all    0.00    0.00    0.00    0.00    3.97   29.23    0.00    0.00    0.00   66.79
04:35:10 PM    0    0.00    0.00    0.00    0.00   30.30   69.70    0.00    0.00    0.00    0.00
04:35:10 PM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:10 PM    2    0.00    0.00    0.00    0.00    0.00   86.52    0.00    0.00    0.00   13.48
04:35:10 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:10 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:10 PM    5    0.00    0.00    0.00    0.00    1.08   88.17    0.00    0.00    0.00   10.75
04:35:10 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:10 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

04:35:10 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:35:11 PM  all    0.00    0.00    0.13    0.00    3.94   29.99    0.00    0.00    0.00   65.95
04:35:11 PM    0    0.00    0.00    1.00    0.00   29.00   70.00    0.00    0.00    0.00    0.00
04:35:11 PM    1    0.00    0.00    0.00    0.00    0.00   76.34    0.00    0.00    0.00   23.66
04:35:11 PM    2    0.00    0.00    0.00    0.00    1.00   10.00    0.00    0.00    0.00   89.00
04:35:11 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:11 PM    4    0.00    0.00    0.00    0.00    1.04   79.17    0.00    0.00    0.00   19.79
04:35:11 PM    5    0.00    0.00    0.00    0.00    0.00    9.18    0.00    0.00    0.00   90.82
04:35:11 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:35:11 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

04:35:11 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:35:12 PM  all    0.00    0.00    0.00    0.00    4.07   29.52    0.00    0.00    0.00   66.41
04:35:12 PM    0    0.00    0.00    0.00    0.00   30.00   70.00    0.00    0.00    0.00    0.00
