Linux 7.0.12 (l2) 	06/30/2026 	_x86_64_	(24 CPU)

03:58:54 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:58:55 PM  all    0.04    0.00    4.36    0.00    0.12    3.94    0.00    0.00    0.00   91.53
03:58:55 PM    0    0.00    0.00   31.37    0.00    0.98   28.43    0.00    0.00    0.00   39.22
03:58:55 PM    1    0.00    0.00   32.04    0.00    0.00   25.24    0.00    0.00    0.00   42.72
03:58:55 PM    2    0.94    0.00   31.13    0.00    0.94   19.81    0.00    0.00    0.00   47.17
03:58:55 PM    3    0.00    0.00    7.00    0.00    0.00    5.00    0.00    0.00    0.00   88.00
03:58:55 PM    4    0.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   99.00
03:58:55 PM    5    0.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   99.00
03:58:55 PM    6    0.00    0.00    0.00    0.00    0.00    1.01    0.00    0.00    0.00   98.99
03:58:55 PM    7    0.00    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00   99.01
03:58:55 PM    8    0.00    0.00    0.00    0.00    0.00    2.02    0.00    0.00    0.00   97.98
03:58:55 PM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:55 PM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:55 PM   11    0.00    0.00    0.00    0.00    0.00    3.03    0.00    0.00    0.00   96.97
03:58:55 PM   12    0.00    0.00    0.00    0.00    0.00    3.00    0.00    0.00    0.00   97.00
03:58:55 PM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:55 PM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:55 PM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:55 PM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:55 PM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:55 PM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:55 PM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:55 PM   20    0.00    0.00    0.00    0.00    1.00    2.00    0.00    0.00    0.00   97.00
03:58:55 PM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:55 PM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:55 PM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

03:58:55 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:58:56 PM  all    0.04    0.00    5.67    0.00    0.12    7.92    0.00    0.00    0.00   86.25
03:58:56 PM    0    0.99    0.00   38.61    0.00    0.00   55.45    0.00    0.00    0.00    4.95
03:58:56 PM    1    0.00    0.00   40.00    0.00    0.00   52.00    0.00    0.00    0.00    8.00
03:58:56 PM    2    0.00    0.00   40.78    0.00    0.00   39.81    0.00    0.00    0.00   19.42
03:58:56 PM    3    0.00    0.00   13.86    0.00    0.00   11.88    0.00    0.00    0.00   74.26
03:58:56 PM    4    0.00    0.00    0.00    0.00    1.01    1.01    0.00    0.00    0.00   97.98
03:58:56 PM    5    0.00    0.00    0.00    0.00    0.00    2.02    0.00    0.00    0.00   97.98
03:58:56 PM    6    0.00    0.00    1.00    0.00    0.00    1.00    0.00    0.00    0.00   98.00
03:58:56 PM    7    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00   99.00
03:58:56 PM    8    0.00    0.00    0.00    0.00    0.00    6.06    0.00    0.00    0.00   93.94
03:58:56 PM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:56 PM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:56 PM   11    0.00    0.00    0.00    0.00    0.00    6.06    0.00    0.00    0.00   93.94
03:58:56 PM   12    0.00    0.00    0.00    0.00    1.00    5.00    0.00    0.00    0.00   94.00
03:58:56 PM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:56 PM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:56 PM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:56 PM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:56 PM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:56 PM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:56 PM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:56 PM   20    0.00    0.00    0.00    0.00    0.00    8.08    0.00    0.00    0.00   91.92
03:58:56 PM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:56 PM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:56 PM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

03:58:56 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:58:57 PM  all    0.04    0.00    6.36    0.00    0.29    5.95    0.00    0.00    0.00   87.35
03:58:57 PM    0    0.00    0.00   43.56    0.00    0.00   43.56    0.00    0.00    0.00   12.87
03:58:57 PM    1    0.00    0.00   41.58    0.00    0.99   34.65    0.00    0.00    0.00   22.77
03:58:57 PM    2    0.00    0.00   45.10    0.00    0.00   27.45    0.00    0.00    0.00   27.45
03:58:57 PM    3    1.00    0.00   21.00    0.00    0.00   12.00    0.00    0.00    0.00   66.00
03:58:57 PM    4    0.00    0.00    0.00    0.00    0.00    2.00    0.00    0.00    0.00   98.00
03:58:57 PM    5    0.00    0.00    0.00    0.00    1.00    1.00    0.00    0.00    0.00   98.00
03:58:57 PM    6    0.00    0.00    0.00    0.00    1.00    2.00    0.00    0.00    0.00   97.00
03:58:57 PM    7    0.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   99.00
03:58:57 PM    8    0.00    0.00    0.00    0.00    1.00    5.00    0.00    0.00    0.00   94.00
03:58:57 PM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:57 PM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:57 PM   11    0.00    0.00    0.00    0.00    0.99    4.95    0.00    0.00    0.00   94.06
03:58:57 PM   12    0.00    0.00    0.00    0.00    1.00    4.00    0.00    0.00    0.00   95.00
03:58:57 PM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:57 PM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:57 PM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:57 PM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:57 PM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:57 PM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:57 PM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:57 PM   20    0.00    0.00    0.00    0.00    1.01    4.04    0.00    0.00    0.00   94.95
03:58:57 PM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:57 PM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:57 PM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

03:58:57 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:58:58 PM  all    0.00    0.00    6.33    0.00    0.17    6.37    0.00    0.00    0.00   87.14
03:58:58 PM    0    0.00    0.00   43.14    0.00    0.98   45.10    0.00    0.00    0.00   10.78
03:58:58 PM    1    0.00    0.00   44.00    0.00    0.00   37.00    0.00    0.00    0.00   19.00
03:58:58 PM    2    0.00    0.00   42.57    0.00    0.00   30.69    0.00    0.00    0.00   26.73
03:58:58 PM    3    0.00    0.00   19.80    0.00    0.00   13.86    0.00    0.00    0.00   66.34
03:58:58 PM    4    0.00    0.00    0.99    0.00    0.99    1.98    0.00    0.00    0.00   96.04
03:58:58 PM    5    0.00    0.00    0.00    0.00    0.00    2.02    0.00    0.00    0.00   97.98
03:58:58 PM    6    0.00    0.00    0.00    0.00    0.00    2.00    0.00    0.00    0.00   98.00
03:58:58 PM    7    0.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   99.00
03:58:58 PM    8    0.00    0.00    0.00    0.00    1.00    6.00    0.00    0.00    0.00   93.00
03:58:58 PM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:58 PM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:58 PM   11    0.00    0.00    0.00    0.00    0.00    4.04    0.00    0.00    0.00   95.96
03:58:58 PM   12    0.00    0.00    0.00    0.00    0.00    3.03    0.00    0.00    0.00   96.97
03:58:58 PM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:58 PM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:58 PM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:58 PM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:58 PM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:58 PM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:58 PM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:58 PM   20    0.00    0.00    0.00    0.00    0.99    4.95    0.00    0.00    0.00   94.06
03:58:58 PM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:58 PM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:58:58 PM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

03:58:58 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:58:59 PM  all    0.08    0.00    5.75    0.04    0.08    7.71    0.00    0.00    0.00   86.34
03:58:59 PM    0    0.00    0.00   39.00    0.00    0.00   54.00    0.00    0.00    0.00    7.00
