Linux 7.0.12 (l2) 	06/30/2026 	_x86_64_	(24 CPU)

02:52:07 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:52:08 PM  all    0.04    0.00    4.30    0.00    0.08    6.96    0.00    0.00    0.00   88.62
02:52:08 PM    0    0.00    0.00   29.29    0.00    0.00   45.45    0.00    0.00    0.00   25.25
02:52:08 PM    1    0.99    0.00   31.68    0.00    0.00   39.60    0.00    0.00    0.00   27.72
02:52:08 PM    2    0.00    0.00   28.00    0.00    0.00   42.00    0.00    0.00    0.00   30.00
02:52:08 PM    3    0.00    0.00   13.13    0.00    0.00   18.18    0.00    0.00    0.00   68.69
02:52:08 PM    4    0.00    0.00    0.00    0.00    0.00    1.01    0.00    0.00    0.00   98.99
02:52:08 PM    5    0.00    0.00    0.00    0.00    0.00    2.00    0.00    0.00    0.00   98.00
02:52:08 PM    6    0.00    0.00    0.00    0.00    1.00    1.00    0.00    0.00    0.00   98.00
02:52:08 PM    7    0.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   99.00
02:52:08 PM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:52:08 PM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:52:08 PM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:52:08 PM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:52:08 PM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:52:08 PM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:52:08 PM   14    0.00    0.00    0.00    0.00    1.00    5.00    0.00    0.00    0.00   94.00
02:52:08 PM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:52:08 PM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:52:08 PM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:52:08 PM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:52:08 PM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:52:08 PM   20    0.00    0.00    0.99    0.00    0.00    5.94    0.00    0.00    0.00   93.07
02:52:08 PM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:52:08 PM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:52:08 PM   23    0.00    0.00    0.00    0.00    0.00    6.06    0.00    0.00    0.00   93.94

02:52:08 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:52:09 PM  all    0.04    0.00    5.63    0.00    0.25   10.75    0.00    0.00    0.00   83.33
02:52:09 PM    0    0.00    0.00   31.00    0.00    1.00   67.00    0.00    0.00    0.00    1.00
02:52:09 PM    1    0.00    0.00   43.00    0.00    1.00   54.00    0.00    0.00    0.00    2.00
02:52:09 PM    2    0.99    0.00   35.64    0.00    0.00   61.39    0.00    0.00    0.00    1.98
