pair,scenario,cell,rep,proto,sysctl,dur_s,scenario_iface,scenario_v4,mbps,retransmits,recv_sys_pct,recv_soft_pct,rps,rfs,cake,flower,kernel_has_sysctl,status
l-l2,eth_ip,cell-01,1,tcp,0,60,enp35s0f0np0,10.10.4.5,16276.2,2938,6.48,8.05,1,1,1,1,yes,ok
l-l2,eth_ip,cell-01,2,tcp,0,60,enp35s0f0np0,10.10.4.5,17503.1,2499,6.52,8.70,1,1,1,1,yes,ok
l-l2,eth_ip,cell-01,3,tcp,0,60,enp35s0f0np0,10.10.4.5,17819.6,4862,6.73,8.50,1,1,1,1,yes,ok
l-l2,eth_ip,cell-02,1,tcp,1,60,enp35s0f0np0,10.10.4.5,16696.3,4133,6.50,8.41,1,1,1,1,yes,ok
l-l2,eth_ip,cell-02,2,tcp,1,60,enp35s0f0np0,10.10.4.5,18004.1,2421,6.33,9.27,1,1,1,1,yes,ok
l-l2,eth_ip,cell-02,3,tcp,1,60,enp35s0f0np0,10.10.4.5,18031.4,1750,6.55,8.67,1,1,1,1,yes,ok
l-l2,eth_ip,cell-03,1,udp,0,60,enp35s0f0np0,10.10.4.5,7255.1,0,12.46,3.43,1,1,1,1,yes,ok
l-l2,eth_ip,cell-03,2,udp,0,60,enp35s0f0np0,10.10.4.5,7309.1,0,11.25,4.52,1,1,1,1,yes,ok
l-l2,eth_ip,cell-03,3,udp,0,60,enp35s0f0np0,10.10.4.5,7220.6,0,12.48,3.42,1,1,1,1,yes,ok
l-l2,eth_ip,cell-04,1,udp,1,60,enp35s0f0np0,10.10.4.5,6853.7,0,12.60,3.25,1,1,1,1,yes,ok
l-l2,eth_ip,cell-04,2,udp,1,60,enp35s0f0np0,10.10.4.5,7063.3,0,12.10,3.78,1,1,1,1,yes,ok
l-l2,eth_ip,cell-04,3,udp,1,60,enp35s0f0np0,10.10.4.5,7385.9,0,12.43,3.50,1,1,1,1,yes,ok
l-l2,vlan,cell-01,1,tcp,0,60,vlan100,10.10.40.5,21092.4,3009,6.84,9.39,1,1,1,1,yes,ok
l-l2,vlan,cell-01,2,tcp,0,60,vlan100,10.10.40.5,22094.7,3508,6.79,9.87,1,1,1,1,yes,ok
l-l2,vlan,cell-01,3,tcp,0,60,vlan100,10.10.40.5,19789.7,3829,6.97,8.77,1,1,1,1,yes,ok
l-l2,vlan,cell-02,1,tcp,1,60,vlan100,10.10.40.5,19614.9,4556,6.79,9.13,1,1,1,1,yes,ok
l-l2,vlan,cell-02,2,tcp,1,60,vlan100,10.10.40.5,19088.7,1844,6.85,8.73,1,1,1,1,yes,ok
l-l2,vlan,cell-02,3,tcp,1,60,vlan100,10.10.40.5,16791.7,3267,6.98,7.72,1,1,1,1,yes,ok
l-l2,vlan,cell-03,1,udp,0,60,vlan100,10.10.40.5,6971.9,0,12.72,3.24,1,1,1,1,yes,ok
l-l2,vlan,cell-03,2,udp,0,60,vlan100,10.10.40.5,6941.6,0,12.73,3.22,1,1,1,1,yes,ok
l-l2,vlan,cell-03,3,udp,0,60,vlan100,10.10.40.5,7031.2,0,12.00,3.89,1,1,1,1,yes,ok
l-l2,vlan,cell-04,1,udp,1,60,vlan100,10.10.40.5,7025.6,0,12.71,3.26,1,1,1,1,yes,ok
l-l2,vlan,cell-04,2,udp,1,60,vlan100,10.10.40.5,6890.7,0,12.78,3.20,1,1,1,1,yes,ok
l-l2,vlan,cell-04,3,udp,1,60,vlan100,10.10.40.5,6976.7,0,12.15,3.76,1,1,1,1,yes,ok
l-l2,qinq,cell-01,1,tcp,0,60,cvlan100,10.10.41.5,18929.4,2945,6.03,10.06,1,1,1,1,yes,ok
l-l2,qinq,cell-01,2,tcp,0,60,cvlan100,10.10.41.5,16722.3,3114,5.85,9.57,1,1,1,1,yes,ok
l-l2,qinq,cell-01,3,tcp,0,60,cvlan100,10.10.41.5,20856.3,10421,5.99,10.79,1,1,1,1,yes,ok
l-l2,qinq,cell-02,1,tcp,1,60,cvlan100,10.10.41.5,16317.7,4377,6.55,8.70,1,1,1,1,yes,ok
l-l2,qinq,cell-02,2,tcp,1,60,cvlan100,10.10.41.5,16757.9,2833,6.36,9.07,1,1,1,1,yes,ok
l-l2,qinq,cell-02,3,tcp,1,60,cvlan100,10.10.41.5,16991.6,4362,6.20,9.11,1,1,1,1,yes,ok
l-l2,qinq,cell-03,1,udp,0,60,cvlan100,10.10.41.5,6842.2,0,12.46,3.52,1,1,1,1,yes,ok
l-l2,qinq,cell-03,2,udp,0,60,cvlan100,10.10.41.5,6954.3,0,12.43,3.59,1,1,1,1,yes,ok
l-l2,qinq,cell-03,3,udp,0,60,cvlan100,10.10.41.5,6890.0,0,12.44,3.55,1,1,1,1,yes,ok
l-l2,qinq,cell-04,1,udp,1,60,cvlan100,10.10.41.5,6817.0,0,11.84,4.09,1,1,1,1,yes,ok
l-l2,qinq,cell-04,2,udp,1,60,cvlan100,10.10.41.5,6845.7,0,12.41,3.58,1,1,1,1,yes,ok
l-l2,qinq,cell-04,3,udp,1,60,cvlan100,10.10.41.5,6689.8,0,11.88,4.01,1,1,1,1,yes,ok
l-l2,vxlan,cell-01,1,tcp,0,60,vxlan10,192.168.100.2,14620.8,1966,6.43,8.15,1,1,1,1,yes,ok
l-l2,vxlan,cell-01,2,tcp,0,60,vxlan10,192.168.100.2,15862.8,2043,6.12,8.84,1,1,1,1,yes,ok
l-l2,vxlan,cell-01,3,tcp,0,60,vxlan10,192.168.100.2,16069.2,1672,6.34,8.67,1,1,1,1,yes,ok
l-l2,vxlan,cell-02,1,tcp,1,60,vxlan10,192.168.100.2,11518.0,2570,6.67,6.62,1,1,1,1,yes,ok
l-l2,vxlan,cell-02,2,tcp,1,60,vxlan10,192.168.100.2,15135.7,949,6.27,8.32,1,1,1,1,yes,ok
l-l2,vxlan,cell-02,3,tcp,1,60,vxlan10,192.168.100.2,11597.4,2273,6.49,6.74,1,1,1,1,yes,ok
l-l2,vxlan,cell-03,1,udp,0,60,vxlan10,192.168.100.2,4700.1,0,11.83,4.31,1,1,1,1,yes,ok
