pair,scenario,cell,rep,sysctl,dur_s,pkt_size,threads,scenario_iface,scenario_mac,pps_sent,pps_recv,cycles,instructions,branches,branch_misses,cycles_per_pkt,ins_per_pkt,branch_miss_per_pkt,recv_sys_pct,recv_soft_pct,rps,rfs,cake,flower,kernel_has_sysctl,status
l-l2,eth_ip,cell-01,1,0,60,64,2,enp35s0f0np0,9c:dc:71:4c:a3:50,3237272,3235352,435862566721,620502811072,121045248333,84439584,2245.31,3196.47,0.4350,0.19,11.07,1,1,1,1,yes,ok
l-l2,eth_ip,cell-01,2,0,60,64,2,enp35s0f0np0,9c:dc:71:4c:a3:50,3121883,3122678,434594914107,624350990782,121878869849,86296575,2319.56,3332.35,0.4606,0.13,11.02,1,1,1,1,yes,ok
l-l2,eth_ip,cell-01,3,0,60,64,2,enp35s0f0np0,9c:dc:71:4c:a3:50,3208473,3206541,451136079104,644590806507,125693364305,88899033,2344.87,3350.40,0.4621,0.24,11.17,1,1,1,1,yes,ok
l-l2,eth_ip,cell-02,1,1,60,64,2,enp35s0f0np0,9c:dc:71:4c:a3:50,3283939,3284670,440374604861,629281048744,122855007316,101783732,2234.49,3193.02,0.5165,0.11,11.27,1,1,1,1,yes,ok
l-l2,eth_ip,cell-02,2,1,60,64,2,enp35s0f0np0,9c:dc:71:4c:a3:50,3284117,3283713,426412506386,616757833251,120398682968,97981392,2164.28,3130.39,0.4973,0.12,10.97,1,1,1,1,yes,ok
l-l2,eth_ip,cell-02,3,1,60,64,2,enp35s0f0np0,9c:dc:71:4c:a3:50,3276200,3277421,427461505170,617910726693,120659373828,84282872,2173.77,3142.26,0.4286,0.09,11.04,1,1,1,1,yes,ok
l-l2,vlan,cell-01,1,0,60,64,2,vlan100,9c:dc:71:4c:a3:50,3264784,3265071,422661790776,614084891985,119656469564,85145960,2157.49,3134.62,0.4346,0.13,10.89,1,1,1,1,yes,ok
l-l2,vlan,cell-01,2,0,60,64,2,vlan100,9c:dc:71:4c:a3:50,3273422,3273720,410788918720,598650847064,116667400667,79373314,2091.35,3047.76,0.4041,0.12,10.66,1,1,1,1,yes,ok
l-l2,vlan,cell-01,3,0,60,64,2,vlan100,9c:dc:71:4c:a3:50,3288693,3287440,416170085925,604320745240,117674808235,83456780,2109.90,3063.79,0.4231,0.20,10.61,1,1,1,1,yes,ok
l-l2,vlan,cell-02,1,1,60,64,2,vlan100,9c:dc:71:4c:a3:50,3279553,3277063,435846073928,625886504287,121861999143,102597449,2216.65,3183.17,0.5218,0.22,10.93,1,1,1,1,yes,ok
l-l2,vlan,cell-02,2,1,60,64,2,vlan100,9c:dc:71:4c:a3:50,3283899,3282865,430354793551,614968140748,119848649738,77111242,2184.85,3122.11,0.3915,0.12,11.06,1,1,1,1,yes,ok
l-l2,vlan,cell-02,3,1,60,64,2,vlan100,9c:dc:71:4c:a3:50,3278927,3278027,441618737657,627574365198,122222095570,82670112,2245.35,3190.81,0.4203,0.19,11.13,1,1,1,1,yes,ok
l-l2,qinq,cell-01,1,0,60,64,2,cvlan100,9c:dc:71:4c:a3:50,3282657,3281060,427596970047,619264533013,120597607316,83769207,2172.05,3145.65,0.4255,0.19,10.78,1,1,1,1,yes,ok
l-l2,qinq,cell-01,2,0,60,64,2,cvlan100,9c:dc:71:4c:a3:50,3286911,3287232,423925249552,615755357942,119942599055,101720114,2149.35,3121.95,0.5157,0.17,10.80,1,1,1,1,yes,ok
