pair,scenario,cell,rep,sysctl,dur_s,pkt_size,threads,scenario_iface,scenario_mac,pps_sent,pps_recv,cycles,instructions,branches,branch_misses,cycles_per_pkt,ins_per_pkt,branch_miss_per_pkt,recv_sys_pct,recv_soft_pct,rps,rfs,cake,flower,kernel_has_sysctl,status
l-l2,eth_ip,cell-01,1,0,25,64,2,enp35s0f0np0,9c:dc:71:4c:a3:50,3310250,3313113,170621605344,251531619050,49409330422,52260184,2059.96,3036.80,0.6309,0.15,10.58,1,1,1,1,yes,ok
l-l2,eth_ip,cell-01,2,0,25,64,2,enp35s0f0np0,9c:dc:71:4c:a3:50,3281669,3283827,178715280161,259921982718,51037036750,55980308,2176.91,3166.09,0.6819,0.19,10.91,1,1,1,1,yes,ok
l-l2,eth_ip,cell-01,3,0,25,64,2,enp35s0f0np0,9c:dc:71:4c:a3:50,3316482,3317869,177464368551,263115229500,51711872135,52691162,2139.50,3172.10,0.6352,0.14,10.96,1,1,1,1,yes,ok
l-l2,eth_ip,cell-01,4,0,25,64,2,enp35s0f0np0,9c:dc:71:4c:a3:50,3325929,3328009,177405953082,262395537396,51589552455,52812872,2132.28,3153.78,0.6348,0.09,11.04,1,1,1,1,yes,ok
l-l2,eth_ip,cell-01,5,0,25,64,2,enp35s0f0np0,9c:dc:71:4c:a3:50,3324900,3324151,184110789396,264841993157,51941558894,55671695,2215.43,3186.88,0.6699,0.30,10.95,1,1,1,1,yes,ok
l-l2,eth_ip,cell-02,1,1,25,64,2,enp35s0f0np0,9c:dc:71:4c:a3:50,3305843,3307108,178313100611,264980749805,52030178463,55882029,2156.73,3204.98,0.6759,0.20,10.79,1,1,1,1,yes,ok
l-l2,eth_ip,cell-02,2,1,25,64,2,enp35s0f0np0,9c:dc:71:4c:a3:50,3295641,3296326,175415166640,259478545573,50997550580,55429961,2128.61,3148.70,0.6726,0.14,10.86,1,1,1,1,yes,ok
l-l2,eth_ip,cell-02,3,1,25,64,2,enp35s0f0np0,9c:dc:71:4c:a3:50,3250297,3253236,178309381680,262387584518,51545474833,60071058,2192.39,3226.17,0.7386,2.10,10.87,1,1,1,1,yes,ok
l-l2,eth_ip,cell-02,4,1,25,64,2,enp35s0f0np0,9c:dc:71:4c:a3:50,3341601,3345138,181086541228,267932645964,52677886274,41271055,2165.37,3203.85,0.4935,0.06,11.19,1,1,1,1,yes,ok
l-l2,eth_ip,cell-02,5,1,25,64,2,enp35s0f0np0,9c:dc:71:4c:a3:50,3297868,3301052,174445134079,256333230295,50355945116,45384361,2113.81,3106.08,0.5499,0.15,10.76,1,1,1,1,yes,ok
