Linux 7.2.0-rc1 (hp3) 	07/06/2026 	_x86_64_	(8 CPU)

06:22:57 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:22:58 PM  all    0.12    0.00   10.19    0.00    0.50   29.57    0.00    0.00    0.00   59.63
06:22:58 PM    0    0.99    0.00    1.98    0.00    0.99   71.29    0.00    0.00    0.00   24.75
06:22:58 PM    1    0.00    0.00    0.00    0.00    0.99   99.01    0.00    0.00    0.00    0.00
06:22:58 PM    2    0.00    0.00   15.84    0.00    0.99   13.86    0.00    0.00    0.00   69.31
06:22:58 PM    3    0.00    0.00   38.61    0.00    0.00   16.83    0.00    0.00    0.00   44.55
06:22:58 PM    4    0.00    0.00   12.00    0.00    0.00   18.00    0.00    0.00    0.00   70.00
06:22:58 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:22:58 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:22:58 PM    7    0.00    0.00   13.00    0.00    1.00   17.00    0.00    0.00    0.00   69.00

06:22:58 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:22:59 PM  all    0.00    0.00    9.80    0.00    0.38   31.16    0.00    0.00    0.00   58.67
06:22:59 PM    0    0.00    0.00    1.01    0.00    1.01   87.88    0.00    0.00    0.00   10.10
06:22:59 PM    1    0.00    0.00    0.00    0.00    1.01   98.99    0.00    0.00    0.00    0.00
06:22:59 PM    2    0.00    0.00   12.87    0.00    0.00   17.82    0.00    0.00    0.00   69.31
06:22:59 PM    3    0.00    0.00   37.76    0.00    0.00    0.00    0.00    0.00    0.00   62.24
06:22:59 PM    4    0.00    0.00    6.93    0.00    0.99   13.86    0.00    0.00    0.00   78.22
06:22:59 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:22:59 PM    6    0.00    0.00   13.27    0.00    0.00   17.35    0.00    0.00    0.00   69.39
06:22:59 PM    7    0.00    0.00    7.00    0.00    0.00   14.00    0.00    0.00    0.00   79.00

06:22:59 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:23:00 PM  all    0.00    0.00    8.49    0.00    0.37   27.97    0.00    0.00    0.00   63.17
06:23:00 PM    0    0.00    0.00    0.00    0.00    0.99   47.52    0.00    0.00    0.00   51.49
06:23:00 PM    1    0.00    0.00    0.00    0.00    1.01   78.79    0.00    0.00    0.00   20.20
06:23:00 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:23:00 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:23:00 PM    4    0.00    0.00   23.76    0.00    0.00   43.56    0.00    0.00    0.00   32.67
06:23:00 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:23:00 PM    6    0.00    0.00   29.70    0.00    0.99   43.56    0.00    0.00    0.00   25.74
06:23:00 PM    7    0.00    0.00   14.14    0.00    0.00   10.10    0.00    0.00    0.00   75.76

06:23:00 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:23:01 PM  all    0.00    0.00   10.66    0.00    0.25   29.74    0.00    0.00    0.00   59.35
06:23:01 PM    0    0.00    0.00    0.00    0.00    1.00   78.00    0.00    0.00    0.00   21.00
06:23:01 PM    1    0.00    0.00    0.99    0.00    0.99   98.02    0.00    0.00    0.00    0.00
06:23:01 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
