Linux 7.2.0-rc1 (hp3) 	07/06/2026 	_x86_64_	(8 CPU)

06:42:07 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:42:08 PM  all    0.00    0.00    6.93    0.00    0.25   26.07    0.00    0.00    0.00   66.75
06:42:08 PM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:42:08 PM    1    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
06:42:08 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:42:08 PM    3    0.00    0.00   16.84    0.00    1.05   38.95    0.00    0.00    0.00   43.16
06:42:08 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:42:08 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:42:08 PM    6    0.00    0.00   28.00    0.00    0.00   54.00    0.00    0.00    0.00   18.00
06:42:08 PM    7    0.00    0.00   11.00    0.00    0.00   17.00    0.00    0.00    0.00   72.00

06:42:08 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:42:09 PM  all    0.00    0.00    8.91    0.00    0.37   32.92    0.00    0.00    0.00   57.80
06:42:09 PM    0    0.00    0.00    0.00    0.00    2.00   93.00    0.00    0.00    0.00    5.00
06:42:09 PM    1    0.00    0.00    0.00    0.00    0.99   77.23    0.00    0.00    0.00   21.78
06:42:09 PM    2    0.00    0.00   24.27    0.00    0.00   33.98    0.00    0.00    0.00   41.75
06:42:09 PM    3    0.00    0.00    1.98    0.00    0.00    2.97    0.00    0.00    0.00   95.05
06:42:09 PM    4    0.00    0.00    7.84    0.00    0.00    8.82    0.00    0.00    0.00   83.33
06:42:09 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:42:09 PM    6    0.00    0.00   27.72    0.00    0.00   26.73    0.00    0.00    0.00   45.54
06:42:09 PM    7    0.00    0.00    9.00    0.00    0.00   21.00    0.00    0.00    0.00   70.00

06:42:09 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:42:10 PM  all    0.12    0.00    9.70    0.00    0.50   33.71    0.00    0.00    0.00   55.97
06:42:10 PM    0    0.99    0.00    1.98    0.00    0.99   75.25    0.00    0.00    0.00   20.79
06:42:10 PM    1    0.00    0.00    0.00    0.00    1.98   98.02    0.00    0.00    0.00    0.00
06:42:10 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:42:10 PM    3    0.00    0.00   19.00    0.00    0.00   20.00    0.00    0.00    0.00   61.00
06:42:10 PM    4    0.00    0.00    6.00    0.00    0.00    8.00    0.00    0.00    0.00   86.00
06:42:10 PM    5    0.00    0.00    4.00    0.00    0.00    4.00    0.00    0.00    0.00   92.00
06:42:10 PM    6    0.00    0.00   19.80    0.00    0.99   26.73    0.00    0.00    0.00   52.48
06:42:10 PM    7    0.00    0.00   26.73    0.00    0.00   36.63    0.00    0.00    0.00   36.63

06:42:10 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:42:11 PM  all    0.00    0.00   10.14    0.00    0.13   25.66    0.00    0.00    0.00   64.08
