Linux 7.2.0-rc1 (hp3) 	07/06/2026 	_x86_64_	(8 CPU)

06:36:51 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:36:52 PM  all    0.00    0.00    7.96    0.00    0.25   31.09    0.00    0.00    0.00   60.70
06:36:52 PM    0    0.00    0.00    0.99    0.00    0.99   75.25    0.00    0.00    0.00   22.77
06:36:52 PM    1    0.00    0.00    0.00    0.00    0.00   74.00    0.00    0.00    0.00   26.00
06:36:52 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:36:52 PM    3    0.00    0.00   19.61    0.00    0.98   39.22    0.00    0.00    0.00   40.20
06:36:52 PM    4    0.00    0.00    5.05    0.00    0.00    6.06    0.00    0.00    0.00   88.89
06:36:52 PM    5    0.00    0.00   25.00    0.00    0.00   44.00    0.00    0.00    0.00   31.00
06:36:52 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:36:52 PM    7    0.00    0.00   12.87    0.00    0.00    9.90    0.00    0.00    0.00   77.23

06:36:52 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:36:53 PM  all    0.12    0.00    8.55    0.00    0.50   31.47    0.00    0.00    0.00   59.36
06:36:53 PM    0    0.00    0.00    0.00    0.00    1.00   77.00    0.00    0.00    0.00   22.00
06:36:53 PM    1    0.99    0.00    1.98    0.00    0.99   78.22    0.00    0.00    0.00   17.82
06:36:53 PM    2    0.00    0.00   12.75    0.00    0.98   17.65    0.00    0.00    0.00   68.63
06:36:53 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:36:53 PM    4    0.00    0.00   12.87    0.00    0.00   18.81    0.00    0.00    0.00   68.32
06:36:53 PM    5    0.00    0.00   10.78    0.00    0.98   10.78    0.00    0.00    0.00   77.45
06:36:53 PM    6    0.00    0.00   10.10    0.00    0.00   20.20    0.00    0.00    0.00   69.70
06:36:53 PM    7    0.00    0.00   19.61    0.00    0.00   29.41    0.00    0.00    0.00   50.98

06:36:53 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:36:54 PM  all    0.00    0.00   11.01    0.00    0.25   26.53    0.00    0.00    0.00   62.20
06:36:54 PM    0    0.00    0.00    0.00    0.00    1.00   75.00    0.00    0.00    0.00   24.00
06:36:54 PM    1    0.00    0.00    0.00    0.00    1.00   78.00    0.00    0.00    0.00   21.00
06:36:54 PM    2    0.00    0.00   38.38    0.00    0.00    1.01    0.00    0.00    0.00   60.61
06:36:54 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:36:54 PM    4    0.00    0.00   23.00    0.00    0.00   29.00    0.00    0.00    0.00   48.00
06:36:54 PM    5    0.00    0.00   18.00    0.00    0.00    9.00    0.00    0.00    0.00   73.00
06:36:54 PM    6    0.00    0.00    9.00    0.00    0.00   20.00    0.00    0.00    0.00   71.00
06:36:54 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

06:36:54 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:36:55 PM  all    0.00    0.00   12.12    0.00    0.38   24.75    0.00    0.00    0.00   62.75
06:36:55 PM    0    0.00    0.00    0.99    0.00    0.99   74.26    0.00    0.00    0.00   23.76
06:36:55 PM    1    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
06:36:55 PM    2    0.00    0.00    8.00    0.00    0.00    4.00    0.00    0.00    0.00   88.00
06:36:55 PM    3    0.00    0.00   35.64    0.00    0.00    2.97    0.00    0.00    0.00   61.39
06:36:55 PM    4    0.00    0.00    4.00    0.00    1.00    6.00    0.00    0.00    0.00   89.00
06:36:55 PM    5    0.00    0.00    6.00    0.00    0.00    3.00    0.00    0.00    0.00   91.00
06:36:55 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:36:55 PM    7    0.00    0.00   42.86    0.00    0.00    8.16    0.00    0.00    0.00   48.98

06:36:55 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:36:56 PM  all    0.00    0.00    8.44    0.00    0.37   34.00    0.00    0.00    0.00   57.20
06:36:56 PM    0    0.00    0.00    0.00    0.00    1.01   98.99    0.00    0.00    0.00    0.00
06:36:56 PM    1    0.00    0.00    0.98    0.00    0.98   72.55    0.00    0.00    0.00   25.49
06:36:56 PM    2    0.00    0.00    6.86    0.00    0.00   12.75    0.00    0.00    0.00   80.39
06:36:56 PM    3    0.00    0.00    9.00    0.00    0.00   21.00    0.00    0.00    0.00   70.00
06:36:56 PM    4    0.00    0.00   26.73    0.00    0.00   35.64    0.00    0.00    0.00   37.62
06:36:56 PM    5    0.00    0.00    0.00    0.00    0.00    1.98    0.00    0.00    0.00   98.02
06:36:56 PM    6    0.00    0.00   16.83    0.00    0.99   18.81    0.00    0.00    0.00   63.37
06:36:56 PM    7    0.00    0.00    7.00    0.00    0.00   11.00    0.00    0.00    0.00   82.00

06:36:56 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:36:57 PM  all    0.00    0.00    9.35    0.12    0.25   30.80    0.00    0.00    0.00   59.48
06:36:57 PM    0    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
06:36:57 PM    1    0.00    0.00    0.00    0.99    0.99   76.24    0.00    0.00    0.00   21.78
06:36:57 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:36:57 PM    3    0.00    0.00    9.00    0.00    0.00   21.00    0.00    0.00    0.00   70.00
06:36:57 PM    4    0.00    0.00   30.69    0.00    0.00    0.00    0.00    0.00    0.00   69.31
06:36:57 PM    5    0.00    0.00   25.25    0.00    0.00   34.34    0.00    0.00    0.00   40.40
06:36:57 PM    6    0.00    0.00    9.90    0.00    0.00   15.84    0.00    0.00    0.00   74.26
06:36:57 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

06:36:57 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:36:58 PM  all    0.00    0.00    9.33    0.00    0.37   30.97    0.00    0.00    0.00   59.33
06:36:58 PM    0    0.00    0.00    0.99    0.00    0.99   78.22    0.00    0.00    0.00   19.80
06:36:58 PM    1    0.00    0.00    0.00    0.00    0.99   80.20    0.00    0.00    0.00   18.81
06:36:58 PM    2    0.00    0.00    9.09    0.00    0.00    5.05    0.00    0.00    0.00   85.86
06:36:58 PM    3    0.00    0.00   12.87    0.00    0.99   17.82    0.00    0.00    0.00   68.32
06:36:58 PM    4    0.00    0.00    7.00    0.00    0.00    1.00    0.00    0.00    0.00   92.00
06:36:58 PM    5    0.00    0.00   11.88    0.00    0.00   18.81    0.00    0.00    0.00   69.31
06:36:58 PM    6    0.00    0.00   19.00    0.00    0.00   42.00    0.00    0.00    0.00   39.00
06:36:58 PM    7    0.00    0.00   13.86    0.00    0.00    3.96    0.00    0.00    0.00   82.18

06:36:58 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:36:59 PM  all    0.00    0.00    9.83    0.00    0.37   24.75    0.00    0.00    0.00   65.05
06:36:59 PM    0    0.00    0.00    0.00    0.00    1.00   41.00    0.00    0.00    0.00   58.00
06:36:59 PM    1    0.00    0.00    0.99    0.00    0.99   98.02    0.00    0.00    0.00    0.00
06:36:59 PM    2    0.00    0.00    9.90    0.00    0.00   10.89    0.00    0.00    0.00   79.21
06:36:59 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:36:59 PM    4    0.00    0.00   45.54    0.00    0.00   20.79    0.00    0.00    0.00   33.66
06:36:59 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:36:59 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:36:59 PM    7    0.00    0.00   21.78    0.00    0.99   26.73    0.00    0.00    0.00   50.50

06:36:59 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:37:00 PM  all    0.00    0.00    9.99    0.00    0.25   31.09    0.00    0.00    0.00   58.68
06:37:00 PM    0    0.00    0.00    0.99    0.00    0.99   81.19    0.00    0.00    0.00   16.83
06:37:00 PM    1    0.00    0.00    0.00    0.00    1.00   76.00    0.00    0.00    0.00   23.00
06:37:00 PM    2    0.00    0.00    7.77    0.00    0.00   18.45    0.00    0.00    0.00   73.79
06:37:00 PM    3    0.00    0.00    8.08    0.00    0.00   17.17    0.00    0.00    0.00   74.75
06:37:00 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:37:00 PM    5    0.00    0.00    7.07    0.00    0.00   16.16    0.00    0.00    0.00   76.77
06:37:00 PM    6    0.00    0.00   24.00    0.00    0.00   12.00    0.00    0.00    0.00   64.00
06:37:00 PM    7    0.00    0.00   32.32    0.00    0.00   27.27    0.00    0.00    0.00   40.40

06:37:00 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:37:01 PM  all    0.00    0.00    8.39    0.00    0.50   31.54    0.00    0.00    0.00   59.57
06:37:01 PM    0    0.00    0.00    0.00    0.00    1.00   54.00    0.00    0.00    0.00   45.00
06:37:01 PM    1    0.00    0.00    0.00    0.00    1.98   98.02    0.00    0.00    0.00    0.00
06:37:01 PM    2    0.00    0.00    6.25    0.00    0.00   11.46    0.00    0.00    0.00   82.29
06:37:01 PM    3    0.00    0.00   11.88    0.00    0.00   21.78    0.00    0.00    0.00   66.34
06:37:01 PM    4    0.00    0.00   32.00    0.00    1.00   45.00    0.00    0.00    0.00   22.00
06:37:01 PM    5    0.00    0.00    3.00    0.00    0.00    4.00    0.00    0.00    0.00   93.00
06:37:01 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:37:01 PM    7    0.00    0.00   13.86    0.00    0.00   16.83    0.00    0.00    0.00   69.31

06:37:01 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:37:02 PM  all    0.00    0.00   13.56    0.00    0.25   29.98    0.00    0.00    0.00   56.22
06:37:02 PM    0    0.00    0.00    1.01    0.00    1.01   97.98    0.00    0.00    0.00    0.00
06:37:02 PM    1    0.00    0.00    2.00    0.00    1.00   97.00    0.00    0.00    0.00    0.00
06:37:02 PM    2    0.00    0.00   27.45    0.00    0.00   20.59    0.00    0.00    0.00   51.96
06:37:02 PM    3    0.00    0.00   25.00    0.00    0.00   10.00    0.00    0.00    0.00   65.00
06:37:02 PM    4    0.00    0.00    5.94    0.00    0.00    9.90    0.00    0.00    0.00   84.16
06:37:02 PM    5    0.00    0.00    5.94    0.00    0.00    0.99    0.00    0.00    0.00   93.07
06:37:02 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:37:02 PM    7    0.00    0.00   40.59    0.00    0.00    4.95    0.00    0.00    0.00   54.46

06:37:02 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:37:03 PM  all    0.00    0.00   10.78    0.00    0.50   34.70    0.00    0.00    0.00   54.03
06:37:03 PM    0    0.00    0.00    0.98    0.00    1.96   97.06    0.00    0.00    0.00    0.00
06:37:03 PM    1    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
06:37:03 PM    2    0.00    0.00   17.82    0.00    0.00   13.86    0.00    0.00    0.00   68.32
06:37:03 PM    3    0.00    0.00   13.73    0.00    0.00   13.73    0.00    0.00    0.00   72.55
06:37:03 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:37:03 PM    5    0.00    0.00   28.71    0.00    0.99   25.74    0.00    0.00    0.00   44.55
06:37:03 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:37:03 PM    7    0.00    0.00   25.00    0.00    0.00   28.00    0.00    0.00    0.00   47.00

06:37:03 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:37:04 PM  all    0.00    0.00   11.67    0.00    0.63   27.85    0.00    0.00    0.00   59.85
06:37:04 PM    0    0.00    0.00    0.00    0.00    1.01   91.92    0.00    0.00    0.00    7.07
06:37:04 PM    1    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
06:37:04 PM    2    0.00    0.00   76.77    0.00    1.01   13.13    0.00    0.00    0.00    9.09
06:37:04 PM    3    0.00    0.00    2.00    0.00    1.00    2.00    0.00    0.00    0.00   95.00
06:37:04 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:37:04 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:37:04 PM    6    0.00    0.00   15.00    0.00    0.00   16.00    0.00    0.00    0.00   69.00
06:37:04 PM    7    0.00    0.00    0.00    0.00    1.00    1.00    0.00    0.00    0.00   98.00

06:37:04 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:37:05 PM  all    0.00    0.00    8.47    0.00    0.25   26.77    0.00    0.00    0.00   64.51
06:37:05 PM    0    0.00    0.00    0.00    0.00    0.00   48.98    0.00    0.00    0.00   51.02
06:37:05 PM    1    0.00    0.00    0.00    0.00    1.00   80.00    0.00    0.00    0.00   19.00
06:37:05 PM    2    0.00    0.00   35.00    0.00    0.00   42.00    0.00    0.00    0.00   23.00
06:37:05 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:37:05 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:37:05 PM    5    0.00    0.00    3.92    0.00    0.00    2.94    0.00    0.00    0.00   93.14
06:37:05 PM    6    0.00    0.00   15.84    0.00    0.99   23.76    0.00    0.00    0.00   59.41
06:37:05 PM    7    0.00    0.00   12.87    0.00    0.00   17.82    0.00    0.00    0.00   69.31

06:37:05 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:37:06 PM  all    0.00    0.00   11.72    0.00    0.25   26.81    0.00    0.00    0.00   61.22
06:37:06 PM    0    0.00    0.00    0.98    0.00    0.98   53.92    0.00    0.00    0.00   44.12
06:37:06 PM    1    0.00    0.00    0.99    0.00    0.99   98.02    0.00    0.00    0.00    0.00
06:37:06 PM    2    0.00    0.00   22.77    0.00    0.00   12.87    0.00    0.00    0.00   64.36
06:37:06 PM    3    0.00    0.00   58.16    0.00    0.00   15.31    0.00    0.00    0.00   26.53
06:37:06 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:37:06 PM    5    0.00    0.00    6.00    0.00    0.00   18.00    0.00    0.00    0.00   76.00
06:37:06 PM    6    0.00    0.00    6.00    0.00    0.00   15.00    0.00    0.00    0.00   79.00
06:37:06 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

06:37:06 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:37:07 PM  all    0.00    0.00    9.74    0.00    0.25   29.34    0.00    0.00    0.00   60.67
06:37:07 PM    0    0.00    0.00    0.00    0.00    1.00   62.00    0.00    0.00    0.00   37.00
06:37:07 PM    1    0.00    0.00    0.00    0.00    1.00   81.00    0.00    0.00    0.00   18.00
06:37:07 PM    2    0.00    0.00   10.78    0.00    0.00   18.63    0.00    0.00    0.00   70.59
06:37:07 PM    3    0.00    0.00   13.73    0.00    0.00   10.78    0.00    0.00    0.00   75.49
06:37:07 PM    4    0.00    0.00   11.11    0.00    0.00   19.19    0.00    0.00    0.00   69.70
06:37:07 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:37:07 PM    6    0.00    0.00   17.17    0.00    0.00   17.17    0.00    0.00    0.00   65.66
06:37:07 PM    7    0.00    0.00   25.25    0.00    0.00   26.26    0.00    0.00    0.00   48.48

06:37:07 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:37:08 PM  all    0.00    0.00   10.20    0.00    0.25   28.61    0.00    0.00    0.00   60.95
06:37:08 PM    0    0.00    0.00    1.00    0.00    1.00   98.00    0.00    0.00    0.00    0.00
06:37:08 PM    1    0.00    0.00    0.00    0.00    0.99   67.33    0.00    0.00    0.00   31.68
06:37:08 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:37:08 PM    3    0.00    0.00   51.02    0.00    0.00   30.61    0.00    0.00    0.00   18.37
06:37:08 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:37:08 PM    5    0.00    0.00   19.80    0.00    0.00   18.81    0.00    0.00    0.00   61.39
06:37:08 PM    6    0.00    0.00    6.93    0.00    0.00    4.95    0.00    0.00    0.00   88.12
06:37:08 PM    7    0.00    0.00    3.96    0.00    0.00    9.90    0.00    0.00    0.00   86.14

06:37:08 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:37:09 PM  all    0.00    0.00    9.28    0.00    0.25   29.99    0.00    0.00    0.00   60.48
06:37:09 PM    0    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
06:37:09 PM    1    0.00    0.00    0.00    0.00    1.01   77.78    0.00    0.00    0.00   21.21
06:37:09 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:37:09 PM    3    0.00    0.00    8.00    0.00    0.00   22.00    0.00    0.00    0.00   70.00
06:37:09 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:37:09 PM    5    0.00    0.00   60.61    0.00    0.00   29.29    0.00    0.00    0.00   10.10
06:37:09 PM    6    0.00    0.00    6.06    0.00    0.00   12.12    0.00    0.00    0.00   81.82
06:37:09 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

06:37:09 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:37:10 PM  all    0.12    0.00    9.95    0.00    0.37   23.88    0.00    0.00    0.00   65.67
06:37:10 PM    0    0.00    0.00    0.00    0.00    1.00   53.00    0.00    0.00    0.00   46.00
06:37:10 PM    1    0.98    0.00    1.96    0.00    0.98   73.53    0.00    0.00    0.00   22.55
06:37:10 PM    2    0.00    0.00   44.00    0.00    0.00   15.00    0.00    0.00    0.00   41.00
06:37:10 PM    3    0.00    0.00   13.00    0.00    0.00   18.00    0.00    0.00    0.00   69.00
06:37:10 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:37:10 PM    5    0.00    0.00   12.87    0.00    0.99   15.84    0.00    0.00    0.00   70.30
06:37:10 PM    6    0.00    0.00    7.92    0.00    0.00   14.85    0.00    0.00    0.00   77.23
06:37:10 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

06:37:10 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
