Linux 7.2.0-rc1 (hp3) 	07/06/2026 	_x86_64_	(8 CPU)

06:32:52 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:32:53 PM  all    0.00    0.00    7.14    0.00    0.38   33.83    0.00    0.00    0.00   58.65
06:32:53 PM    0    0.00    0.00    0.00    0.00    1.01   98.99    0.00    0.00    0.00    0.00
06:32:53 PM    1    0.00    0.00    0.99    0.00    0.99   67.33    0.00    0.00    0.00   30.69
06:32:53 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:32:53 PM    3    0.00    0.00    8.91    0.00    0.99   20.79    0.00    0.00    0.00   69.31
06:32:53 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:32:53 PM    5    0.00    0.00   25.51    0.00    0.00   55.10    0.00    0.00    0.00   19.39
06:32:53 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:32:53 PM    7    0.00    0.00   22.22    0.00    0.00   29.29    0.00    0.00    0.00   48.48

06:32:53 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:32:54 PM  all    0.00    0.00   11.28    0.00    0.37   32.59    0.00    0.00    0.00   55.76
06:32:54 PM    0    0.00    0.00    0.99    0.00    1.98   97.03    0.00    0.00    0.00    0.00
06:32:54 PM    1    0.00    0.00    1.01    0.00    1.01   79.80    0.00    0.00    0.00   18.18
06:32:54 PM    2    0.00    0.00   19.00    0.00    0.00   16.00    0.00    0.00    0.00   65.00
06:32:54 PM    3    0.00    0.00   25.00    0.00    0.00   11.00    0.00    0.00    0.00   64.00
06:32:54 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:32:54 PM    5    0.00    0.00   23.00    0.00    0.00   29.00    0.00    0.00    0.00   48.00
06:32:54 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:32:54 PM    7    0.00    0.00   20.95    0.00    0.00   28.57    0.00    0.00    0.00   50.48

06:32:54 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:32:55 PM  all    0.00    0.00    8.59    0.00    0.50   33.87    0.00    0.00    0.00   57.04
06:32:55 PM    0    0.00    0.00    1.00    0.00    1.00   98.00    0.00    0.00    0.00    0.00
06:32:55 PM    1    0.00    0.00    0.99    0.00    0.99   76.24    0.00    0.00    0.00   21.78
06:32:55 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:32:55 PM    3    0.00    0.00    7.84    0.00    0.00   18.63    0.00    0.00    0.00   73.53
06:32:55 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:32:55 PM    5    0.00    0.00   31.07    0.00    0.97   47.57    0.00    0.00    0.00   20.39
06:32:55 PM    6    0.00    0.00   15.84    0.00    0.00   15.84    0.00    0.00    0.00   68.32
06:32:55 PM    7    0.00    0.00   11.46    0.00    1.04   13.54    0.00    0.00    0.00   73.96

06:32:55 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:32:56 PM  all    0.13    0.00    9.41    0.00    0.38   30.36    0.00    0.00    0.00   59.72
06:32:56 PM    0    0.00    0.00    0.00    0.00    1.00   88.00    0.00    0.00    0.00   11.00
06:32:56 PM    1    0.99    0.00    0.00    0.00    0.99   58.42    0.00    0.00    0.00   39.60
06:32:56 PM    2    0.00    0.00    5.00    0.00    0.00   12.00    0.00    0.00    0.00   83.00
06:32:56 PM    3    0.00    0.00    1.02    0.00    0.00    1.02    0.00    0.00    0.00   97.96
06:32:56 PM    4    0.00    0.00   21.00    0.00    0.00   14.00    0.00    0.00    0.00   65.00
06:32:56 PM    5    0.00    0.00   40.21    0.00    0.00   48.45    0.00    0.00    0.00   11.34
