Linux 7.2.0-rc1 (hp5) 	07/06/2026 	_x86_64_	(8 CPU)

07:15:45 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:15:46 PM  all    0.00    0.00   11.80    0.00    0.37   26.58    0.00    0.00    0.00   61.24
07:15:46 PM    0    0.00    0.00    1.98    0.00    0.99   73.27    0.00    0.00    0.00   23.76
07:15:46 PM    1    0.00    0.00    0.99    0.00    0.00   99.01    0.00    0.00    0.00    0.00
07:15:46 PM    2    0.00    0.00    5.94    0.00    0.00    3.96    0.00    0.00    0.00   90.10
07:15:46 PM    3    0.00    0.00   49.00    0.00    0.00    1.00    0.00    0.00    0.00   50.00
07:15:46 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:15:46 PM    5    0.00    0.00   14.00    0.00    1.00   13.00    0.00    0.00    0.00   72.00
07:15:46 PM    6    0.00    0.00    4.95    0.00    0.00    3.96    0.00    0.00    0.00   91.09
07:15:46 PM    7    0.00    0.00   17.82    0.00    0.99   17.82    0.00    0.00    0.00   63.37

07:15:46 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:15:47 PM  all    0.00    0.00   11.38    0.00    0.12   27.75    0.00    0.00    0.00   60.75
07:15:47 PM    0    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00
07:15:47 PM    1    0.00    0.00    0.00    0.00    1.00   77.00    0.00    0.00    0.00   22.00
07:15:47 PM    2    0.00    0.00   14.85    0.00    0.00   10.89    0.00    0.00    0.00   74.26
07:15:47 PM    3    0.00    0.00   65.00    0.00    0.00   22.00    0.00    0.00    0.00   13.00
07:15:47 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:15:47 PM    5    0.00    0.00   11.00    0.00    0.00   13.00    0.00    0.00    0.00   76.00
07:15:47 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:15:47 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

07:15:47 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:15:48 PM  all    0.00    0.00   11.10    0.00    0.25   20.07    0.00    0.00    0.00   68.58
07:15:48 PM    0    0.00    0.00    0.00    0.00    0.99   99.01    0.00    0.00    0.00    0.00
07:15:48 PM    1    0.00    0.00    0.00    0.00    0.00   17.00    0.00    0.00    0.00   83.00
07:15:48 PM    2    0.00    0.00   12.00    0.00    1.00   15.00    0.00    0.00    0.00   72.00
07:15:48 PM    3    0.00    0.00    1.98    0.00    0.00    2.97    0.00    0.00    0.00   95.05
07:15:48 PM    4    0.00    0.00   26.53    0.00    0.00   17.35    0.00    0.00    0.00   56.12
07:15:48 PM    5    0.00    0.00    2.00    0.00    0.00    3.00    0.00    0.00    0.00   95.00
07:15:48 PM    6    0.00    0.00   46.53    0.00    0.00    5.94    0.00    0.00    0.00   47.52
07:15:48 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

07:15:48 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:15:49 PM  all    0.00    0.00   12.22    0.00    0.12   29.30    0.00    0.00    0.00   58.35
07:15:49 PM    0    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00
07:15:49 PM    1    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00
07:15:49 PM    2    0.00    0.00   18.81    0.00    0.00   11.88    0.00    0.00    0.00   69.31
07:15:49 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:15:49 PM    4    0.00    0.00    9.71    0.00    0.97    6.80    0.00    0.00    0.00   82.52
07:15:49 PM    5    0.00    0.00   58.00    0.00    0.00   11.00    0.00    0.00    0.00   31.00
07:15:49 PM    6    0.00    0.00   10.20    0.00    0.00    5.10    0.00    0.00    0.00   84.69
07:15:49 PM    7    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00

07:15:49 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:15:50 PM  all    0.00    0.00   12.61    0.00    0.12   31.84    0.00    0.00    0.00   55.43
07:15:50 PM    0    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00
07:15:50 PM    1    0.00    0.00    0.00    0.00    0.99   99.01    0.00    0.00    0.00    0.00
07:15:50 PM    2    0.00    0.00   30.69    0.00    0.00   16.83    0.00    0.00    0.00   52.48
07:15:50 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:15:50 PM    4    0.00    0.00   18.37    0.00    0.00   12.24    0.00    0.00    0.00   69.39
07:15:50 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:15:50 PM    6    0.00    0.00   11.88    0.00    0.00    6.93    0.00    0.00    0.00   81.19
07:15:50 PM    7    0.00    0.00   40.40    0.00    0.00   20.20    0.00    0.00    0.00   39.39

07:15:50 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:15:51 PM  all    0.00    0.00   12.17    0.12    0.37   29.07    0.00    0.00    0.00   58.26
07:15:51 PM    0    0.00    0.00    0.00    0.98    0.98   70.59    0.00    0.00    0.00   27.45
07:15:51 PM    1    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00
07:15:51 PM    2    0.00    0.00   44.55    0.00    0.99   29.70    0.00    0.00    0.00   24.75
07:15:51 PM    3    0.00    0.00   35.92    0.00    0.97   27.18    0.00    0.00    0.00   35.92
07:15:51 PM    4    0.00    0.00    8.08    0.00    0.00    0.00    0.00    0.00    0.00   91.92
07:15:51 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:15:51 PM    6    0.00    0.00    8.00    0.00    0.00    4.00    0.00    0.00    0.00   88.00
07:15:51 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

07:15:51 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:15:52 PM  all    0.00    0.00   11.67    0.00    0.00   24.47    0.00    0.00    0.00   63.86
07:15:52 PM    0    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00
07:15:52 PM    1    0.00    0.00    0.00    0.00    0.00   53.54    0.00    0.00    0.00   46.46
07:15:52 PM    2    0.00    0.00   28.57    0.00    0.00   23.47    0.00    0.00    0.00   47.96
07:15:52 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:15:52 PM    4    0.00    0.00   63.73    0.00    0.00   19.61    0.00    0.00    0.00   16.67
07:15:52 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:15:52 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:15:52 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

07:15:52 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:15:53 PM  all    0.00    0.00   11.22    0.00    0.37   24.81    0.00    0.00    0.00   63.59
07:15:53 PM    0    0.00    0.00    0.98    0.00    0.98   71.57    0.00    0.00    0.00   26.47
07:15:53 PM    1    0.00    0.00    0.00    0.00    0.99   52.48    0.00    0.00    0.00   46.53
07:15:53 PM    2    0.00    0.00   47.00    0.00    1.00   35.00    0.00    0.00    0.00   17.00
07:15:53 PM    3    0.00    0.00   35.05    0.00    0.00   30.93    0.00    0.00    0.00   34.02
07:15:53 PM    4    0.00    0.00    2.00    0.00    0.00    3.00    0.00    0.00    0.00   95.00
07:15:53 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:15:53 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:15:53 PM    7    0.00    0.00    5.94    0.00    0.00    4.95    0.00    0.00    0.00   89.11

07:15:53 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:15:54 PM  all    0.00    0.00   12.20    0.00    0.00   33.00    0.00    0.00    0.00   54.79
07:15:54 PM    0    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00
07:15:54 PM    1    0.00    0.00    0.99    0.00    0.00   99.01    0.00    0.00    0.00    0.00
07:15:54 PM    2    0.00    0.00   49.02    0.00    0.00   31.37    0.00    0.00    0.00   19.61
07:15:54 PM    3    0.00    0.00   20.00    0.00    0.00   11.00    0.00    0.00    0.00   69.00
07:15:54 PM    4    0.00    0.00   17.00    0.00    0.00   13.00    0.00    0.00    0.00   70.00
07:15:54 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:15:54 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:15:54 PM    7    0.00    0.00   10.00    0.00    0.00    9.00    0.00    0.00    0.00   81.00

07:15:54 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:15:55 PM  all    0.13    0.00   10.64    0.00    0.38   26.66    0.00    0.00    0.00   62.20
07:15:55 PM    0    0.99    0.00    0.99    0.00    0.99   91.09    0.00    0.00    0.00    5.94
07:15:55 PM    1    0.00    0.00    1.01    0.00    0.00   67.68    0.00    0.00    0.00   31.31
07:15:55 PM    2    0.00    0.00   40.21    0.00    0.00   13.40    0.00    0.00    0.00   46.39
07:15:55 PM    3    0.00    0.00    0.99    0.00    0.00    0.99    0.00    0.00    0.00   98.02
