Linux 7.2.0-rc1 (hp5) 	07/06/2026 	_x86_64_	(8 CPU)

06:59:17 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:59:18 PM  all    0.00    0.00   12.05    0.00    0.38   30.24    0.00    0.00    0.00   57.34
06:59:18 PM    0    0.00    0.00    0.00    0.00    1.00   89.00    0.00    0.00    0.00   10.00
06:59:18 PM    1    0.00    0.00    0.00    0.00    0.99   99.01    0.00    0.00    0.00    0.00
06:59:18 PM    2    0.00    0.00   31.00    0.00    0.00   11.00    0.00    0.00    0.00   58.00
06:59:18 PM    3    0.00    0.00   15.84    0.00    0.00   12.87    0.00    0.00    0.00   71.29
06:59:18 PM    4    0.00    0.00    5.10    0.00    0.00    4.08    0.00    0.00    0.00   90.82
06:59:18 PM    5    0.00    0.00   21.00    0.00    0.00   10.00    0.00    0.00    0.00   69.00
06:59:18 PM    6    0.00    0.00   23.71    0.00    1.03   14.43    0.00    0.00    0.00   60.82
06:59:18 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

06:59:18 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:59:19 PM  all    0.00    0.00   13.18    0.00    0.00   29.48    0.00    0.00    0.00   57.34
06:59:19 PM    0    0.00    0.00    1.00    0.00    0.00   99.00    0.00    0.00    0.00    0.00
06:59:19 PM    1    0.00    0.00    1.00    0.00    0.00   99.00    0.00    0.00    0.00    0.00
06:59:19 PM    2    0.00    0.00   25.00    0.00    0.00    0.00    0.00    0.00    0.00   75.00
06:59:19 PM    3    0.00    0.00   20.00    0.00    0.00    9.00    0.00    0.00    0.00   71.00
06:59:19 PM    4    0.00    0.00   18.81    0.00    0.00    9.90    0.00    0.00    0.00   71.29
06:59:19 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:59:19 PM    6    0.00    0.00   39.22    0.00    0.00   19.61    0.00    0.00    0.00   41.18
