pair,scenario,cell,rep,sysctl,dur_s,pkt_size,threads,scenario_iface,scenario_mac,pps_sent,pps_recv,cycles,instructions,branches,branch_misses,cycles_per_pkt,ins_per_pkt,branch_miss_per_pkt,recv_sys_pct,recv_soft_pct,rps,rfs,cake,flower,kernel_has_sysctl,status
hp2-hp5,eth_ip,cell-01,1,0,30,64,2,enp1s0f0np0,f8:f2:1e:38:ab:80,4328237,1392366,256265671121,279153915257,49319201212,109683076,6135.01,6682.96,2.6258,12.56,17.47,1,1,0,0,yes,ok
hp2-hp5,eth_ip,cell-01,2,0,30,64,2,enp1s0f0np0,f8:f2:1e:38:ab:80,4233609,1360076,261346210932,286108218550,50603959052,112401692,6405.18,7012.06,2.7548,12.55,18.16,1,1,0,0,yes,ok
hp2-hp5,eth_ip,cell-01,3,0,30,64,2,enp1s0f0np0,f8:f2:1e:38:ab:80,4276401,1355093,263663595459,285547345057,50507116084,109197675,6485.74,7024.05,2.6861,12.55,18.47,1,1,0,0,yes,ok
hp2-hp5,eth_ip,cell-02,1,1,30,64,2,enp1s0f0np0,f8:f2:1e:38:ab:80,4213682,1388833,257698667814,279095437105,48759036202,107766764,6185.01,6698.56,2.5865,12.54,17.66,1,1,0,0,yes,ok
hp2-hp5,eth_ip,cell-02,2,1,30,64,2,enp1s0f0np0,f8:f2:1e:38:ab:80,4267686,1407846,259726109271,280436820968,48994258022,108279029,6149.49,6639.85,2.5637,12.54,17.95,1,1,0,0,yes,ok
hp2-hp5,eth_ip,cell-02,3,1,30,64,2,enp1s0f0np0,f8:f2:1e:38:ab:80,4204647,1353181,265588401315,283044863095,49564211928,115073349,6542.32,6972.33,2.8346,12.56,18.76,1,1,0,0,yes,ok
hp2-hp5,vlan,cell-01,1,0,30,64,2,vlan100,f8:f2:1e:38:ab:80,4208207,1369156,269426068211,283033697077,49411825661,109023070,6559.42,6890.71,2.6543,12.57,19.27,1,1,0,0,yes,ok
hp2-hp5,vlan,cell-01,2,0,30,64,2,vlan100,f8:f2:1e:38:ab:80,4223428,1375709,265273634201,280413322108,48914702098,108556390,6427.56,6794.39,2.6303,12.55,18.65,1,1,0,0,yes,ok
hp2-hp5,vlan,cell-01,3,0,30,64,2,vlan100,f8:f2:1e:38:ab:80,4257488,1399806,262297069098,280288067546,48860715356,105738595,6246.03,6674.45,2.5179,12.54,18.31,1,1,0,0,yes,ok
hp2-hp5,vlan,cell-02,1,1,30,64,2,vlan100,f8:f2:1e:38:ab:80,4187164,1374335,269396048538,284768029677,49740031085,113093401,6533.97,6906.80,2.7430,12.55,19.14,1,1,0,0,yes,ok
hp2-hp5,vlan,cell-02,2,1,30,64,2,vlan100,f8:f2:1e:38:ab:80,4220680,1390261,263977116269,280476267594,48916824036,110914872,6329.20,6724.79,2.6593,12.54,18.39,1,1,0,0,yes,ok
