Linux 7.2.0-rc1 (hp5) 	07/08/2026 	_x86_64_	(8 CPU)

10:05:15 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:05:16 AM  all    0.00    0.00   12.47    0.00    0.12   19.45    0.00    0.00    0.00   67.96
10:05:16 AM    0    0.00    0.00    0.00    0.00    0.99   99.01    0.00    0.00    0.00    0.00
10:05:16 AM    1    0.00    0.00    0.00    0.00    0.00   56.00    0.00    0.00    0.00   44.00
10:05:16 AM    2    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10:05:16 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:05:16 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:05:16 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:05:16 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:05:16 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

10:05:16 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:05:17 AM  all    0.13    0.00   12.64    0.00    0.00   19.77    0.00    0.00    0.00   67.46
10:05:17 AM    0    0.00    0.00    0.00    0.00    0.00   70.71    0.00    0.00    0.00   29.29
10:05:17 AM    1    1.00    0.00    1.00    0.00    0.00   88.00    0.00    0.00    0.00   10.00
10:05:17 AM    2    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10:05:17 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:05:17 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:05:17 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
