pair,scenario,cell,rep,sysctl,dur_s,pkt_size,threads,scenario_iface,scenario_mac,pps_sent,pps_recv,cycles,instructions,branches,branch_misses,cycles_per_pkt,ins_per_pkt,branch_miss_per_pkt,recv_sys_pct,recv_soft_pct,rps,rfs,cake,flower,kernel_has_sysctl,status
hp2-hp5,eth_ip,cell-01,1,0,30,64,2,enp1s0f0np0,f8:f2:1e:38:ab:80,4313907,1400080,258072517876,280582705070,49560264453,142126241,6144.23,6680.16,3.3838,12.56,17.80,1,1,0,0,yes,ok
hp2-hp5,eth_ip,cell-01,2,0,30,64,2,enp1s0f0np0,f8:f2:1e:38:ab:80,4277697,1360076,259293022177,280389437075,49545011852,138738974,6354.86,6871.90,3.4003,12.54,17.89,1,1,0,0,yes,ok
hp2-hp5,eth_ip,cell-01,3,0,30,64,2,enp1s0f0np0,f8:f2:1e:38:ab:80,4200224,1357482,261764463468,283522844603,50109903320,142227798,6427.69,6961.98,3.4924,12.57,18.34,1,1,0,0,yes,ok
hp2-hp5,eth_ip,cell-02,1,1,30,64,2,enp1s0f0np0,f8:f2:1e:38:ab:80,4254985,1391820,264964405715,281338390453,49223057683,141565086,6345.75,6737.90,3.3904,12.55,18.61,1,1,0,0,yes,ok
hp2-hp5,eth_ip,cell-02,2,1,30,64,2,enp1s0f0np0,f8:f2:1e:38:ab:80,4275893,1388606,264507377273,280604146447,49092930969,141345529,6349.47,6735.87,3.3930,12.55,18.46,1,1,0,0,yes,ok
hp2-hp5,eth_ip,cell-02,3,1,30,64,2,enp1s0f0np0,f8:f2:1e:38:ab:80,4204459,1394114,264288607067,282328087961,49397744845,144909366,6319.15,6750.47,3.4648,12.54,18.55,1,1,0,0,yes,ok
hp2-hp5,vlan,cell-01,1,0,30,64,2,vlan100,f8:f2:1e:38:ab:80,4191063,1355877,273789179582,284005253642,49647113685,143808089,6730.92,6982.08,3.5354,12.55,19.64,1,1,0,0,yes,ok
hp2-hp5,vlan,cell-01,2,0,30,64,2,vlan100,f8:f2:1e:38:ab:80,4202295,1359325,279153873826,287736922867,50340529711,147193490,6845.40,7055.87,3.6095,12.55,20.25,1,1,0,0,yes,ok
hp2-hp5,vlan,cell-01,3,0,30,64,2,vlan100,f8:f2:1e:38:ab:80,4220446,1351884,277880810705,286586755315,50146429693,146790131,6851.69,7066.35,3.6194,12.57,20.17,1,1,0,0,yes,ok
hp2-hp5,vlan,cell-02,1,1,30,64,2,vlan100,f8:f2:1e:38:ab:80,4211412,1367586,272834838109,283117122627,49470348574,141800515,6650.03,6900.65,3.4562,12.54,19.48,1,1,0,0,yes,ok
