Linux 7.2.0-rc1 (hp5) 	07/08/2026 	_x86_64_	(8 CPU)

08:20:36 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:20:37 AM  all    0.00    0.00   10.20    0.00    0.25   22.64    0.00    0.00    0.00   66.92
08:20:37 AM    0    0.00    0.00    0.00    0.00    0.00   38.38    0.00    0.00    0.00   61.62
08:20:37 AM    1    0.00    0.00    0.00    0.00    0.98   71.57    0.00    0.00    0.00   27.45
08:20:37 AM    2    0.00    0.00   28.28    0.00    0.00   21.21    0.00    0.00    0.00   50.51
08:20:37 AM    3    0.00    0.00   28.00    0.00    1.00   22.00    0.00    0.00    0.00   49.00
08:20:37 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:20:37 AM    5    0.00    0.00   12.00    0.00    0.00   14.00    0.00    0.00    0.00   74.00
08:20:37 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:20:37 AM    7    0.00    0.00   13.46    0.00    0.00   13.46    0.00    0.00    0.00   73.08

08:20:37 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:20:38 AM  all    0.00    0.00   12.35    0.00    0.37   32.22    0.00    0.00    0.00   55.06
08:20:38 AM    0    0.00    0.00    0.00    0.00    0.99   99.01    0.00    0.00    0.00    0.00
08:20:38 AM    1    0.00    0.00    1.00    0.00    0.00   99.00    0.00    0.00    0.00    0.00
08:20:38 AM    2    0.00    0.00   14.71    0.00    0.98    6.86    0.00    0.00    0.00   77.45
08:20:38 AM    3    0.00    0.00   46.53    0.00    0.00   31.68    0.00    0.00    0.00   21.78
08:20:38 AM    4    0.00    0.00   14.56    0.00    0.97   12.62    0.00    0.00    0.00   71.84
08:20:38 AM    5    0.00    0.00   21.57    0.00    0.00    9.80    0.00    0.00    0.00   68.63
08:20:38 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:20:38 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

08:20:38 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:20:39 AM  all    0.00    0.00   12.83    0.00    0.25   32.45    0.00    0.00    0.00   54.47
08:20:39 AM    0    0.00    0.00    0.99    0.00    0.00   99.01    0.00    0.00    0.00    0.00
08:20:39 AM    1    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
08:20:39 AM    2    0.00    0.00    8.00    0.00    0.00    5.00    0.00    0.00    0.00   87.00
08:20:39 AM    3    0.00    0.00   11.00    0.00    0.00    8.00    0.00    0.00    0.00   81.00
08:20:39 AM    4    0.00    0.00   42.42    0.00    0.00   21.21    0.00    0.00    0.00   36.36
08:20:39 AM    5    0.00    0.00   21.65    0.00    1.03   12.37    0.00    0.00    0.00   64.95
08:20:39 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:20:39 AM    7    0.00    0.00   19.39    0.00    0.00   13.27    0.00    0.00    0.00   67.35

08:20:39 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:20:40 AM  all    0.00    0.00   11.24    0.00    0.12   27.34    0.00    0.00    0.00   61.30
08:20:40 AM    0    0.00    0.00    0.00    0.00    0.00   74.00    0.00    0.00    0.00   26.00
08:20:40 AM    1    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00
08:20:40 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:20:40 AM    3    0.00    0.00   27.72    0.00    0.99   21.78    0.00    0.00    0.00   49.50
08:20:40 AM    4    0.00    0.00   22.00    0.00    0.00   10.00    0.00    0.00    0.00   68.00
08:20:40 AM    5    0.00    0.00   27.72    0.00    0.00    1.98    0.00    0.00    0.00   70.30
08:20:40 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:20:40 AM    7    0.00    0.00   12.12    0.00    0.00   11.11    0.00    0.00    0.00   76.77

08:20:40 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:20:41 AM  all    0.00    0.00   12.27    0.00    0.25   25.03    0.00    0.00    0.00   62.45
08:20:41 AM    0    0.00    0.00    0.00    0.00    0.99   70.30    0.00    0.00    0.00   28.71
08:20:41 AM    1    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00
08:20:41 AM    2    0.00    0.00    4.00    0.00    0.00    4.00    0.00    0.00    0.00   92.00
08:20:41 AM    3    0.00    0.00   18.81    0.00    0.00   11.88    0.00    0.00    0.00   69.31
08:20:41 AM    4    0.00    0.00   37.62    0.00    0.00    0.99    0.00    0.00    0.00   61.39
08:20:41 AM    5    0.00    0.00   10.89    0.00    0.00    0.00    0.00    0.00    0.00   89.11
08:20:41 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:20:41 AM    7    0.00    0.00   26.47    0.00    0.98   13.73    0.00    0.00    0.00   58.82

08:20:41 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:20:42 AM  all    0.00    0.00   11.44    0.00    0.12   26.62    0.00    0.00    0.00   61.82
08:20:42 AM    0    0.00    0.00    0.00    0.00    0.00   74.75    0.00    0.00    0.00   25.25
08:20:42 AM    1    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
08:20:42 AM    2    0.00    0.00   43.56    0.00    0.00   10.89    0.00    0.00    0.00   45.54
08:20:42 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:20:42 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:20:42 AM    5    0.00    0.00   16.00    0.00    0.00   12.00    0.00    0.00    0.00   72.00
08:20:42 AM    6    0.00    0.00   23.30    0.00    0.00    8.74    0.00    0.00    0.00   67.96
08:20:42 AM    7    0.00    0.00    8.00    0.00    0.00    9.00    0.00    0.00    0.00   83.00

08:20:42 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:20:43 AM  all    0.00    0.00   11.47    0.00    0.12   26.81    0.00    0.00    0.00   61.60
08:20:43 AM    0    0.00    0.00    0.00    0.00    0.99   99.01    0.00    0.00    0.00    0.00
08:20:43 AM    1    0.00    0.00    0.00    0.00    0.00   73.27    0.00    0.00    0.00   26.73
08:20:43 AM    2    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96
08:20:43 AM    3    0.00    0.00   24.24    0.00    0.00   20.20    0.00    0.00    0.00   55.56
08:20:43 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:20:43 AM    5    0.00    0.00    9.80    0.00    0.00    4.90    0.00    0.00    0.00   85.29
08:20:43 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:20:43 AM    7    0.00    0.00   54.00    0.00    0.00   16.00    0.00    0.00    0.00   30.00

08:20:43 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:20:44 AM  all    0.12    0.00   11.96    0.00    0.25   29.51    0.00    0.00    0.00   58.16
08:20:44 AM    0    0.00    0.00    0.00    0.00    0.00   72.00    0.00    0.00    0.00   28.00
08:20:44 AM    1    0.98    0.00    0.98    0.00    0.98   97.06    0.00    0.00    0.00    0.00
08:20:44 AM    2    0.00    0.00    0.99    0.00    0.00    1.98    0.00    0.00    0.00   97.03
08:20:44 AM    3    0.00    0.00   11.11    0.00    0.00    6.06    0.00    0.00    0.00   82.83
08:20:44 AM    4    0.00    0.00   39.60    0.00    0.99   23.76    0.00    0.00    0.00   35.64
08:20:44 AM    5    0.00    0.00   30.00    0.00    0.00   19.00    0.00    0.00    0.00   51.00
08:20:44 AM    6    0.00    0.00   13.00    0.00    0.00   15.00    0.00    0.00    0.00   72.00
08:20:44 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

08:20:44 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:20:45 AM  all    0.00    0.00   14.54    0.00    0.13   24.56    0.00    0.00    0.00   60.78
08:20:45 AM    0    0.00    0.00    0.00    0.00    0.99   90.10    0.00    0.00    0.00    8.91
08:20:45 AM    1    0.00    0.00    0.00    0.00    0.00   74.75    0.00    0.00    0.00   25.25
08:20:45 AM    2    0.00    0.00   23.00    0.00    0.00    9.00    0.00    0.00    0.00   68.00
08:20:45 AM    3    0.00    0.00   68.32    0.00    0.00    4.95    0.00    0.00    0.00   26.73
08:20:45 AM    4    0.00    0.00   11.11    0.00    0.00    8.08    0.00    0.00    0.00   80.81
