Linux 7.2.0-rc1 (hp5) 	07/08/2026 	_x86_64_	(8 CPU)

08:42:11 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:42:12 AM  all    0.00    0.00   10.97    0.00    0.12   26.43    0.00    0.00    0.00   62.47
08:42:12 AM    0    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
08:42:12 AM    1    0.00    0.00    0.00    0.00    0.00   46.00    0.00    0.00    0.00   54.00
08:42:12 AM    2    0.00    0.00   13.13    0.00    0.00    7.07    0.00    0.00    0.00   79.80
08:42:12 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:42:12 AM    4    0.00    0.00   16.50    0.00    0.00   11.65    0.00    0.00    0.00   71.84
08:42:12 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:42:12 AM    6    0.00    0.00   19.80    0.00    0.00   21.78    0.00    0.00    0.00   58.42
08:42:12 AM    7    0.00    0.00   38.78    0.00    0.00   26.53    0.00    0.00    0.00   34.69

08:42:12 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:42:13 AM  all    0.00    0.00   11.46    0.00    0.37   29.02    0.00    0.00    0.00   59.15
08:42:13 AM    0    0.00    0.00    1.00    0.00    0.00   86.00    0.00    0.00    0.00   13.00
08:42:13 AM    1    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
08:42:13 AM    2    0.00    0.00   40.20    0.00    0.00   11.76    0.00    0.00    0.00   48.04
08:42:13 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:42:13 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:42:13 AM    5    0.00    0.00   20.00    0.00    1.00   11.00    0.00    0.00    0.00   68.00
08:42:13 AM    6    0.00    0.00   29.70    0.00    0.99   24.75    0.00    0.00    0.00   44.55
08:42:13 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

