Linux 7.2.0-rc1 (hp5) 	07/08/2026 	_x86_64_	(8 CPU)

08:40:05 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:40:06 AM  all    0.00    0.00   10.46    0.00    0.25   25.16    0.00    0.00    0.00   64.13
08:40:06 AM    0    0.00    0.00    0.00    0.00    0.00   75.00    0.00    0.00    0.00   25.00
08:40:06 AM    1    0.00    0.00    0.00    0.00    0.00   61.00    0.00    0.00    0.00   39.00
08:40:06 AM    2    0.00    0.00   34.95    0.00    0.00   28.16    0.00    0.00    0.00   36.89
08:40:06 AM    3    0.00    0.00   29.00    0.00    1.00   19.00    0.00    0.00    0.00   51.00
08:40:06 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:40:06 AM    5    0.00    0.00    4.00    0.00    1.00    6.00    0.00    0.00    0.00   89.00
08:40:06 AM    6    0.00    0.00   15.15    0.00    0.00   12.12    0.00    0.00    0.00   72.73
08:40:06 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

08:40:06 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:40:07 AM  all    0.00    0.00   12.52    0.00    0.25   32.34    0.00    0.00    0.00   54.89
08:40:07 AM    0    0.00    0.00    0.00    0.00    0.99   99.01    0.00    0.00    0.00    0.00
08:40:07 AM    1    0.00    0.00    0.98    0.00    0.98   98.04    0.00    0.00    0.00    0.00
08:40:07 AM    2    0.00    0.00   47.47    0.00    0.00   31.31    0.00    0.00    0.00   21.21
08:40:07 AM    3    0.00    0.00   20.39    0.00    0.00    9.71    0.00    0.00    0.00   69.90
08:40:07 AM    4    0.00    0.00   13.86    0.00    0.00    7.92    0.00    0.00    0.00   78.22
08:40:07 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:40:07 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:40:07 AM    7    0.00    0.00   18.00    0.00    0.00   12.00    0.00    0.00    0.00   70.00

08:40:07 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:40:08 AM  all    0.00    0.00   11.43    0.00    0.37   28.57    0.00    0.00    0.00   59.63
08:40:08 AM    0    0.00    0.00    1.98    0.00    0.99   97.03    0.00    0.00    0.00    0.00
08:40:08 AM    1    0.00    0.00    1.01    0.00    0.00   70.71    0.00    0.00    0.00   28.28
08:40:08 AM    2    0.00    0.00   29.70    0.00    0.99   16.83    0.00    0.00    0.00   52.48
08:40:08 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:40:08 AM    4    0.00    0.00   16.67    0.00    0.98   18.63    0.00    0.00    0.00   63.73
08:40:08 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:40:08 AM    6    0.00    0.00   42.00    0.00    0.00   26.00    0.00    0.00    0.00   32.00
08:40:08 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

08:40:08 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
