Linux 7.2.0-rc1 (hp5) 	07/08/2026 	_x86_64_	(8 CPU)

08:34:42 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:34:43 AM  all    0.00    0.00   10.54    0.00    0.13   24.59    0.00    0.00    0.00   64.74
08:34:43 AM    0    0.00    0.00    1.00    0.00    0.00   99.00    0.00    0.00    0.00    0.00
08:34:43 AM    1    0.00    0.00    0.00    0.00    0.00   48.48    0.00    0.00    0.00   51.52
08:34:43 AM    2    0.00    0.00   13.00    0.00    0.00   13.00    0.00    0.00    0.00   74.00
08:34:43 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:34:43 AM    4    0.00    0.00    9.00    0.00    0.00    1.00    0.00    0.00    0.00   90.00
08:34:43 AM    5    0.00    0.00   40.00    0.00    1.00   25.00    0.00    0.00    0.00   34.00
08:34:43 AM    6    0.00    0.00   21.43    0.00    0.00   10.20    0.00    0.00    0.00   68.37
08:34:43 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

08:34:43 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:34:44 AM  all    0.00    0.00   10.63    0.00    0.25   24.60    0.00    0.00    0.00   64.52
08:34:44 AM    0    0.00    0.00    0.00    0.00    0.99   99.01    0.00    0.00    0.00    0.00
08:34:44 AM    1    0.00    0.00    0.00    0.00    0.99   50.50    0.00    0.00    0.00   48.51
08:34:44 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:34:44 AM    3    0.00    0.00   15.84    0.00    0.00   11.88    0.00    0.00    0.00   72.28
08:34:44 AM    4    0.00    0.00   27.72    0.00    0.00    0.99    0.00    0.00    0.00   71.29
08:34:44 AM    5    0.00    0.00   31.07    0.00    0.00   21.36    0.00    0.00    0.00   47.57
08:34:44 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:34:44 AM    7    0.00    0.00    9.80    0.00    0.00   12.75    0.00    0.00    0.00   77.45

08:34:44 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:34:45 AM  all    0.00    0.00   11.06    0.00    0.25   27.76    0.00    0.00    0.00   60.93
08:34:45 AM    0    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00
08:34:45 AM    1    0.00    0.00    0.00    0.00    0.00   63.64    0.00    0.00    0.00   36.36
08:34:45 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:34:45 AM    3    0.00    0.00   25.74    0.00    0.99   15.84    0.00    0.00    0.00   57.43
08:34:45 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:34:45 AM    5    0.00    0.00   25.25    0.00    0.00   19.19    0.00    0.00    0.00   55.56
08:34:45 AM    6    0.00    0.00   35.71    0.00    1.02   22.45    0.00    0.00    0.00   40.82
08:34:45 AM    7    0.00    0.00    2.00    0.00    0.00    2.00    0.00    0.00    0.00   96.00

08:34:45 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:34:46 AM  all    0.00    0.00   10.43    0.00    0.38   30.40    0.00    0.00    0.00   58.79
08:34:46 AM    0    0.00    0.00    0.00    0.00    0.99   99.01    0.00    0.00    0.00    0.00
08:34:46 AM    1    0.00    0.00    0.00    0.00    0.00   76.00    0.00    0.00    0.00   24.00
08:34:46 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:34:46 AM    3    0.00    0.00    8.16    0.00    0.00    8.16    0.00    0.00    0.00   83.67
08:34:46 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:34:46 AM    5    0.00    0.00   31.31    0.00    1.01   17.17    0.00    0.00    0.00   50.51
08:34:46 AM    6    0.00    0.00   31.00    0.00    0.00   26.00    0.00    0.00    0.00   43.00
08:34:46 AM    7    0.00    0.00   13.27    0.00    1.02   15.31    0.00    0.00    0.00   70.41

08:34:46 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:34:47 AM  all    0.00    0.00   11.91    0.00    0.25   28.29    0.00    0.00    0.00   59.55
08:34:47 AM    0    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00
08:34:47 AM    1    0.00    0.00    0.00    0.00    1.00   90.00    0.00    0.00    0.00    9.00
08:34:47 AM    2    0.00    0.00    5.83    0.00    0.97    7.77    0.00    0.00    0.00   85.44
08:34:47 AM    3    0.00    0.00   21.36    0.00    0.00    9.71    0.00    0.00    0.00   68.93
08:34:47 AM    4    0.00    0.00    7.00    0.00    0.00    7.00    0.00    0.00    0.00   86.00
08:34:47 AM    5    0.00    0.00   16.00    0.00    0.00   13.00    0.00    0.00    0.00   71.00
08:34:47 AM    6    0.00    0.00   42.00    0.00    0.00    1.00    0.00    0.00    0.00   57.00
08:34:47 AM    7    0.00    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00   97.03

08:34:47 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:34:48 AM  all    0.00    0.00    9.44    0.12    0.25   25.22    0.00    0.00    0.00   64.97
08:34:48 AM    0    0.00    0.00    0.98    0.98    0.98   73.53    0.00    0.00    0.00   23.53
08:34:48 AM    1    0.00    0.00    0.00    0.00    0.00   57.43    0.00    0.00    0.00   42.57
08:34:48 AM    2    0.00    0.00   20.79    0.00    0.00   22.77    0.00    0.00    0.00   56.44
08:34:48 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:34:48 AM    4    0.00    0.00   37.00    0.00    1.00   35.00    0.00    0.00    0.00   27.00
08:34:48 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:34:48 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:34:48 AM    7    0.00    0.00   17.00    0.00    0.00   12.00    0.00    0.00    0.00   71.00

08:34:48 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:34:49 AM  all    0.00    0.00   11.94    0.00    0.12   30.72    0.00    0.00    0.00   57.21
08:34:49 AM    0    0.00    0.00    0.00    0.00    0.00   85.86    0.00    0.00    0.00   14.14
08:34:49 AM    1    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
08:34:49 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:34:49 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:34:49 AM    4    0.00    0.00   49.02    0.00    0.00   28.43    0.00    0.00    0.00   22.55
08:34:49 AM    5    0.00    0.00   21.21    0.00    0.00   12.12    0.00    0.00    0.00   66.67
08:34:49 AM    6    0.00    0.00   16.50    0.00    0.00   12.62    0.00    0.00    0.00   70.87
08:34:49 AM    7    0.00    0.00    7.92    0.00    0.00    8.91    0.00    0.00    0.00   83.17

08:34:49 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:34:50 AM  all    0.00    0.00   10.94    0.00    0.13   27.55    0.00    0.00    0.00   61.38
08:34:50 AM    0    0.00    0.00    0.00    0.00    0.00   85.00    0.00    0.00    0.00   15.00
08:34:50 AM    1    0.00    0.00    0.00    0.00    0.00   74.00    0.00    0.00    0.00   26.00
08:34:50 AM    2    0.00    0.00   24.49    0.00    0.00    8.16    0.00    0.00    0.00   67.35
08:34:50 AM    3    0.00    0.00   16.33    0.00    0.00   13.27    0.00    0.00    0.00   70.41
08:34:50 AM    4    0.00    0.00   26.26    0.00    1.01   20.20    0.00    0.00    0.00   52.53
08:34:50 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:34:50 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:34:50 AM    7    0.00    0.00   21.21    0.00    0.00   19.19    0.00    0.00    0.00   59.60

08:34:50 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:34:51 AM  all    0.00    0.00   10.19    0.00    0.25   24.53    0.00    0.00    0.00   65.03
08:34:51 AM    0    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
08:34:51 AM    1    0.00    0.00    0.00    0.00    0.00   46.00    0.00    0.00    0.00   54.00
08:34:51 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:34:51 AM    3    0.00    0.00   11.00    0.00    0.00   11.00    0.00    0.00    0.00   78.00
08:34:51 AM    4    0.00    0.00   47.47    0.00    0.00   15.15    0.00    0.00    0.00   37.37
08:34:51 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:34:51 AM    6    0.00    0.00   23.71    0.00    1.03   24.74    0.00    0.00    0.00   50.52
08:34:51 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

08:34:51 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:34:52 AM  all    0.00    0.00   10.90    0.00    0.25   19.33    0.00    0.00    0.00   69.52
08:34:52 AM    0    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00
08:34:52 AM    1    0.00    0.00    2.00    0.00    0.00   10.00    0.00    0.00    0.00   88.00
08:34:52 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:34:52 AM    3    0.00    0.00    9.90    0.00    0.99    5.94    0.00    0.00    0.00   83.17
08:34:52 AM    4    0.00    0.00   13.59    0.00    0.00   14.56    0.00    0.00    0.00   71.84
08:34:52 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:34:52 AM    6    0.00    0.00   48.51    0.00    0.00    8.91    0.00    0.00    0.00   42.57
08:34:52 AM    7    0.00    0.00   12.87    0.00    0.99   15.84    0.00    0.00    0.00   70.30

08:34:52 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:34:53 AM  all    0.00    0.00   11.18    0.00    0.25   29.44    0.00    0.00    0.00   59.13
08:34:53 AM    0    0.00    0.00    0.00    0.00    0.99   76.24    0.00    0.00    0.00   22.77
08:34:53 AM    1    0.00    0.00    0.00    0.00    0.99   99.01    0.00    0.00    0.00    0.00
08:34:53 AM    2    0.00    0.00   15.00    0.00    0.00    9.00    0.00    0.00    0.00   76.00
08:34:53 AM    3    0.00    0.00    8.00    0.00    0.00   11.00    0.00    0.00    0.00   81.00
08:34:53 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:34:53 AM    5    0.00    0.00   23.53    0.00    0.00    8.82    0.00    0.00    0.00   67.65
08:34:53 AM    6    0.00    0.00   27.00    0.00    0.00   24.00    0.00    0.00    0.00   49.00
08:34:53 AM    7    0.00    0.00   15.84    0.00    0.00    6.93    0.00    0.00    0.00   77.23

08:34:53 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:34:54 AM  all    0.00    0.00   11.43    0.00    0.12   23.48    0.00    0.00    0.00   64.97
08:34:54 AM    0    0.00    0.00    0.00    0.00    0.00   76.00    0.00    0.00    0.00   24.00
08:34:54 AM    1    0.00    0.00    0.00    0.00    0.00   78.00    0.00    0.00    0.00   22.00
08:34:54 AM    2    0.00    0.00   56.44    0.00    0.99   18.81    0.00    0.00    0.00   23.76
08:34:54 AM    3    0.00    0.00   15.00    0.00    0.00    0.00    0.00    0.00    0.00   85.00
08:34:54 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:34:54 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:34:54 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:34:54 AM    7    0.00    0.00   19.61    0.00    0.00   15.69    0.00    0.00    0.00   64.71

08:34:54 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:34:55 AM  all    0.00    0.00   12.61    0.00    0.00   22.35    0.00    0.00    0.00   65.04
08:34:55 AM    0    0.00    0.00    2.00    0.00    0.00   80.00    0.00    0.00    0.00   18.00
08:34:55 AM    1    0.00    0.00    1.00    0.00    0.00   71.00    0.00    0.00    0.00   28.00
08:34:55 AM    2    0.00    0.00   53.00    0.00    0.00   14.00    0.00    0.00    0.00   33.00
08:34:55 AM    3    0.00    0.00   44.55    0.00    0.00   13.86    0.00    0.00    0.00   41.58
08:34:55 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:34:55 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:34:55 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
