Linux 7.2.0-rc1 (hp5) 	07/08/2026 	_x86_64_	(8 CPU)

08:31:13 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:31:14 AM  all    0.00    0.00   12.48    0.00    0.25   25.47    0.00    0.00    0.00   61.80
08:31:14 AM    0    0.00    0.00    0.00    0.00    0.00   75.25    0.00    0.00    0.00   24.75
08:31:14 AM    1    0.00    0.00    0.00    0.00    1.00   78.00    0.00    0.00    0.00   21.00
08:31:14 AM    2    0.00    0.00   22.00    0.00    0.00    0.00    0.00    0.00    0.00   78.00
08:31:14 AM    3    0.00    0.00   24.00    0.00    0.00    9.00    0.00    0.00    0.00   67.00
08:31:14 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:31:14 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:31:14 AM    6    0.00    0.00   18.00    0.00    0.00   14.00    0.00    0.00    0.00   68.00
08:31:14 AM    7    0.00    0.00   36.00    0.00    1.00   27.00    0.00    0.00    0.00   36.00

08:31:14 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:31:15 AM  all    0.12    0.00    9.38    0.00    0.12   23.62    0.00    0.00    0.00   66.75
08:31:15 AM    0    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00
08:31:15 AM    1    1.00    0.00    1.00    0.00    0.00   10.00    0.00    0.00    0.00   88.00
08:31:15 AM    2    0.00    0.00    8.91    0.00    0.00    9.90    0.00    0.00    0.00   81.19
08:31:15 AM    3    0.00    0.00   18.81    0.00    0.99   24.75    0.00    0.00    0.00   55.45
08:31:15 AM    4    0.00    0.00   17.00    0.00    0.00   15.00    0.00    0.00    0.00   68.00
08:31:15 AM    5    0.00    0.00   29.00    0.00    0.00   30.00    0.00    0.00    0.00   41.00
08:31:15 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:31:15 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

08:31:15 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:31:16 AM  all    0.00    0.00   12.39    0.00    0.50   30.11    0.00    0.00    0.00   57.00
08:31:16 AM    0    0.00    0.00    0.00    0.00    0.99   99.01    0.00    0.00    0.00    0.00
08:31:16 AM    1    0.00    0.00    0.00    0.00    0.00   84.00    0.00    0.00    0.00   16.00
08:31:16 AM    2    0.00    0.00    7.84    0.00    0.98    7.84    0.00    0.00    0.00   83.33
08:31:16 AM    3    0.00    0.00   26.00    0.00    0.00   18.00    0.00    0.00    0.00   56.00
08:31:16 AM    4    0.00    0.00   21.00    0.00    1.00   11.00    0.00    0.00    0.00   67.00
08:31:16 AM    5    0.00    0.00   43.69    0.00    0.97   21.36    0.00    0.00    0.00   33.98
