Linux 7.2.0-rc1 (hp5) 	07/08/2026 	_x86_64_	(8 CPU)

08:26:33 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:26:34 AM  all    0.00    0.00   12.48    0.00    0.37   32.71    0.00    0.00    0.00   54.43
08:26:34 AM    0    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
08:26:34 AM    1    0.00    0.00    0.00    0.00    1.00   95.00    0.00    0.00    0.00    4.00
08:26:34 AM    2    0.00    0.00   27.45    0.00    0.98   20.59    0.00    0.00    0.00   50.98
08:26:34 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:26:34 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:26:34 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:26:34 AM    6    0.00    0.00   49.00    0.00    0.00   34.00    0.00    0.00    0.00   17.00
08:26:34 AM    7    0.00    0.00   23.23    0.00    0.00   13.13    0.00    0.00    0.00   63.64

08:26:34 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:26:35 AM  all    0.12    0.00    8.75    0.00    0.12   22.12    0.00    0.00    0.00   68.88
08:26:35 AM    0    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00
08:26:35 AM    1    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
08:26:35 AM    2    0.00    0.00    8.00    0.00    0.00   10.00    0.00    0.00    0.00   82.00
08:26:35 AM    3    0.00    0.00   13.73    0.00    0.00   14.71    0.00    0.00    0.00   71.57
08:26:35 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:26:35 AM    5    0.00    0.00   13.13    0.00    0.00   14.14    0.00    0.00    0.00   72.73
08:26:35 AM    6    0.00    0.00   35.71    0.00    1.02   38.78    0.00    0.00    0.00   24.49
08:26:35 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

08:26:35 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:26:36 AM  all    0.00    0.00   10.78    0.00    0.13   28.70    0.00    0.00    0.00   60.40
08:26:36 AM    0    0.00    0.00    0.00    0.00    0.00   67.00    0.00    0.00    0.00   33.00
08:26:36 AM    1    0.00    0.00    0.00    0.00    0.00   98.00    0.00    0.00    0.00    2.00
08:26:36 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:26:36 AM    3    0.00    0.00   24.24    0.00    1.01   20.20    0.00    0.00    0.00   54.55
08:26:36 AM    4    0.00    0.00   23.23    0.00    0.00    8.08    0.00    0.00    0.00   68.69
08:26:36 AM    5    0.00    0.00   23.00    0.00    0.00   22.00    0.00    0.00    0.00   55.00
08:26:36 AM    6    0.00    0.00   16.00    0.00    0.00   14.00    0.00    0.00    0.00   70.00
08:26:36 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

08:26:36 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:26:37 AM  all    0.00    0.00   10.19    0.00    0.25   25.09    0.00    0.00    0.00   64.47
08:26:37 AM    0    0.00    0.00    0.00    0.00    1.00   58.00    0.00    0.00    0.00   41.00
08:26:37 AM    1    0.00    0.00    0.00    0.00    0.00   73.74    0.00    0.00    0.00   26.26
08:26:37 AM    2    0.00    0.00   32.00    0.00    0.00   28.00    0.00    0.00    0.00   40.00
08:26:37 AM    3    0.00    0.00   24.75    0.00    0.00   20.79    0.00    0.00    0.00   54.46
08:26:37 AM    4    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
08:26:37 AM    5    0.00    0.00   19.42    0.00    0.97   21.36    0.00    0.00    0.00   58.25
08:26:37 AM    6    0.00    0.00    3.96    0.00    0.00    0.00    0.00    0.00    0.00   96.04
08:26:37 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

08:26:37 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:26:38 AM  all    0.00    0.00   12.05    0.00    0.50   30.56    0.00    0.00    0.00   56.89
08:26:38 AM    0    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00
08:26:38 AM    1    0.00    0.00    0.00    0.00    0.99   99.01    0.00    0.00    0.00    0.00
08:26:38 AM    2    0.00    0.00   40.40    0.00    1.01   15.15    0.00    0.00    0.00   43.43
08:26:38 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:26:38 AM    4    0.00    0.00   17.31    0.00    0.96   10.58    0.00    0.00    0.00   71.15
08:26:38 AM    5    0.00    0.00   18.81    0.00    0.00   10.89    0.00    0.00    0.00   70.30
08:26:38 AM    6    0.00    0.00   20.00    0.00    1.00    9.00    0.00    0.00    0.00   70.00
08:26:38 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

08:26:38 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:26:39 AM  all    0.00    0.00   12.61    0.00    0.12   30.90    0.00    0.00    0.00   56.37
08:26:39 AM    0    0.00    0.00    0.98    0.00    0.98   98.04    0.00    0.00    0.00    0.00
08:26:39 AM    1    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00
08:26:39 AM    2    0.00    0.00   35.00    0.00    0.00   11.00    0.00    0.00    0.00   54.00
08:26:39 AM    3    0.00    0.00   23.53    0.00    0.00   11.76    0.00    0.00    0.00   64.71
08:26:39 AM    4    0.00    0.00   21.21    0.00    0.00   11.11    0.00    0.00    0.00   67.68
08:26:39 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:26:39 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:26:39 AM    7    0.00    0.00   20.00    0.00    0.00   15.24    0.00    0.00    0.00   64.76

08:26:39 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:26:40 AM  all    0.00    0.00   11.42    0.00    0.13   29.61    0.00    0.00    0.00   58.85
08:26:40 AM    0    0.00    0.00    0.00    0.00    0.00   75.00    0.00    0.00    0.00   25.00
08:26:40 AM    1    0.00    0.00    0.00    0.00    0.99   99.01    0.00    0.00    0.00    0.00
08:26:40 AM    2    0.00    0.00   33.33    0.00    0.00   19.61    0.00    0.00    0.00   47.06
08:26:40 AM    3    0.00    0.00   17.35    0.00    0.00    9.18    0.00    0.00    0.00   73.47
08:26:40 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:26:40 AM    5    0.00    0.00   25.51    0.00    0.00   24.49    0.00    0.00    0.00   50.00
08:26:40 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:26:40 AM    7    0.00    0.00   15.31    0.00    0.00    8.16    0.00    0.00    0.00   76.53

08:26:40 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:26:41 AM  all    0.00    0.00   12.38    0.00    0.25   19.00    0.00    0.00    0.00   68.38
08:26:41 AM    0    0.00    0.00    0.00    0.00    0.99   99.01    0.00    0.00    0.00    0.00
08:26:41 AM    1    0.00    0.00    0.00    0.00    0.00   32.67    0.00    0.00    0.00   67.33
08:26:41 AM    2    0.00    0.00    5.05    0.00    0.00    2.02    0.00    0.00    0.00   92.93
08:26:41 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:26:41 AM    4    0.00    0.00   46.46    0.00    0.00    4.04    0.00    0.00    0.00   49.49
08:26:41 AM    5    0.00    0.00   11.00    0.00    0.00   10.00    0.00    0.00    0.00   79.00
08:26:41 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:26:41 AM    7    0.00    0.00   37.00    0.00    1.00    3.00    0.00    0.00    0.00   59.00

08:26:41 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:26:42 AM  all    0.13    0.00   12.06    0.00    0.13   30.40    0.00    0.00    0.00   57.29
08:26:42 AM    0    1.01    0.00    1.01    0.00    0.00   76.77    0.00    0.00    0.00   21.21
08:26:42 AM    1    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00
08:26:42 AM    2    0.00    0.00   18.37    0.00    0.00   12.24    0.00    0.00    0.00   69.39
08:26:42 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:26:42 AM    4    0.00    0.00   17.00    0.00    0.00    8.00    0.00    0.00    0.00   75.00
08:26:42 AM    5    0.00    0.00   33.33    0.00    0.98   19.61    0.00    0.00    0.00   46.08
08:26:42 AM    6    0.00    0.00   14.00    0.00    0.00   14.00    0.00    0.00    0.00   72.00
08:26:42 AM    7    0.00    0.00   12.24    0.00    0.00   13.27    0.00    0.00    0.00   74.49

08:26:42 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:26:43 AM  all    0.00    0.00   12.05    0.00    0.25   25.84    0.00    0.00    0.00   61.86
08:26:43 AM    0    0.00    0.00    1.00    0.00    0.00   70.00    0.00    0.00    0.00   29.00
08:26:43 AM    1    0.00    0.00    0.00    0.00    1.00   74.00    0.00    0.00    0.00   25.00
08:26:43 AM    2    0.00    0.00   16.83    0.00    0.00    0.99    0.00    0.00    0.00   82.18
08:26:43 AM    3    0.00    0.00   23.76    0.00    0.99   17.82    0.00    0.00    0.00   57.43
