pair,scenario,cell,rep,sysctl,dur_s,pkt_size,threads,scenario_iface,scenario_mac,pps_sent,pps_recv,cycles,instructions,branches,branch_misses,cycles_per_pkt,ins_per_pkt,branch_miss_per_pkt,recv_sys_pct,recv_soft_pct,rps,rfs,cake,flower,kernel_has_sysctl,status
hp2-hp5,eth_ip,cell-01,1,0,30,64,2,enp1s0f0np0,f8:f2:1e:38:ab:80,4359870,3195754,264041529565,258950556875,47481867656,80220048,2754.09,2700.98,0.8367,11.54,26.15,1,1,1,1,yes,ok
hp2-hp5,eth_ip,cell-01,2,0,30,64,2,enp1s0f0np0,f8:f2:1e:38:ab:80,4315309,3218066,261202523624,260887857717,47859438512,79178873,2705.58,2702.32,0.8201,11.31,26.47,1,1,1,1,yes,ok
hp2-hp5,eth_ip,cell-01,3,0,30,64,2,enp1s0f0np0,f8:f2:1e:38:ab:80,4221929,3328803,260284058076,261947710570,48100777464,82570509,2606.38,2623.04,0.8268,11.12,27.19,1,1,1,1,yes,ok
hp2-hp5,eth_ip,cell-02,1,1,30,64,2,enp1s0f0np0,f8:f2:1e:38:ab:80,4254579,3068477,271936264009,262737901862,48198467318,80948896,2954.08,2854.16,0.8794,11.83,26.61,1,1,1,1,yes,ok
hp2-hp5,eth_ip,cell-02,2,1,30,64,2,enp1s0f0np0,f8:f2:1e:38:ab:80,4235575,3198799,262059778656,256594121871,47095815539,80829803,2730.81,2673.86,0.8423,11.30,26.77,1,1,1,1,yes,ok
hp2-hp5,eth_ip,cell-02,3,1,30,64,2,enp1s0f0np0,f8:f2:1e:38:ab:80,4292793,3101589,277452398210,267254544259,49028847417,82996381,2981.83,2872.23,0.8920,11.81,27.53,1,1,1,1,yes,ok
hp2-hp5,vlan,cell-01,1,0,30,64,2,vlan100,f8:f2:1e:38:ab:80,4243041,3073937,265667144738,251077219512,45968075229,80450112,2880.86,2722.65,0.8724,11.45,27.20,1,1,1,1,yes,ok
hp2-hp5,vlan,cell-01,2,0,30,64,2,vlan100,f8:f2:1e:38:ab:80,4267381,3278577,252752192982,250807432023,45925829092,81460009,2569.73,2549.96,0.8282,10.81,26.36,1,1,1,1,yes,ok
hp2-hp5,vlan,cell-01,3,0,30,64,2,vlan100,f8:f2:1e:38:ab:80,4243311,3305066,264052103111,263771493819,48309870772,83096211,2663.10,2660.27,0.8381,11.07,27.39,1,1,1,1,yes,ok
hp2-hp5,vlan,cell-02,1,1,30,64,2,vlan100,f8:f2:1e:38:ab:80,4297164,3188384,270734595409,264779933527,48462494471,84348367,2830.43,2768.17,0.8818,11.57,26.76,1,1,1,1,yes,ok
hp2-hp5,vlan,cell-02,2,1,30,64,2,vlan100,f8:f2:1e:38:ab:80,4236965,3163138,256509626048,248041890442,45430160832,77796304,2703.11,2613.88,0.8198,11.01,26.48,1,1,1,1,yes,ok
hp2-hp5,vlan,cell-02,3,1,30,64,2,vlan100,f8:f2:1e:38:ab:80,4199786,3015117,272241276305,259624006817,47535928392,83438793,3009.74,2870.25,0.9224,11.56,27.08,1,1,1,1,yes,ok
hp2-hp5,qinq,cell-01,1,0,30,64,2,cvlan100,f8:f2:1e:38:ab:80,4223471,3154909,273979043174,259157618511,47461599978,83402577,2894.74,2738.14,0.8812,11.50,28.19,1,1,1,1,yes,ok
hp2-hp5,qinq,cell-01,2,0,30,64,2,cvlan100,f8:f2:1e:38:ab:80,4238112,3234309,278667960104,264898735443,48521149432,85807571,2872.00,2730.09,0.8843,11.60,28.79,1,1,1,1,yes,ok
hp2-hp5,qinq,cell-01,3,0,30,64,2,cvlan100,f8:f2:1e:38:ab:80,4224475,2947737,276375501692,259714513017,47548850299,83260668,3125.28,2936.88,0.9415,11.75,27.13,1,1,1,1,yes,ok
hp2-hp5,qinq,cell-02,1,1,30,64,2,cvlan100,f8:f2:1e:38:ab:80,4218552,3157179,256395425405,251586775395,46056484473,79735897,2707.01,2656.24,0.8418,11.01,25.99,1,1,1,1,yes,ok
hp2-hp5,qinq,cell-02,2,1,30,64,2,cvlan100,f8:f2:1e:38:ab:80,4277839,3096602,268998414470,254073245470,46536450558,82155000,2895.63,2734.97,0.8844,11.33,27.53,1,1,1,1,yes,ok
hp2-hp5,qinq,cell-02,3,1,30,64,2,cvlan100,f8:f2:1e:38:ab:80,4242183,3266011,265810446990,259279950746,47490875298,83288678,2712.90,2646.24,0.8501,11.20,27.47,1,1,1,1,yes,ok
hp2-hp5,mpls,cell-01,1,0,30,64,2,lo,f8:f2:1e:38:ab:80,4273349,3217115,257847891659,254617494989,46597731923,83191258,2671.63,2638.15,0.8620,11.24,26.37,1,1,1,1,yes,ok
hp2-hp5,mpls,cell-01,2,0,30,64,2,lo,f8:f2:1e:38:ab:80,4225391,3116653,263663492951,253382067988,46395288869,80026074,2819.94,2709.98,0.8559,11.31,26.61,1,1,1,1,yes,ok
hp2-hp5,mpls,cell-01,3,0,30,64,2,lo,f8:f2:1e:38:ab:80,4299186,3268076,262202824321,254044594495,46525467064,80467990,2674.39,2591.17,0.8207,11.17,27.07,1,1,1,1,yes,ok
hp2-hp5,mpls,cell-02,1,1,30,64,2,lo,f8:f2:1e:38:ab:80,4240454,3196553,264381145715,260634832212,47730167882,83429641,2756.94,2717.87,0.8700,11.25,26.77,1,1,1,1,yes,ok
hp2-hp5,mpls,cell-02,2,1,30,64,2,lo,f8:f2:1e:38:ab:80,4282387,3088076,254850034686,254408933620,46534075220,79817951,2750.90,2746.14,0.8616,11.22,24.84,1,1,1,1,yes,ok
hp2-hp5,mpls,cell-02,3,1,30,64,2,lo,f8:f2:1e:38:ab:80,4262384,3424477,255471795860,256397889368,46986010139,81911542,2486.72,2495.74,0.7973,10.72,27.08,1,1,1,1,yes,ok
hp2-hp5,ipip,cell-01,1,0,30,64,2,ipip0,f8:f2:1e:38:ab:80,4213966,3227884,260875768128,253900550348,46501020175,82089354,2693.98,2621.95,0.8477,11.10,27.02,1,1,1,1,yes,ok
hp2-hp5,ipip,cell-01,2,0,30,64,2,ipip0,f8:f2:1e:38:ab:80,4306295,3316802,257681401668,251184050268,45999077109,79784866,2589.66,2524.36,0.8018,10.90,26.64,1,1,1,1,yes,ok
hp2-hp5,ipip,cell-01,3,0,30,64,2,ipip0,f8:f2:1e:38:ab:80,4231101,3138121,264551039000,254851221750,46656011869,84921355,2810.08,2707.05,0.9020,11.19,27.06,1,1,1,1,yes,ok
hp2-hp5,ipip,cell-02,1,1,30,64,2,ipip0,f8:f2:1e:38:ab:80,4240659,3020334,269266305937,252529069655,46236571268,80657727,2971.70,2786.99,0.8902,11.38,27.51,1,1,1,1,yes,ok
hp2-hp5,ipip,cell-02,2,1,30,64,2,ipip0,f8:f2:1e:38:ab:80,4286193,3058335,266896688511,257094183973,47027651431,81404127,2908.95,2802.11,0.8872,11.64,26.12,1,1,1,1,yes,ok
hp2-hp5,ipip,cell-02,3,1,30,64,2,ipip0,f8:f2:1e:38:ab:80,4225549,3121371,266529840295,253465821255,46420876584,81374563,2846.29,2706.78,0.8690,11.27,27.34,1,1,1,1,yes,ok
hp2-hp5,gre,cell-01,1,0,30,64,2,gretest0,f8:f2:1e:38:ab:80,4216234,3126485,257763438033,247566916537,45311202213,78910903,2748.17,2639.46,0.8413,11.21,26.49,1,1,1,1,yes,ok
hp2-hp5,gre,cell-01,2,0,30,64,2,gretest0,f8:f2:1e:38:ab:80,4273613,3094078,279893681317,266341459255,48751379512,85485673,3015.37,2869.37,0.9210,11.92,27.47,1,1,1,1,yes,ok
hp2-hp5,gre,cell-01,3,0,30,64,2,gretest0,f8:f2:1e:38:ab:80,4226067,3006893,269693805590,255841621994,46836364053,81873996,2989.73,2836.17,0.9076,11.49,26.61,1,1,1,1,yes,ok
hp2-hp5,gre,cell-02,1,1,30,64,2,gretest0,f8:f2:1e:38:ab:80,4266867,3293454,267254384548,261982194473,47986981117,84690154,2704.90,2651.54,0.8572,11.24,27.39,1,1,1,1,yes,ok
hp2-hp5,gre,cell-02,2,1,30,64,2,gretest0,f8:f2:1e:38:ab:80,4271401,3191123,252512912477,243935195167,44667228896,77702677,2637.66,2548.06,0.8117,10.87,26.46,1,1,1,1,yes,ok
hp2-hp5,gre,cell-02,3,1,30,64,2,gretest0,f8:f2:1e:38:ab:80,4218966,3247085,257633180127,256557136937,46982107688,82863253,2644.76,2633.72,0.8506,10.87,26.48,1,1,1,1,yes,ok
hp2-hp5,vxlan,cell-01,1,0,30,64,2,vxlan10,be:28:4e:2e:06:bc,0,0,628822,489053,97653,2297,44915.86,34932.36,164.0714,0.02,0.01,1,1,1,1,yes,overlay-unsupported
hp2-hp5,vxlan,cell-01,2,0,30,64,2,vxlan10,be:28:4e:2e:06:bc,0,0,541395,452697,91176,2239,180465.00,150899.00,746.3333,0.02,0.00,1,1,1,1,yes,overlay-unsupported
hp2-hp5,vxlan,cell-01,3,0,30,64,2,vxlan10,be:28:4e:2e:06:bc,0,0,597601,431765,85288,2297,0,0,0,0.02,0.00,1,1,1,1,yes,overlay-unsupported
hp2-hp5,vxlan,cell-02,1,1,30,64,2,vxlan10,be:28:4e:2e:06:bc,0,0,658228,592691,114737,2545,219409.33,197563.67,848.3333,0.02,0.00,1,1,1,1,yes,overlay-unsupported
