pair,scenario,cell,rep,sysctl,dur_s,pkt_size,threads,scenario_iface,scenario_mac,pps_sent,pps_recv,cycles,instructions,branches,branch_misses,cycles_per_pkt,ins_per_pkt,branch_miss_per_pkt,recv_sys_pct,recv_soft_pct,rps,rfs,cake,flower,kernel_has_sysctl,status
hp2-hp5,eth_ip,cell-01,1,0,30,64,2,enp1s0f0np0,f8:f2:1e:38:ab:80,4254879,1299113,255082616632,273827584827,48506803661,100009005,6545.04,7026.01,2.5661,12.55,17.50,1,1,0,0,yes,ok
hp2-hp5,eth_ip,cell-01,2,0,30,64,2,enp1s0f0np0,f8:f2:1e:38:ab:80,4288644,1286075,256593096928,272536635747,48304373233,101417637,6650.54,7063.78,2.6286,12.54,17.76,1,1,0,0,yes,ok
hp2-hp5,eth_ip,cell-01,3,0,30,64,2,enp1s0f0np0,f8:f2:1e:38:ab:80,4241465,1255086,260484031456,273725357019,48560404025,100946697,6918.09,7269.76,2.6810,12.56,18.25,1,1,0,0,yes,ok
hp2-hp5,eth_ip,cell-02,1,1,30,64,2,enp1s0f0np0,f8:f2:1e:38:ab:80,4246791,1294236,261550730509,271759945217,47827679306,102073027,6736.30,6999.24,2.6289,12.55,18.41,1,1,0,0,yes,ok
hp2-hp5,eth_ip,cell-02,2,1,30,64,2,enp1s0f0np0,f8:f2:1e:38:ab:80,4308284,1323103,255311761511,268161527312,47122790278,98936881,6432.14,6755.87,2.4925,12.55,17.57,1,1,0,0,yes,ok
hp2-hp5,eth_ip,cell-02,3,1,30,64,2,enp1s0f0np0,f8:f2:1e:38:ab:80,4244166,1294199,259240706642,270791752227,47640224243,100735568,6676.99,6974.50,2.5945,12.52,17.98,1,1,0,0,yes,ok
hp2-hp5,vlan,cell-01,1,0,30,64,2,vlan100,f8:f2:1e:38:ab:80,4239557,1285448,269539557666,269388894064,47282424788,103745832,6989.51,6985.60,2.6903,12.58,19.36,1,1,0,0,yes,ok
hp2-hp5,vlan,cell-01,2,0,30,64,2,vlan100,f8:f2:1e:38:ab:80,4223937,1282129,265297500593,266759497214,46793639083,99278943,6897.32,6935.33,2.5811,12.54,18.72,1,1,0,0,yes,ok
hp2-hp5,vlan,cell-01,3,0,30,64,2,vlan100,f8:f2:1e:38:ab:80,4296125,1298159,269140381736,268432110911,47112985712,102128638,6910.82,6892.63,2.6224,12.54,19.07,1,1,0,0,yes,ok
hp2-hp5,vlan,cell-02,1,1,30,64,2,vlan100,f8:f2:1e:38:ab:80,4295993,1276790,269531066459,267860181805,47035740161,100725667,7036.68,6993.06,2.6297,12.55,19.25,1,1,0,0,yes,ok
hp2-hp5,vlan,cell-02,2,1,30,64,2,vlan100,f8:f2:1e:38:ab:80,4269890,1292697,267676160977,268284248223,47078220061,102418851,6902.26,6917.94,2.6410,12.55,19.05,1,1,0,0,yes,ok
hp2-hp5,vlan,cell-02,3,1,30,64,2,vlan100,f8:f2:1e:38:ab:80,4207235,1265664,268436077466,267796303383,47005369535,99473773,7069.70,7052.85,2.6198,12.58,19.25,1,1,0,0,yes,ok
hp2-hp5,qinq,cell-01,1,0,30,64,2,cvlan100,f8:f2:1e:38:ab:80,4289342,1295086,260727761862,267129014915,46871610883,98590312,6710.69,6875.45,2.5375,12.57,18.32,1,1,0,0,yes,ok
hp2-hp5,qinq,cell-01,2,0,30,64,2,cvlan100,f8:f2:1e:38:ab:80,4223859,1297885,263203286512,270630999422,47493579498,100681958,6759.80,6950.56,2.5858,12.54,18.46,1,1,0,0,yes,ok
hp2-hp5,qinq,cell-01,3,0,30,64,2,cvlan100,f8:f2:1e:38:ab:80,4252593,1281978,264202933382,268917246729,47204473703,100554095,6869.67,6992.25,2.6146,12.56,18.76,1,1,0,0,yes,ok
hp2-hp5,qinq,cell-02,1,1,30,64,2,cvlan100,f8:f2:1e:38:ab:80,4193675,1301139,260823707167,269669996352,47309306707,100911763,6681.93,6908.56,2.5852,12.55,18.17,1,1,0,0,yes,ok
hp2-hp5,qinq,cell-02,2,1,30,64,2,cvlan100,f8:f2:1e:38:ab:80,4208753,1297160,262355088428,269721582750,47311400696,98299997,6741.78,6931.08,2.5260,12.55,18.39,1,1,0,0,yes,ok
hp2-hp5,qinq,cell-02,3,1,30,64,2,cvlan100,f8:f2:1e:38:ab:80,4211577,1279587,267811255870,272367103298,47836424169,101194824,6976.50,7095.18,2.6361,12.55,19.09,1,1,0,0,yes,ok
hp2-hp5,mpls,cell-01,1,0,30,64,2,lo,f8:f2:1e:38:ab:80,4198554,1327780,261897664710,273938521182,48056662051,102774968,6574.82,6877.10,2.5801,12.55,18.32,1,1,0,0,yes,ok
hp2-hp5,mpls,cell-01,2,0,30,64,2,lo,f8:f2:1e:38:ab:80,4205209,1279531,267692591843,273854976082,48124436215,105309571,6973.71,7134.25,2.7434,12.56,19.09,1,1,0,0,yes,ok
hp2-hp5,mpls,cell-01,3,0,30,64,2,lo,f8:f2:1e:38:ab:80,4272039,1270033,270441108440,273150579739,48036330113,107358309,7098.01,7169.12,2.8177,12.57,19.46,1,1,0,0,yes,ok
hp2-hp5,mpls,cell-02,1,1,30,64,2,lo,f8:f2:1e:38:ab:80,4214159,1279044,265722688892,271519245316,47691918334,102667352,6925.03,7076.10,2.6756,12.55,18.85,1,1,0,0,yes,ok
hp2-hp5,mpls,cell-02,2,1,30,64,2,lo,f8:f2:1e:38:ab:80,4202877,1276108,263195951185,270308998080,47464850949,101266701,6874.96,7060.76,2.6452,12.53,18.56,1,1,0,0,yes,ok
hp2-hp5,mpls,cell-02,3,1,30,64,2,lo,f8:f2:1e:38:ab:80,4205727,1282116,265479995280,272698727027,47898488424,102876288,6902.13,7089.81,2.6746,12.54,18.75,1,1,0,0,yes,ok
hp2-hp5,ipip,cell-01,1,0,30,64,2,ipip0,f8:f2:1e:38:ab:80,4186002,1273597,268971601653,272812087314,47919617508,104472611,7039.68,7140.20,2.7343,12.57,19.28,1,1,0,0,yes,ok
hp2-hp5,ipip,cell-01,2,0,30,64,2,ipip0,f8:f2:1e:38:ab:80,4224433,1312070,262669726631,270679454428,47468570732,97814731,6673.16,6876.65,2.4850,12.54,18.26,1,1,0,0,yes,ok
hp2-hp5,ipip,cell-01,3,0,30,64,2,ipip0,f8:f2:1e:38:ab:80,4208184,1281911,264255122646,269727702801,47335749456,100543632,6871.38,7013.69,2.6144,12.55,18.55,1,1,0,0,yes,ok
hp2-hp5,ipip,cell-02,1,1,30,64,2,ipip0,f8:f2:1e:38:ab:80,4190727,1290557,269274986903,273633593205,48052165749,101098884,6955.01,7067.58,2.6112,12.53,19.12,1,1,0,0,yes,ok
hp2-hp5,ipip,cell-02,2,1,30,64,2,ipip0,f8:f2:1e:38:ab:80,4207246,1301596,258015967158,266461194397,46696990635,96330410,6607.68,6823.96,2.4670,12.55,17.79,1,1,0,0,yes,ok
