pair,scenario,cell,rep,sysctl,dur_s,pkt_size,threads,scenario_iface,scenario_mac,pps_sent,pps_recv,cycles,instructions,branches,branch_misses,cycles_per_pkt,ins_per_pkt,branch_miss_per_pkt,recv_sys_pct,recv_soft_pct,rps,rfs,cake,flower,kernel_has_sysctl,status
hp2-hp5,eth_ip,cell-01,1,0,30,64,2,enp1s0f0np0,f8:f2:1e:38:ab:80,4281344,1399932,258882102615,283998446349,50137239036,112269179,6164.16,6762.19,2.6732,12.54,17.98,1,1,0,0,yes,ok
hp2-hp5,eth_ip,cell-01,2,0,30,64,2,enp1s0f0np0,f8:f2:1e:38:ab:80,4306333,1386905,252799613981,275914464287,48667949585,106223764,6075.87,6631.42,2.5530,12.57,17.37,1,1,0,0,yes,ok
hp2-hp5,eth_ip,cell-01,3,0,30,64,2,enp1s0f0np0,f8:f2:1e:38:ab:80,4251017,1350451,262561749777,282150731156,49873599629,110003836,6480.84,6964.36,2.7152,12.56,18.49,1,1,0,0,yes,ok
hp2-hp5,eth_ip,cell-02,1,1,30,64,2,enp1s0f0np0,f8:f2:1e:38:ab:80,4243528,1416669,255509014763,276283857370,48161944617,109596869,6011.96,6500.78,2.5787,12.56,17.72,1,1,0,0,yes,ok
hp2-hp5,eth_ip,cell-02,2,1,30,64,2,enp1s0f0np0,f8:f2:1e:38:ab:80,4254525,1386291,263825719975,281716382116,49226915533,110316393,6343.68,6773.86,2.6526,12.57,18.70,1,1,0,0,yes,ok
hp2-hp5,eth_ip,cell-02,3,1,30,64,2,enp1s0f0np0,f8:f2:1e:38:ab:80,4251815,1393924,262559351552,281574738340,49183092874,108769574,6278.66,6733.38,2.6010,12.53,18.28,1,1,0,0,yes,ok
hp2-hp5,vlan,cell-01,1,0,30,64,2,vlan100,f8:f2:1e:38:ab:80,4239771,1363676,267365118127,279554207542,48737686835,107166671,6535.40,6833.34,2.6196,12.55,18.95,1,1,0,0,yes,ok
hp2-hp5,vlan,cell-01,2,0,30,64,2,vlan100,f8:f2:1e:38:ab:80,4248987,1389325,267156939729,279635449561,48738472204,109760321,6409.75,6709.14,2.6334,12.53,18.76,1,1,0,0,yes,ok
hp2-hp5,vlan,cell-01,3,0,30,64,2,vlan100,f8:f2:1e:38:ab:80,4251723,1348744,278041151495,284560489489,49728617635,113265496,6871.60,7032.73,2.7993,12.57,20.30,1,1,0,0,yes,ok
hp2-hp5,vlan,cell-02,1,1,30,64,2,vlan100,f8:f2:1e:38:ab:80,4279079,1390592,264391266244,275757519463,48033334100,105186937,6337.62,6610.07,2.5214,12.56,18.62,1,1,0,0,yes,ok
hp2-hp5,vlan,cell-02,2,1,30,64,2,vlan100,f8:f2:1e:38:ab:80,4242455,1395274,269310461225,281981900272,49154349026,111808001,6433.87,6736.59,2.6711,12.54,19.04,1,1,0,0,yes,ok
hp2-hp5,vlan,cell-02,3,1,30,64,2,vlan100,f8:f2:1e:38:ab:80,4299252,1373279,270545998378,279347299693,48729092338,109483926,6566.91,6780.54,2.6575,12.57,19.48,1,1,0,0,yes,ok
hp2-hp5,qinq,cell-01,1,0,30,64,2,cvlan100,f8:f2:1e:38:ab:80,4239833,1385949,263033696013,278536021713,48524269978,107877158,6326.20,6699.04,2.5945,12.56,18.47,1,1,0,0,yes,ok
