pair,scenario,cell,rep,sysctl,dur_s,pkt_size,threads,scenario_iface,scenario_mac,pps_sent,pps_recv,cycles,instructions,branches,branch_misses,cycles_per_pkt,ins_per_pkt,branch_miss_per_pkt,recv_sys_pct,recv_soft_pct,rps,rfs,cake,flower,kernel_has_sysctl,status
pi5-bpif3,eth_ip,cell-01,1,0,30,64,2,end0,fe:fe:fe:e2:46:d4,464589,465086,103633163237,59761045528,6112732849,40434104,7427.53,4283.15,2.8980,0.16,25.32,1,1,0,0,no,ok
pi5-bpif3,eth_ip,cell-01,2,0,30,64,2,end0,fe:fe:fe:e2:46:d4,568389,569188,107077853741,60969356905,6256241803,37978676,6270.79,3570.54,2.2241,0.26,28.31,1,1,0,0,no,ok
pi5-bpif3,eth_ip,cell-01,3,0,30,64,2,end0,fe:fe:fe:e2:46:d4,471384,471697,112061969606,62119183888,6383358558,42261108,7919.06,4389.77,2.9865,0.21,27.18,1,1,0,0,no,ok
pi5-bpif3,eth_ip,cell-02,1,1,30,64,2,end0,fe:fe:fe:e2:46:d4,462729,463052,124784055449,69344479809,7184873690,31958845,8982.72,4991.84,2.3006,0.22,30.22,1,1,0,0,no,ok
pi5-bpif3,eth_ip,cell-02,2,1,30,64,2,end0,fe:fe:fe:e2:46:d4,529443,529767,125714567840,69960633903,7254059711,30670002,7910.04,4401.97,1.9298,0.18,30.59,1,1,0,0,no,ok
pi5-bpif3,eth_ip,cell-02,3,1,30,64,2,end0,fe:fe:fe:e2:46:d4,476634,476950,112268273244,62100077261,6343578872,40913341,7846.26,4340.08,2.8594,0.22,27.18,1,1,0,0,no,ok
pi5-bpif3,vlan,cell-01,1,0,30,64,2,vlan100,fe:fe:fe:e2:46:d4,782074,782381,114837807860,60668807260,6199635165,41181178,4892.66,2584.79,1.7545,0.20,27.07,1,1,0,0,no,ok
pi5-bpif3,vlan,cell-01,2,0,30,64,2,vlan100,fe:fe:fe:e2:46:d4,698546,698867,128633470765,70115864224,7307528871,32745226,6135.33,3344.26,1.5618,0.22,30.80,1,1,0,0,no,ok
pi5-bpif3,vlan,cell-01,3,0,30,64,2,vlan100,fe:fe:fe:e2:46:d4,1143738,1144066,101042323364,57182437978,5799813331,40584660,2943.95,1666.06,1.1825,0.09,23.44,1,1,0,0,no,ok
pi5-bpif3,vlan,cell-02,1,1,30,64,2,vlan100,fe:fe:fe:e2:46:d4,544931,545253,86322043790,47016889823,4609993694,61993586,5277.18,2874.32,3.7899,0.12,20.26,1,1,0,0,no,ok
pi5-bpif3,vlan,cell-02,2,1,30,64,2,vlan100,fe:fe:fe:e2:46:d4,459476,459789,111933837364,63431773524,6554446616,21331065,8114.87,4598.61,1.5464,0.16,26.47,1,1,0,0,no,ok
pi5-bpif3,vlan,cell-02,3,1,30,64,2,vlan100,fe:fe:fe:e2:46:d4,414024,414340,121562655190,66011881021,6836579675,32176979,9779.60,5310.59,2.5886,0.16,28.95,1,1,0,0,no,ok
pi5-bpif3,qinq,cell-01,1,0,30,64,2,cvlan100,fe:fe:fe:e2:46:d4,731284,731591,113340138956,61887909306,6333752882,42500666,5164.09,2819.78,1.9364,0.23,26.43,1,1,0,0,no,ok
pi5-bpif3,qinq,cell-01,2,0,30,64,2,cvlan100,fe:fe:fe:e2:46:d4,482211,482525,128891197586,69057908154,7187617927,33782241,8903.94,4770.59,2.3337,0.15,30.98,1,1,0,0,no,ok
pi5-bpif3,qinq,cell-01,3,0,30,64,2,cvlan100,fe:fe:fe:e2:46:d4,379075,379397,115141230098,64976022256,6729888230,22076972,10116.15,5708.70,1.9397,0.20,27.14,1,1,0,0,no,ok
pi5-bpif3,qinq,cell-02,1,1,30,64,2,cvlan100,fe:fe:fe:e2:46:d4,459345,459676,127719300440,70133732171,7308399229,32387633,9261.54,5085.74,2.3486,0.15,29.74,1,1,0,0,no,ok
pi5-bpif3,qinq,cell-02,2,1,30,64,2,cvlan100,fe:fe:fe:e2:46:d4,412740,413060,110034129422,59168610433,6038429119,40827982,8879.59,4774.82,3.2948,0.12,26.58,1,1,0,0,no,ok
pi5-bpif3,qinq,cell-02,3,1,30,64,2,cvlan100,fe:fe:fe:e2:46:d4,757472,757820,107894339852,58470973229,5955042455,39515819,4745.82,2571.89,1.7381,0.19,25.82,1,1,0,0,no,ok
pi5-bpif3,mpls,cell-01,1,0,30,64,2,lo,fe:fe:fe:e2:46:d4,696011,696336,115941328128,63343384270,6494784151,30702881,5550.06,3032.22,1.4697,0.28,27.50,1,1,0,0,no,ok
pi5-bpif3,mpls,cell-01,2,0,30,64,2,lo,fe:fe:fe:e2:46:d4,458761,459184,115200542999,65009754396,6694155810,23628920,8362.70,4719.22,1.7153,0.23,27.12,1,1,0,0,no,ok
