pair,scenario,cell,rep,sysctl,dur_s,pkt_size,threads,scenario_iface,scenario_mac,pps_sent,pps_recv,cycles,instructions,branches,branch_misses,cycles_per_pkt,ins_per_pkt,branch_miss_per_pkt,recv_sys_pct,recv_soft_pct,rps,rfs,cake,flower,kernel_has_sysctl,status
pi5-pair,eth_ip,cell-01,1,0,30,64,2,end0,2c:cf:67:31:df:b7,385615,385952,216589861,331330566,62677379,369796,18.71,28.62,0.0319,0.06,27.09,1,1,0,0,no,ok
pi5-pair,eth_ip,cell-01,2,0,30,64,2,end0,2c:cf:67:31:df:b7,373152,373481,148997052,219582436,41555941,254983,13.30,19.60,0.0228,0.06,24.26,1,1,0,0,no,ok
pi5-pair,eth_ip,cell-01,3,0,30,64,2,end0,2c:cf:67:31:df:b7,373483,373727,88937808,120375952,22755032,164065,7.93,10.74,0.0146,0.08,27.55,1,1,0,0,no,ok
pi5-pair,eth_ip,cell-02,1,1,30,64,2,end0,2c:cf:67:31:df:b7,372657,372994,43444738,49089218,9254715,110481,3.88,4.39,0.0099,0.09,28.79,1,1,0,0,no,ok
pi5-pair,eth_ip,cell-02,2,1,30,64,2,end0,2c:cf:67:31:df:b7,371900,372223,55345826,68116180,12802001,121519,4.96,6.10,0.0109,0.06,27.09,1,1,0,0,no,ok
pi5-pair,eth_ip,cell-02,3,1,30,64,2,end0,2c:cf:67:31:df:b7,372550,372812,229046144,374434313,70567005,416277,20.48,33.48,0.0372,0.07,27.67,1,1,0,0,no,ok
pi5-pair,vlan,cell-01,1,0,30,64,2,vlan100,2c:cf:67:31:df:b7,373070,373376,40133120,42489575,7973924,123588,3.58,3.79,0.0110,0.10,32.50,1,1,0,0,no,ok
pi5-pair,vlan,cell-01,2,0,30,64,2,vlan100,2c:cf:67:31:df:b7,373395,373653,259755133,427916016,80646674,408375,23.17,38.17,0.0364,0.09,29.76,1,1,0,0,no,ok
pi5-pair,vlan,cell-01,3,0,30,64,2,vlan100,2c:cf:67:31:df:b7,372380,372689,125149487,170033033,31790519,213695,11.19,15.21,0.0191,0.08,29.73,1,1,0,0,no,ok
pi5-pair,vlan,cell-02,1,1,30,64,2,vlan100,2c:cf:67:31:df:b7,372461,372790,40793521,44111448,8303761,111545,3.65,3.94,0.0100,0.08,31.12,1,1,0,0,no,ok
pi5-pair,vlan,cell-02,2,1,30,64,2,vlan100,2c:cf:67:31:df:b7,372358,372696,39303867,44319931,8308980,88843,3.52,3.96,0.0079,0.03,28.32,1,1,0,0,no,ok
pi5-pair,vlan,cell-02,3,1,30,64,2,vlan100,2c:cf:67:31:df:b7,372422,372748,49725136,53828886,10090129,121884,4.45,4.81,0.0109,0.07,29.89,1,1,0,0,no,ok
pi5-pair,qinq,cell-01,1,0,30,64,2,cvlan100,2c:cf:67:31:df:b7,372934,373172,339520205,536522608,101067589,538053,30.33,47.92,0.0481,0.06,26.52,1,1,0,0,no,ok
pi5-pair,qinq,cell-01,2,0,30,64,2,cvlan100,2c:cf:67:31:df:b7,372650,372987,125711642,165729350,30944695,210198,11.23,14.81,0.0188,0.08,29.39,1,1,0,0,no,ok
pi5-pair,qinq,cell-01,3,0,30,64,2,cvlan100,2c:cf:67:31:df:b7,371936,372248,80870804,104571132,19634734,170008,7.24,9.36,0.0152,0.04,27.96,1,1,0,0,no,ok
