Linux 7.2.0-rc1 (hp3) 	07/12/2026 	_x86_64_	(8 CPU)

09:58:22 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:58:23 AM  all    0.00    0.00   12.41    0.00    0.25   24.94    0.00    0.00    0.00   62.41
09:58:23 AM    0    0.00    0.00    0.00    0.00    0.99   99.01    0.00    0.00    0.00    0.00
09:58:23 AM    1    0.00    0.00    0.00    0.00    0.99   76.24    0.00    0.00    0.00   22.77
09:58:23 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:58:23 AM    3    0.00    0.00   12.87    0.00    0.00   11.88    0.00    0.00    0.00   75.25
09:58:23 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:58:23 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:58:23 AM    6    0.00    0.00   48.00    0.00    0.00   10.00    0.00    0.00    0.00   42.00
09:58:23 AM    7    0.00    0.00   38.61    0.00    0.00    1.98    0.00    0.00    0.00   59.41

09:58:23 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:58:24 AM  all    0.00    0.00   12.97    0.00    0.50   33.17    0.00    0.00    0.00   53.37
09:58:24 AM    0    0.00    0.00    0.00    0.00    2.00   98.00    0.00    0.00    0.00    0.00
09:58:24 AM    1    0.00    0.00    0.99    0.00    0.99   81.19    0.00    0.00    0.00   16.83
09:58:24 AM    2    0.00    0.00   11.88    0.00    0.00   14.85    0.00    0.00    0.00   73.27
09:58:24 AM    3    0.00    0.00   19.61    0.00    0.98   12.75    0.00    0.00    0.00   66.67
09:58:24 AM    4    0.00    0.00   12.12    0.00    0.00   14.14    0.00    0.00    0.00   73.74
09:58:24 AM    5    0.00    0.00   20.00    0.00    0.00   16.00    0.00    0.00    0.00   64.00
09:58:24 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:58:24 AM    7    0.00    0.00   39.39    0.00    0.00   28.28    0.00    0.00    0.00   32.32

09:58:24 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:58:25 AM  all    0.00    0.00   19.27    0.00    0.25   19.65    0.00    0.00    0.00   60.83
09:58:25 AM    0    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
09:58:25 AM    1    0.00    0.00    0.00    0.00    1.00   48.00    0.00    0.00    0.00   51.00
09:58:25 AM    2    0.00    0.00    4.04    0.00    0.00    4.04    0.00    0.00    0.00   91.92
09:58:25 AM    3    0.00    0.00   38.00    0.00    0.00    0.00    0.00    0.00    0.00   62.00
09:58:25 AM    4    0.00    0.00   41.00    0.00    0.00    5.00    0.00    0.00    0.00   54.00
09:58:25 AM    5    0.00    0.00   37.00    0.00    0.00    0.00    0.00    0.00    0.00   63.00
09:58:25 AM    6    0.00    0.00   16.16    0.00    0.00    0.00    0.00    0.00    0.00   83.84
09:58:25 AM    7    0.00    0.00   17.82    0.00    0.00    0.99    0.00    0.00    0.00   81.19

09:58:25 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:58:26 AM  all    0.00    0.00   15.88    0.00    0.25   27.42    0.00    0.00    0.00   56.45
09:58:26 AM    0    0.00    0.00    0.99    0.00    0.99   98.02    0.00    0.00    0.00    0.00
09:58:26 AM    1    0.00    0.00    0.00    0.00    0.99   57.43    0.00    0.00    0.00   41.58
09:58:26 AM    2    0.00    0.00   15.00    0.00    0.00   19.00    0.00    0.00    0.00   66.00
09:58:26 AM    3    0.00    0.00   26.00    0.00    0.00   15.00    0.00    0.00    0.00   59.00
