Linux 7.2.0-rc1 (hp3) 	07/12/2026 	_x86_64_	(8 CPU)

10:42:50 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:42:51 AM  all    0.00    0.00   14.27    0.00    0.25   23.90    0.00    0.00    0.00   61.58
10:42:51 AM    0    0.00    0.00    1.00    0.00    1.00   75.00    0.00    0.00    0.00   23.00
10:42:51 AM    1    0.00    0.00    0.00    0.00    1.01   88.89    0.00    0.00    0.00   10.10
10:42:51 AM    2    0.00    0.00   25.74    0.00    0.00   15.84    0.00    0.00    0.00   58.42
10:42:51 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:42:51 AM    4    0.00    0.00   24.00    0.00    0.00   11.00    0.00    0.00    0.00   65.00
10:42:51 AM    5    0.00    0.00   39.39    0.00    0.00    0.00    0.00    0.00    0.00   60.61
10:42:51 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:42:51 AM    7    0.00    0.00   24.00    0.00    0.00    1.00    0.00    0.00    0.00   75.00

10:42:51 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:42:52 AM  all    0.00    0.00   12.02    0.00    0.25   25.15    0.00    0.00    0.00   62.58
10:42:52 AM    0    0.00    0.00    0.00    0.00    0.99   72.28    0.00    0.00    0.00   26.73
10:42:52 AM    1    0.00    0.00    0.99    0.00    0.99   83.17    0.00    0.00    0.00   14.85
10:42:52 AM    2    0.00    0.00    5.00    0.00    0.00    5.00    0.00    0.00    0.00   90.00
10:42:52 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:42:52 AM    4    0.00    0.00   21.00    0.00    0.00   22.00    0.00    0.00    0.00   57.00
10:42:52 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:42:52 AM    6    0.00    0.00   36.00    0.00    0.00    2.00    0.00    0.00    0.00   62.00
10:42:52 AM    7    0.00    0.00   33.01    0.00    0.00   16.50    0.00    0.00    0.00   50.49

10:42:52 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:42:53 AM  all    0.00    0.00   13.06    0.00    0.25   28.98    0.00    0.00    0.00   57.71
10:42:53 AM    0    0.00    0.00    0.00    0.00    1.00   74.00    0.00    0.00    0.00   25.00
10:42:53 AM    1    0.00    0.00    0.00    0.00    0.99   74.26    0.00    0.00    0.00   24.75
10:42:53 AM    2    0.00    0.00   11.00    0.00    0.00   13.00    0.00    0.00    0.00   76.00
10:42:53 AM    3    0.00    0.00   19.80    0.00    0.00   15.84    0.00    0.00    0.00   64.36
10:42:53 AM    4    0.00    0.00   14.00    0.00    0.00   13.00    0.00    0.00    0.00   73.00
10:42:53 AM    5    0.00    0.00   38.61    0.00    0.00   29.70    0.00    0.00    0.00   31.68
10:42:53 AM    6    0.00    0.00   21.00    0.00    0.00   12.00    0.00    0.00    0.00   67.00
10:42:53 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

10:42:53 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:42:54 AM  all    0.00    0.00   15.50    0.00    0.25   26.00    0.00    0.00    0.00   58.25
10:42:54 AM    0    0.00    0.00    0.99    0.00    0.99   78.22    0.00    0.00    0.00   19.80
10:42:54 AM    1    0.00    0.00    0.00    0.00    1.00   91.00    0.00    0.00    0.00    8.00
10:42:54 AM    2    0.00    0.00   26.00    0.00    0.00    0.00    0.00    0.00    0.00   74.00
10:42:54 AM    3    0.00    0.00   22.22    0.00    0.00    0.00    0.00    0.00    0.00   77.78
10:42:54 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:42:54 AM    5    0.00    0.00   55.56    0.00    0.00   20.20    0.00    0.00    0.00   24.24
10:42:54 AM    6    0.00    0.00   19.80    0.00    0.00   17.82    0.00    0.00    0.00   62.38
10:42:54 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

10:42:54 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:42:55 AM  all    0.00    0.00   14.00    0.00    0.50   29.62    0.00    0.00    0.00   55.88
10:42:55 AM    0    0.00    0.00    0.00    0.00    1.01   74.75    0.00    0.00    0.00   24.24
10:42:55 AM    1    0.00    0.00    0.00    0.00    1.01   87.88    0.00    0.00    0.00   11.11
10:42:55 AM    2    0.00    0.00   52.94    0.00    0.98   38.24    0.00    0.00    0.00    7.84
10:42:55 AM    3    0.00    0.00   14.00    0.00    0.00    0.00    0.00    0.00    0.00   86.00
10:42:55 AM    4    0.00    0.00   17.82    0.00    0.00   16.83    0.00    0.00    0.00   65.35
10:42:55 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:42:55 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:42:55 AM    7    0.00    0.00   26.26    0.00    1.01   20.20    0.00    0.00    0.00   52.53

10:42:55 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:42:56 AM  all    0.00    0.00   17.04    0.00    0.38   24.69    0.00    0.00    0.00   57.89
10:42:56 AM    0    0.00    0.00    0.00    0.00    1.01   75.76    0.00    0.00    0.00   23.23
10:42:56 AM    1    0.00    0.00    0.00    0.00    1.98   98.02    0.00    0.00    0.00    0.00
10:42:56 AM    2    0.00    0.00   47.47    0.00    0.00   13.13    0.00    0.00    0.00   39.39
10:42:56 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:42:56 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:42:56 AM    5    0.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
10:42:56 AM    6    0.00    0.00   35.64    0.00    0.00    0.99    0.00    0.00    0.00   63.37
10:42:56 AM    7    0.00    0.00   50.51    0.00    0.00    9.09    0.00    0.00    0.00   40.40

10:42:56 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:42:57 AM  all    0.00    0.00   13.34    0.12    0.25   30.17    0.00    0.00    0.00   56.11
10:42:57 AM    0    0.00    0.00    0.00    1.00    1.00   62.00    0.00    0.00    0.00   36.00
10:42:57 AM    1    0.00    0.00    0.99    0.00    0.99   98.02    0.00    0.00    0.00    0.00
10:42:57 AM    2    0.00    0.00   15.00    0.00    0.00    9.00    0.00    0.00    0.00   76.00
10:42:57 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:42:57 AM    4    0.00    0.00   21.57    0.00    0.00   12.75    0.00    0.00    0.00   65.69
10:42:57 AM    5    0.00    0.00   14.00    0.00    0.00   17.00    0.00    0.00    0.00   69.00
10:42:57 AM    6    0.00    0.00   18.18    0.00    0.00   17.17    0.00    0.00    0.00   64.65
10:42:57 AM    7    0.00    0.00   37.00    0.00    0.00   25.00    0.00    0.00    0.00   38.00

10:42:57 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:42:58 AM  all    0.00    0.00   12.83    0.00    0.37   32.88    0.00    0.00    0.00   53.92
10:42:58 AM    0    0.00    0.00    0.99    0.00    0.99   98.02    0.00    0.00    0.00    0.00
10:42:58 AM    1    0.00    0.00    0.00    0.00    0.99   76.24    0.00    0.00    0.00   22.77
10:42:58 AM    2    0.00    0.00   20.00    0.00    0.00    8.00    0.00    0.00    0.00   72.00
10:42:58 AM    3    0.00    0.00   17.82    0.00    0.00   17.82    0.00    0.00    0.00   64.36
10:42:58 AM    4    0.00    0.00   23.23    0.00    1.01   24.24    0.00    0.00    0.00   51.52
10:42:58 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:42:58 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:42:58 AM    7    0.00    0.00   40.59    0.00    0.00   37.62    0.00    0.00    0.00   21.78

10:42:58 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:42:59 AM  all    0.00    0.00   15.86    0.00    0.37   29.96    0.00    0.00    0.00   53.81
10:42:59 AM    0    0.00    0.00    0.00    0.00    1.00   78.00    0.00    0.00    0.00   21.00
10:42:59 AM    1    0.00    0.00    0.00    0.00    1.01   98.99    0.00    0.00    0.00    0.00
10:42:59 AM    2    0.00    0.00   47.00    0.00    0.00   11.00    0.00    0.00    0.00   42.00
10:42:59 AM    3    0.00    0.00   48.51    0.00    0.99   21.78    0.00    0.00    0.00   28.71
10:42:59 AM    4    0.00    0.00   12.87    0.00    0.00    9.90    0.00    0.00    0.00   77.23
10:42:59 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:42:59 AM    6    0.00    0.00   18.18    0.00    0.00   21.21    0.00    0.00    0.00   60.61
10:42:59 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

10:42:59 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:43:00 AM  all    0.00    0.00   11.83    0.12    0.25   28.39    0.00    0.00    0.00   59.40
10:43:00 AM    0    0.00    0.00    1.00    0.00    1.00   98.00    0.00    0.00    0.00    0.00
10:43:00 AM    1    0.00    0.00    0.00    0.98    0.98   37.25    0.00    0.00    0.00   60.78
10:43:00 AM    2    0.00    0.00   31.00    0.00    0.00   36.00    0.00    0.00    0.00   33.00
10:43:00 AM    3    0.00    0.00   19.00    0.00    0.00   10.00    0.00    0.00    0.00   71.00
10:43:00 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:43:00 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:43:00 AM    6    0.00    0.00   12.87    0.00    0.00   16.83    0.00    0.00    0.00   70.30
10:43:00 AM    7    0.00    0.00   31.63    0.00    0.00   29.59    0.00    0.00    0.00   38.78

10:43:00 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:43:01 AM  all    0.00    0.00   11.69    0.00    0.12   28.36    0.00    0.00    0.00   59.83
10:43:01 AM    0    0.00    0.00    0.00    0.00    0.99   71.29    0.00    0.00    0.00   27.72
10:43:01 AM    1    0.00    0.00    0.00    0.00    0.00   78.79    0.00    0.00    0.00   21.21
10:43:01 AM    2    0.00    0.00   16.83    0.00    0.00    2.97    0.00    0.00    0.00   80.20
10:43:01 AM    3    0.00    0.00    3.96    0.00    0.00    1.98    0.00    0.00    0.00   94.06
10:43:01 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:43:01 AM    5    0.00    0.00   34.00    0.00    0.00   36.00    0.00    0.00    0.00   30.00
10:43:01 AM    6    0.00    0.00   33.66    0.00    0.00   32.67    0.00    0.00    0.00   33.66
10:43:01 AM    7    0.00    0.00    4.95    0.00    0.00    3.96    0.00    0.00    0.00   91.09

10:43:01 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:43:02 AM  all    0.00    0.00   17.08    0.00    0.37   29.08    0.00    0.00    0.00   53.47
10:43:02 AM    0    0.00    0.00    1.00    0.00    1.00   98.00    0.00    0.00    0.00    0.00
10:43:02 AM    1    0.00    0.00    0.98    0.00    1.96   97.06    0.00    0.00    0.00    0.00
10:43:02 AM    2    0.00    0.00   54.00    0.00    0.00    0.00    0.00    0.00    0.00   46.00
