Linux 7.2.0-rc1 (hp3) 	07/12/2026 	_x86_64_	(8 CPU)

10:35:48 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:35:49 AM  all    0.00    0.00   24.50    0.00    0.25   16.79    0.00    0.00    0.00   58.46
10:35:49 AM    0    0.00    0.00    0.00    0.00    0.99   56.44    0.00    0.00    0.00   42.57
10:35:49 AM    1    0.00    0.00    0.00    0.00    1.00   73.00    0.00    0.00    0.00   26.00
10:35:49 AM    2    0.00    0.00   61.39    0.00    0.00    1.98    0.00    0.00    0.00   36.63
10:35:49 AM    3    0.00    0.00   61.00    0.00    0.00    2.00    0.00    0.00    0.00   37.00
10:35:49 AM    4    0.00    0.00   37.00    0.00    0.00    0.00    0.00    0.00    0.00   63.00
10:35:49 AM    5    0.00    0.00   36.63    0.00    0.00    0.99    0.00    0.00    0.00   62.38
10:35:49 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:35:49 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

10:35:49 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:35:50 AM  all    0.00    0.00   19.98    0.00    0.37   23.72    0.00    0.00    0.00   55.93
10:35:50 AM    0    0.00    0.00    0.99    0.00    0.99   72.28    0.00    0.00    0.00   25.74
10:35:50 AM    1    0.00    0.00    0.00    0.00    1.01   81.82    0.00    0.00    0.00   17.17
10:35:50 AM    2    0.00    0.00   30.00    0.00    0.00    0.00    0.00    0.00    0.00   70.00
10:35:50 AM    3    0.00    0.00   46.08    0.00    0.98   17.65    0.00    0.00    0.00   35.29
10:35:50 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:35:50 AM    5    0.00    0.00   16.16    0.00    0.00   18.18    0.00    0.00    0.00   65.66
10:35:50 AM    6    0.00    0.00   33.00    0.00    0.00    0.00    0.00    0.00    0.00   67.00
10:35:50 AM    7    0.00    0.00   33.00    0.00    0.00    0.00    0.00    0.00    0.00   67.00

10:35:50 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:35:51 AM  all    0.00    0.00   13.22    0.00    0.25   31.05    0.00    0.00    0.00   55.49
10:35:51 AM    0    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
10:35:51 AM    1    0.00    0.00    0.00    0.00    0.99   69.31    0.00    0.00    0.00   29.70
10:35:51 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:35:51 AM    3    0.00    0.00   14.14    0.00    0.00   19.19    0.00    0.00    0.00   66.67
10:35:51 AM    4    0.00    0.00   20.00    0.00    0.00   14.00    0.00    0.00    0.00   66.00
10:35:51 AM    5    0.00    0.00   29.70    0.00    0.00   24.75    0.00    0.00    0.00   45.54
10:35:51 AM    6    0.00    0.00   37.00    0.00    0.00   22.00    0.00    0.00    0.00   41.00
10:35:51 AM    7    0.00    0.00    4.95    0.00    0.00    0.00    0.00    0.00    0.00   95.05

10:35:51 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:35:52 AM  all    0.00    0.00   11.35    0.00    0.25   32.79    0.00    0.00    0.00   55.61
10:35:52 AM    0    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
10:35:52 AM    1    0.00    0.00    1.00    0.00    1.00   72.00    0.00    0.00    0.00   26.00
10:35:52 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:35:52 AM    3    0.00    0.00   40.20    0.00    0.00   36.27    0.00    0.00    0.00   23.53
10:35:52 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:35:52 AM    5    0.00    0.00    7.07    0.00    0.00    7.07    0.00    0.00    0.00   85.86
10:35:52 AM    6    0.00    0.00   42.00    0.00    0.00   48.00    0.00    0.00    0.00   10.00
10:35:52 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

10:35:52 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:35:53 AM  all    0.00    0.00   16.92    0.00    0.25   25.06    0.00    0.00    0.00   57.77
10:35:53 AM    0    0.00    0.00    0.00    0.00    1.01   98.99    0.00    0.00    0.00    0.00
10:35:53 AM    1    0.00    0.00    0.00    0.00    1.00   76.00    0.00    0.00    0.00   23.00
10:35:53 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:35:53 AM    3    0.00    0.00   13.00    0.00    0.00   12.00    0.00    0.00    0.00   75.00
10:35:53 AM    4    0.00    0.00   34.65    0.00    0.00    0.99    0.00    0.00    0.00   64.36
10:35:53 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:35:53 AM    6    0.00    0.00   52.00    0.00    0.00   12.00    0.00    0.00    0.00   36.00
10:35:53 AM    7    0.00    0.00   35.35    0.00    0.00    1.01    0.00    0.00    0.00   63.64

10:35:53 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:35:54 AM  all    0.00    0.00   14.39    0.13    0.25   23.53    0.00    0.00    0.00   61.70
10:35:54 AM    0    0.00    0.00    0.00    1.00    1.00   55.00    0.00    0.00    0.00   43.00
10:35:54 AM    1    0.00    0.00    0.00    0.00    0.00   60.61    0.00    0.00    0.00   39.39
10:35:54 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:35:54 AM    3    0.00    0.00   17.17    0.00    0.00   18.18    0.00    0.00    0.00   64.65
10:35:54 AM    4    0.00    0.00   18.18    0.00    0.00   19.19    0.00    0.00    0.00   62.63
10:35:54 AM    5    0.00    0.00   17.00    0.00    0.00   18.00    0.00    0.00    0.00   65.00
10:35:54 AM    6    0.00    0.00   21.78    0.00    0.99    0.00    0.00    0.00    0.00   77.23
10:35:54 AM    7    0.00    0.00   40.59    0.00    0.00   17.82    0.00    0.00    0.00   41.58

10:35:54 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:35:55 AM  all    0.00    0.00   14.80    0.00    0.25   24.63    0.00    0.00    0.00   60.32
10:35:55 AM    0    0.00    0.00    0.99    0.00    0.99   85.15    0.00    0.00    0.00   12.87
