Linux 7.2.0-rc1 (hp3) 	07/12/2026 	_x86_64_	(8 CPU)

10:28:47 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:28:48 AM  all    0.00    0.00   14.36    0.00    0.37   29.09    0.00    0.00    0.00   56.18
10:28:48 AM    0    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
10:28:48 AM    1    0.00    0.00    0.00    0.00    2.00   98.00    0.00    0.00    0.00    0.00
10:28:48 AM    2    0.00    0.00   13.13    0.00    0.00    4.04    0.00    0.00    0.00   82.83
10:28:48 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:28:48 AM    4    0.00    0.00    7.92    0.00    0.00    0.00    0.00    0.00    0.00   92.08
10:28:48 AM    5    0.00    0.00   35.00    0.00    0.00   18.00    0.00    0.00    0.00   47.00
10:28:48 AM    6    0.00    0.00   21.78    0.00    0.00   13.86    0.00    0.00    0.00   64.36
10:28:48 AM    7    0.00    0.00   37.00    0.00    0.00    0.00    0.00    0.00    0.00   63.00

10:28:48 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:28:49 AM  all    0.00    0.00   11.96    0.00    0.25   29.39    0.00    0.00    0.00   58.41
10:28:49 AM    0    0.00    0.00    0.00    0.00    1.00   66.00    0.00    0.00    0.00   33.00
10:28:49 AM    1    0.00    0.00    0.00    0.00    0.99   76.24    0.00    0.00    0.00   22.77
10:28:49 AM    2    0.00    0.00   31.68    0.00    0.00   26.73    0.00    0.00    0.00   41.58
10:28:49 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:28:49 AM    4    0.00    0.00   15.00    0.00    0.00   20.00    0.00    0.00    0.00   65.00
10:28:49 AM    5    0.00    0.00   13.86    0.00    0.00   10.89    0.00    0.00    0.00   75.25
10:28:49 AM    6    0.00    0.00   34.65    0.00    0.00   34.65    0.00    0.00    0.00   30.69
10:28:49 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

10:28:49 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:28:50 AM  all    0.00    0.00   12.41    0.12    0.37   27.30    0.00    0.00    0.00   59.80
10:28:50 AM    0    0.00    0.00    0.99    0.99    0.00   31.68    0.00    0.00    0.00   66.34
10:28:50 AM    1    0.00    0.00    1.98    0.00    0.99   97.03    0.00    0.00    0.00    0.00
10:28:50 AM    2    0.00    0.00   13.86    0.00    0.99   14.85    0.00    0.00    0.00   70.30
10:28:50 AM    3    0.00    0.00   22.00    0.00    0.00    9.00    0.00    0.00    0.00   69.00
10:28:50 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:28:50 AM    5    0.00    0.00   27.72    0.00    0.99   33.66    0.00    0.00    0.00   37.62
10:28:50 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:28:50 AM    7    0.00    0.00   32.67    0.00    0.00   31.68    0.00    0.00    0.00   35.64

10:28:50 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:28:51 AM  all    0.00    0.00   11.89    0.00    0.25   22.40    0.00    0.00    0.00   65.46
10:28:51 AM    0    0.00    0.00    0.00    0.00    1.01   40.40    0.00    0.00    0.00   58.59
10:28:51 AM    1    0.00    0.00    0.00    0.00    1.01   98.99    0.00    0.00    0.00    0.00
10:28:51 AM    2    0.00    0.00   13.13    0.00    0.00   20.20    0.00    0.00    0.00   66.67
10:28:51 AM    3    0.00    0.00   26.00    0.00    0.00    0.00    0.00    0.00    0.00   74.00
10:28:51 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:28:51 AM    5    0.00    0.00   53.00    0.00    0.00   19.00    0.00    0.00    0.00   28.00
10:28:51 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:28:51 AM    7    0.00    0.00    2.94    0.00    0.00    1.96    0.00    0.00    0.00   95.10

10:28:51 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:28:52 AM  all    0.00    0.00   13.61    0.00    0.25   28.84    0.00    0.00    0.00   57.30
10:28:52 AM    0    0.00    0.00    0.00    0.00    0.99   99.01    0.00    0.00    0.00    0.00
10:28:52 AM    1    0.00    0.00    0.00    0.00    0.99   99.01    0.00    0.00    0.00    0.00
10:28:52 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:28:52 AM    3    0.00    0.00   70.87    0.00    0.00   15.53    0.00    0.00    0.00   13.59
10:28:52 AM    4    0.00    0.00    6.93    0.00    0.00    2.97    0.00    0.00    0.00   90.10
10:28:52 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:28:52 AM    6    0.00    0.00    6.00    0.00    0.00    3.00    0.00    0.00    0.00   91.00
10:28:52 AM    7    0.00    0.00   24.00    0.00    0.00   11.00    0.00    0.00    0.00   65.00

10:28:52 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:28:53 AM  all    0.13    0.00   13.80    0.00    0.38   27.85    0.00    0.00    0.00   57.84
10:28:53 AM    0    0.99    0.00    1.98    0.00    0.99   74.26    0.00    0.00    0.00   21.78
10:28:53 AM    1    0.00    0.00    1.00    0.00    1.00   98.00    0.00    0.00    0.00    0.00
10:28:53 AM    2    0.00    0.00   21.00    0.00    0.00   14.00    0.00    0.00    0.00   65.00
10:28:53 AM    3    0.00    0.00   38.78    0.00    0.00    1.02    0.00    0.00    0.00   60.20
10:28:53 AM    4    0.00    0.00   16.16    0.00    0.00    9.09    0.00    0.00    0.00   74.75
10:28:53 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:28:53 AM    6    0.00    0.00   32.00    0.00    1.00   25.00    0.00    0.00    0.00   42.00
10:28:53 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

10:28:53 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:28:54 AM  all    0.00    0.00   13.47    0.00    0.25   23.82    0.00    0.00    0.00   62.47
10:28:54 AM    0    0.00    0.00    0.00    0.00    1.00   98.00    0.00    0.00    0.00    1.00
10:28:54 AM    1    0.00    0.00    0.00    0.00    1.00   74.00    0.00    0.00    0.00   25.00
10:28:54 AM    2    0.00    0.00   36.63    0.00    0.00    0.99    0.00    0.00    0.00   62.38
10:28:54 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:28:54 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:28:54 AM    5    0.00    0.00   15.84    0.00    0.00    7.92    0.00    0.00    0.00   76.24
10:28:54 AM    6    0.00    0.00   38.00    0.00    0.00    2.00    0.00    0.00    0.00   60.00
10:28:54 AM    7    0.00    0.00   17.00    0.00    0.00    8.00    0.00    0.00    0.00   75.00

10:28:54 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:28:55 AM  all    0.00    0.00   16.96    0.00    0.25   29.18    0.00    0.00    0.00   53.62
10:28:55 AM    0    0.00    0.00    0.00    0.00    1.01   78.79    0.00    0.00    0.00   20.20
10:28:55 AM    1    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
10:28:55 AM    2    0.00    0.00   59.00    0.00    0.00   26.00    0.00    0.00    0.00   15.00
10:28:55 AM    3    0.00    0.00   36.00    0.00    0.00    1.00    0.00    0.00    0.00   63.00
10:28:55 AM    4    0.00    0.00   14.42    0.00    0.00   19.23    0.00    0.00    0.00   66.35
10:28:55 AM    5    0.00    0.00   18.18    0.00    0.00    7.07    0.00    0.00    0.00   74.75
10:28:55 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:28:55 AM    7    0.00    0.00    8.00    0.00    0.00    3.00    0.00    0.00    0.00   89.00

10:28:55 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:28:56 AM  all    0.00    0.00   12.56    0.00    0.25   32.84    0.00    0.00    0.00   54.35
10:28:56 AM    0    0.00    0.00    0.99    0.00    0.99   98.02    0.00    0.00    0.00    0.00
10:28:56 AM    1    0.00    0.00    0.00    0.00    1.00   76.00    0.00    0.00    0.00   23.00
10:28:56 AM    2    0.00    0.00   12.00    0.00    0.00   10.00    0.00    0.00    0.00   78.00
10:28:56 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:28:56 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:28:56 AM    5    0.00    0.00   43.56    0.00    0.00   47.52    0.00    0.00    0.00    8.91
10:28:56 AM    6    0.00    0.00    3.96    0.00    0.00    0.00    0.00    0.00    0.00   96.04
10:28:56 AM    7    0.00    0.00   40.00    0.00    0.00   31.00    0.00    0.00    0.00   29.00

10:28:56 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:28:57 AM  all    0.00    0.00   17.31    0.00    0.25   25.22    0.00    0.00    0.00   57.23
10:28:57 AM    0    0.00    0.00    0.00    0.00    0.99   80.20    0.00    0.00    0.00   18.81
10:28:57 AM    1    0.00    0.00    0.99    0.00    0.99   98.02    0.00    0.00    0.00    0.00
10:28:57 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:28:57 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:28:57 AM    4    0.00    0.00   54.55    0.00    0.00   13.13    0.00    0.00    0.00   32.32
10:28:57 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:28:57 AM    6    0.00    0.00   33.33    0.00    0.00    0.00    0.00    0.00    0.00   66.67
10:28:57 AM    7    0.00    0.00   50.50    0.00    0.00   10.89    0.00    0.00    0.00   38.61

10:28:57 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:28:58 AM  all    0.12    0.00   18.58    0.00    0.25   29.55    0.00    0.00    0.00   51.50
10:28:58 AM    0    0.00    0.00    2.00    0.00    1.00   90.00    0.00    0.00    0.00    7.00
10:28:58 AM    1    0.99    0.00    1.98    0.00    0.99   96.04    0.00    0.00    0.00    0.00
10:28:58 AM    2    0.00    0.00   67.00    0.00    0.00   23.00    0.00    0.00    0.00   10.00
10:28:58 AM    3    0.00    0.00   37.62    0.00    0.00    0.00    0.00    0.00    0.00   62.38
10:28:58 AM    4    0.00    0.00   33.33    0.00    0.00   25.25    0.00    0.00    0.00   41.41
10:28:58 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:28:58 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:28:58 AM    7    0.00    0.00    6.93    0.00    0.00    1.98    0.00    0.00    0.00   91.09

