Linux 7.2.0-rc1 (hp3) 	07/12/2026 	_x86_64_	(8 CPU)

10:13:37 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:13:38 AM  all    0.12    0.00   13.14    0.00    0.12   23.79    0.00    0.00    0.00   62.83
10:13:38 AM    0    0.99    0.00    0.00    0.00    0.99   81.19    0.00    0.00    0.00   16.83
10:13:38 AM    1    0.00    0.00    0.00    0.00    0.00   74.75    0.00    0.00    0.00   25.25
10:13:38 AM    2    0.00    0.00   38.61    0.00    0.00    0.00    0.00    0.00    0.00   61.39
10:13:38 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:13:38 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:13:38 AM    5    0.00    0.00   22.33    0.00    0.00   18.45    0.00    0.00    0.00   59.22
10:13:38 AM    6    0.00    0.00   22.77    0.00    0.00    2.97    0.00    0.00    0.00   74.26
10:13:38 AM    7    0.00    0.00   20.79    0.00    0.00   13.86    0.00    0.00    0.00   65.35

10:13:38 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:13:39 AM  all    0.00    0.00   13.06    0.00    0.50   34.58    0.00    0.00    0.00   51.87
10:13:39 AM    0    0.00    0.00    0.99    0.00    1.98   97.03    0.00    0.00    0.00    0.00
10:13:39 AM    1    0.00    0.00    0.98    0.00    1.96   97.06    0.00    0.00    0.00    0.00
10:13:39 AM    2    0.00    0.00   20.00    0.00    0.00   14.00    0.00    0.00    0.00   66.00
10:13:39 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:13:39 AM    4    0.00    0.00   36.63    0.00    0.00   28.71    0.00    0.00    0.00   34.65
10:13:39 AM    5    0.00    0.00   14.00    0.00    0.00   12.00    0.00    0.00    0.00   74.00
10:13:39 AM    6    0.00    0.00   12.87    0.00    0.00   13.86    0.00    0.00    0.00   73.27
10:13:39 AM    7    0.00    0.00   19.19    0.00    0.00   12.12    0.00    0.00    0.00   68.69

10:13:39 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:13:40 AM  all    0.00    0.00   21.17    0.00    0.25   27.15    0.00    0.00    0.00   51.43
10:13:40 AM    0    0.00    0.00    0.00    0.00    1.01   91.92    0.00    0.00    0.00    7.07
10:13:40 AM    1    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
10:13:40 AM    2    0.00    0.00   37.62    0.00    0.00    0.99    0.00    0.00    0.00   61.39
10:13:40 AM    3    0.00    0.00   44.55    0.00    0.00   11.88    0.00    0.00    0.00   43.56
10:13:40 AM    4    0.00    0.00    1.96    0.00    0.00    1.96    0.00    0.00    0.00   96.08
10:13:40 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:13:40 AM    6    0.00    0.00   38.00    0.00    0.00    0.00    0.00    0.00    0.00   62.00
10:13:40 AM    7    0.00    0.00   47.00    0.00    0.00   13.00    0.00    0.00    0.00   40.00

10:13:40 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:13:41 AM  all    0.00    0.00   11.31    0.00    0.13   25.50    0.00    0.00    0.00   63.07
10:13:41 AM    0    0.00    0.00    1.00    0.00    0.00    9.00    0.00    0.00    0.00   90.00
10:13:41 AM    1    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
10:13:41 AM    2    0.00    0.00   37.37    0.00    0.00   40.40    0.00    0.00    0.00   22.22
10:13:41 AM    3    0.00    0.00    7.07    0.00    0.00    8.08    0.00    0.00    0.00   84.85
