Linux 7.2.0-rc1 (hp3) 	07/12/2026 	_x86_64_	(8 CPU)

10:01:57 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:01:58 AM  all    0.00    0.00   16.96    0.00    0.25   25.44    0.00    0.00    0.00   57.36
10:01:58 AM    0    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
10:01:58 AM    1    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
10:01:58 AM    2    0.00    0.00   57.00    0.00    0.00    0.00    0.00    0.00    0.00   43.00
10:01:58 AM    3    0.00    0.00   39.00    0.00    0.00    3.00    0.00    0.00    0.00   58.00
10:01:58 AM    4    0.00    0.00   37.62    0.00    0.00    0.00    0.00    0.00    0.00   62.38
10:01:58 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:01:58 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:01:58 AM    7    0.00    0.00    2.00    0.00    0.00    3.00    0.00    0.00    0.00   95.00

10:01:58 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:01:59 AM  all    0.12    0.00   17.21    0.00    0.25   28.93    0.00    0.00    0.00   53.49
10:01:59 AM    0    0.99    0.00    0.99    0.00    0.99   76.24    0.00    0.00    0.00   20.79
10:01:59 AM    1    0.00    0.00    1.98    0.00    0.99   97.03    0.00    0.00    0.00    0.00
10:01:59 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:01:59 AM    3    0.00    0.00   33.33    0.00    0.00   31.31    0.00    0.00    0.00   35.35
10:01:59 AM    4    0.00    0.00   23.00    0.00    0.00   12.00    0.00    0.00    0.00   65.00
10:01:59 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:01:59 AM    6    0.00    0.00   31.00    0.00    0.00    0.00    0.00    0.00    0.00   69.00
10:01:59 AM    7    0.00    0.00   47.52    0.00    0.00   13.86    0.00    0.00    0.00   38.61

10:01:59 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:02:00 AM  all    0.00    0.00   18.42    0.00    0.25   26.94    0.00    0.00    0.00   54.39
10:02:00 AM    0    0.00    0.00    1.00    0.00    1.00   98.00    0.00    0.00    0.00    0.00
10:02:00 AM    1    0.00    0.00    0.00    0.00    1.00   70.00    0.00    0.00    0.00   29.00
10:02:00 AM    2    0.00    0.00   65.00    0.00    0.00   26.00    0.00    0.00    0.00    9.00
