pair,scenario,cell,rep,sysctl,dur_s,pkt_size,threads,scenario_iface,scenario_mac,pps_sent,pps_recv,cycles,instructions,branches,branch_misses,cycles_per_pkt,ins_per_pkt,branch_miss_per_pkt,recv_sys_pct,recv_soft_pct,rps,rfs,cake,flower,kernel_has_sysctl,status
hp1-hp3,eth_ip,cell-01,1,0,60,64,2,enp1s0f0np0,98:f2:b3:df:1c:70,4494456,3604206,587645755753,688173376866,121631981909,315459162,2717.41,3182.27,1.4588,16.27,25.72,1,1,1,1,yes,ok
hp1-hp3,eth_ip,cell-01,2,0,60,64,2,enp1s0f0np0,98:f2:b3:df:1c:70,4387544,3492493,584069394078,674335535058,119569242808,313813114,2787.26,3218.02,1.4976,15.51,26.61,1,1,1,1,yes,ok
hp1-hp3,eth_ip,cell-01,3,0,60,64,2,enp1s0f0np0,98:f2:b3:df:1c:70,4394024,3473810,594192103888,681260008351,120742646697,314120727,2850.82,3268.55,1.5071,15.89,26.81,1,1,1,1,yes,ok
hp1-hp3,eth_ip,cell-02,1,1,60,64,2,enp1s0f0np0,98:f2:b3:df:1c:70,4349288,3502974,583623657428,656143291683,114910392757,314593380,2776.80,3121.84,1.4968,15.00,27.77,1,1,1,1,yes,ok
hp1-hp3,eth_ip,cell-02,2,1,60,64,2,enp1s0f0np0,98:f2:b3:df:1c:70,4357581,3558037,564343845670,639139138204,112031261984,304379088,2643.52,2993.88,1.4258,14.28,27.78,1,1,1,1,yes,ok
hp1-hp3,eth_ip,cell-02,3,1,60,64,2,enp1s0f0np0,98:f2:b3:df:1c:70,4395930,3516621,581261484341,656253996186,114804840545,315009855,2754.83,3110.25,1.4930,15.20,27.14,1,1,1,1,yes,ok
hp1-hp3,vlan,cell-01,1,0,60,64,2,vlan100,98:f2:b3:df:1c:70,4392484,3571968,583432206723,651745014110,114093384033,312248058,2722.27,3041.02,1.4569,14.48,28.63,1,1,1,1,yes,ok
hp1-hp3,vlan,cell-01,2,0,60,64,2,vlan100,98:f2:b3:df:1c:70,4361164,3541267,569802903947,644018118133,112679563630,308625979,2681.73,3031.01,1.4525,14.48,27.95,1,1,1,1,yes,ok
hp1-hp3,vlan,cell-01,3,0,60,64,2,vlan100,98:f2:b3:df:1c:70,4400947,3595006,570124966763,642640816550,112481672230,306625349,2643.13,2979.32,1.4215,14.54,28.01,1,1,1,1,yes,ok
hp1-hp3,vlan,cell-02,1,1,60,64,2,vlan100,98:f2:b3:df:1c:70,4377845,3576471,565343077193,641595655817,112168952155,308486178,2634.55,2989.89,1.4376,14.54,27.58,1,1,1,1,yes,ok
hp1-hp3,vlan,cell-02,2,1,60,64,2,vlan100,98:f2:b3:df:1c:70,4380672,3550425,569135695605,645087402342,112856812217,309617746,2671.68,3028.22,1.4534,14.42,27.77,1,1,1,1,yes,ok
hp1-hp3,vlan,cell-02,3,1,60,64,2,vlan100,98:f2:b3:df:1c:70,4362952,3476667,578084938491,651127507130,113825539181,311288255,2771.26,3121.42,1.4923,14.87,27.46,1,1,1,1,yes,ok
hp1-hp3,qinq,cell-01,1,0,60,64,2,cvlan100,98:f2:b3:df:1c:70,4390536,3545714,566450780567,640748206384,111928873264,305566739,2662.61,3011.84,1.4363,14.63,27.37,1,1,1,1,yes,ok
hp1-hp3,qinq,cell-01,2,0,60,64,2,cvlan100,98:f2:b3:df:1c:70,4421891,3610201,578825364351,647581670574,113559951184,312958128,2672.18,2989.59,1.4448,14.34,28.99,1,1,1,1,yes,ok
