Linux 7.2.0-rc1 (hp5) 	07/11/2026 	_x86_64_	(8 CPU)

08:36:24 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:36:25 PM  all    0.00    0.00   13.96    0.00    0.38   30.44    0.00    0.00    0.00   55.22
08:36:25 PM    0    0.00    0.00    0.99    0.00    0.99   85.15    0.00    0.00    0.00   12.87
08:36:25 PM    1    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
08:36:25 PM    2    0.00    0.00   24.00    0.00    0.00    8.00    0.00    0.00    0.00   68.00
08:36:25 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:36:25 PM    4    0.00    0.00   47.42    0.00    1.03   26.80    0.00    0.00    0.00   24.74
08:36:25 PM    5    0.00    0.00   28.00    0.00    0.00   15.00    0.00    0.00    0.00   57.00
08:36:25 PM    6    0.00    0.00   12.50    0.00    0.00    8.33    0.00    0.00    0.00   79.17
08:36:25 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

08:36:25 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:36:26 PM  all    0.00    0.00   12.39    0.00    0.12   31.85    0.00    0.00    0.00   55.64
08:36:26 PM    0    0.00    0.00    1.00    0.00    0.00   99.00    0.00    0.00    0.00    0.00
08:36:26 PM    1    0.00    0.00    0.99    0.00    0.00   99.01    0.00    0.00    0.00    0.00
08:36:26 PM    2    0.00    0.00   20.00    0.00    0.00   10.00    0.00    0.00    0.00   70.00
08:36:26 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:36:26 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:36:26 PM    5    0.00    0.00   47.57    0.00    0.97   27.18    0.00    0.00    0.00   24.27
08:36:26 PM    6    0.00    0.00   28.43    0.00    0.00   19.61    0.00    0.00    0.00   51.96
08:36:26 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

08:36:26 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:36:27 PM  all    0.00    0.00   11.10    0.00    0.37   29.05    0.00    0.00    0.00   59.48
08:36:27 PM    0    0.00    0.00    0.00    0.00    0.99   99.01    0.00    0.00    0.00    0.00
08:36:27 PM    1    0.00    0.00    0.00    0.00    1.00   71.00    0.00    0.00    0.00   28.00
08:36:27 PM    2    0.00    0.00   31.37    0.00    0.98   24.51    0.00    0.00    0.00   43.14
08:36:27 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:36:27 PM    4    0.00    0.00   12.87    0.00    0.00   13.86    0.00    0.00    0.00   73.27
08:36:27 PM    5    0.00    0.00    8.25    0.00    0.00    9.28    0.00    0.00    0.00   82.47
08:36:27 PM    6    0.00    0.00   17.17    0.00    0.00    4.04    0.00    0.00    0.00   78.79
08:36:27 PM    7    0.00    0.00   18.63    0.00    0.00    9.80    0.00    0.00    0.00   71.57

08:36:27 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:36:28 PM  all    0.00    0.00   13.45    0.00    0.00   28.89    0.00    0.00    0.00   57.66
08:36:28 PM    0    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00
08:36:28 PM    1    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00
08:36:28 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:36:28 PM    3    0.00    0.00   10.89    0.00    0.00    0.00    0.00    0.00    0.00   89.11
08:36:28 PM    4    0.00    0.00   62.00    0.00    0.00   12.00    0.00    0.00    0.00   26.00
08:36:28 PM    5    0.00    0.00   29.70    0.00    0.00   15.84    0.00    0.00    0.00   54.46
08:36:28 PM    6    0.00    0.00    4.90    0.00    0.00    4.90    0.00    0.00    0.00   90.20
08:36:28 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

08:36:28 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:36:29 PM  all    0.00    0.00   12.58    0.00    0.12   18.06    0.00    0.00    0.00   69.24
08:36:29 PM    0    0.00    0.00    0.00    0.00    0.99   71.29    0.00    0.00    0.00   27.72
08:36:29 PM    1    0.00    0.00    0.00    0.00    0.00   73.00    0.00    0.00    0.00   27.00
08:36:29 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:36:29 PM    3    0.00    0.00   67.00    0.00    0.00    0.00    0.00    0.00    0.00   33.00
08:36:29 PM    4    0.00    0.00   33.66    0.00    0.00    0.00    0.00    0.00    0.00   66.34
08:36:29 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
