Linux 7.2.0-rc1 (hp5) 	07/11/2026 	_x86_64_	(8 CPU)

09:14:53 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:14:54 PM  all    0.00    0.00    9.02    0.00    0.25   21.43    0.00    0.00    0.00   69.30
09:14:54 PM    0    0.00    0.00    0.00    0.00    0.00   30.30    0.00    0.00    0.00   69.70
09:14:54 PM    1    0.00    0.00    0.00    0.00    0.99   85.15    0.00    0.00    0.00   13.86
09:14:54 PM    2    0.00    0.00   12.24    0.00    0.00   13.27    0.00    0.00    0.00   74.49
09:14:54 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:14:54 PM    4    0.00    0.00   10.78    0.00    0.98   11.76    0.00    0.00    0.00   76.47
09:14:54 PM    5    0.00    0.00   27.55    0.00    0.00    3.06    0.00    0.00    0.00   69.39
09:14:54 PM    6    0.00    0.00   12.12    0.00    0.00   14.14    0.00    0.00    0.00   73.74
09:14:54 PM    7    0.00    0.00    9.90    0.00    0.00   12.87    0.00    0.00    0.00   77.23

09:14:54 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:14:55 PM  all    0.00    0.00   10.89    0.00    0.25   26.61    0.00    0.00    0.00   62.25
09:14:55 PM    0    0.00    0.00    0.98    0.00    0.00   71.57    0.00    0.00    0.00   27.45
09:14:55 PM    1    0.00    0.00    0.99    0.00    0.00   92.08    0.00    0.00    0.00    6.93
09:14:55 PM    2    0.00    0.00   49.02    0.00    0.98   23.53    0.00    0.00    0.00   26.47
09:14:55 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:14:55 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:14:55 PM    5    0.00    0.00    8.00    0.00    0.00    0.00    0.00    0.00    0.00   92.00
09:14:55 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:14:55 PM    7    0.00    0.00   27.45    0.00    0.98   24.51    0.00    0.00    0.00   47.06

09:14:55 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:14:56 PM  all    0.00    0.00   13.50    0.00    0.25   24.62    0.00    0.00    0.00   61.62
09:14:56 PM    0    0.00    0.00    0.00    0.00    1.00   74.00    0.00    0.00    0.00   25.00
09:14:56 PM    1    0.00    0.00    0.00    0.00    0.99   99.01    0.00    0.00    0.00    0.00
09:14:56 PM    2    0.00    0.00   20.79    0.00    0.00    0.00    0.00    0.00    0.00   79.21
09:14:56 PM    3    0.00    0.00   38.78    0.00    0.00    0.00    0.00    0.00    0.00   61.22
09:14:56 PM    4    0.00    0.00   20.00    0.00    0.00   14.00    0.00    0.00    0.00   66.00
09:14:56 PM    5    0.00    0.00   25.74    0.00    0.00    7.92    0.00    0.00    0.00   66.34
09:14:56 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:14:56 PM    7    0.00    0.00    3.03    0.00    0.00    1.01    0.00    0.00    0.00   95.96

09:14:56 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:14:57 PM  all    0.00    0.00   12.70    0.00    0.00   25.78    0.00    0.00    0.00   61.52
09:14:57 PM    0    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00
09:14:57 PM    1    0.00    0.00    0.00    0.00    0.00   73.74    0.00    0.00    0.00   26.26
09:14:57 PM    2    0.00    0.00   20.59    0.00    0.00    8.82    0.00    0.00    0.00   70.59
09:14:57 PM    3    0.00    0.00   14.85    0.00    0.00    6.93    0.00    0.00    0.00   78.22
09:14:57 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:14:57 PM    5    0.00    0.00   15.84    0.00    0.00   11.88    0.00    0.00    0.00   72.28
09:14:57 PM    6    0.00    0.00   14.85    0.00    0.00    6.93    0.00    0.00    0.00   78.22
09:14:57 PM    7    0.00    0.00   35.00    0.00    0.00    0.00    0.00    0.00    0.00   65.00

09:14:57 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:14:58 PM  all    0.00    0.00   10.56    0.00    0.12   27.33    0.00    0.00    0.00   61.99
09:14:58 PM    0    0.00    0.00    0.00    0.00    0.99   75.25    0.00    0.00    0.00   23.76
09:14:58 PM    1    0.00    0.00    1.00    0.00    0.00   99.00    0.00    0.00    0.00    0.00
09:14:58 PM    2    0.00    0.00    7.00    0.00    0.00    3.00    0.00    0.00    0.00   90.00
09:14:58 PM    3    0.00    0.00   16.83    0.00    0.00   18.81    0.00    0.00    0.00   64.36
09:14:58 PM    4    0.00    0.00    5.88    0.00    0.00    1.96    0.00    0.00    0.00   92.16
09:14:58 PM    5    0.00    0.00   11.76    0.00    0.00   15.69    0.00    0.00    0.00   72.55
09:14:58 PM    6    0.00    0.00   42.42    0.00    0.00    5.05    0.00    0.00    0.00   52.53
09:14:58 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

09:14:58 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:14:59 PM  all    0.00    0.00    9.64    0.00    0.38   27.66    0.00    0.00    0.00   62.33
09:14:59 PM    0    0.00    0.00    0.00    0.00    0.00   78.00    0.00    0.00    0.00   22.00
09:14:59 PM    1    0.00    0.00    0.00    0.00    0.99   72.28    0.00    0.00    0.00   26.73
09:14:59 PM    2    0.00    0.00   19.39    0.00    0.00   24.49    0.00    0.00    0.00   56.12
09:14:59 PM    3    0.00    0.00   16.67    0.00    0.98   11.76    0.00    0.00    0.00   70.59
09:14:59 PM    4    0.00    0.00    9.18    0.00    0.00   11.22    0.00    0.00    0.00   79.59
09:14:59 PM    5    0.00    0.00   10.10    0.00    1.01   13.13    0.00    0.00    0.00   75.76
09:14:59 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:14:59 PM    7    0.00    0.00   21.78    0.00    0.00    9.90    0.00    0.00    0.00   68.32

09:14:59 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:15:00 PM  all    0.00    0.00   12.48    0.00    0.12   31.09    0.00    0.00    0.00   56.30
09:15:00 PM    0    0.00    0.00    0.99    0.00    0.99   92.08    0.00    0.00    0.00    5.94
09:15:00 PM    1    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00
09:15:00 PM    2    0.00    0.00    1.00    0.00    0.00    2.00    0.00    0.00    0.00   97.00
09:15:00 PM    3    0.00    0.00   18.18    0.00    0.00   11.11    0.00    0.00    0.00   70.71
09:15:00 PM    4    0.00    0.00   15.53    0.00    0.00   11.65    0.00    0.00    0.00   72.82
09:15:00 PM    5    0.00    0.00    3.06    0.00    0.00    1.02    0.00    0.00    0.00   95.92
09:15:00 PM    6    0.00    0.00   49.50    0.00    0.00   24.75    0.00    0.00    0.00   25.74
09:15:00 PM    7    0.00    0.00   11.11    0.00    0.00    5.05    0.00    0.00    0.00   83.84

09:15:00 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:15:01 PM  all    0.00    0.00   11.03    0.00    0.38   29.95    0.00    0.00    0.00   58.65
09:15:01 PM    0    0.00    0.00    0.00    0.00    0.00   75.00    0.00    0.00    0.00   25.00
09:15:01 PM    1    0.00    0.00    0.00    0.00    0.99   99.01    0.00    0.00    0.00    0.00
09:15:01 PM    2    0.00    0.00   28.00    0.00    1.00   28.00    0.00    0.00    0.00   43.00
09:15:01 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:15:01 PM    4    0.00    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   97.94
09:15:01 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:15:01 PM    6    0.00    0.00   48.00    0.00    1.00   29.00    0.00    0.00    0.00   22.00
09:15:01 PM    7    0.00    0.00   10.00    0.00    0.00    7.00    0.00    0.00    0.00   83.00

09:15:01 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:15:02 PM  all    0.00    0.00   11.07    0.00    0.12   32.34    0.00    0.00    0.00   56.47
09:15:02 PM    0    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00
