Linux 7.2.0-rc1 (hp5) 	07/11/2026 	_x86_64_	(8 CPU)

09:05:36 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:05:37 PM  all    0.00    0.00   11.26    0.00    0.13   30.16    0.00    0.00    0.00   58.45
09:05:37 PM    0    0.00    0.00    0.00    0.00    0.99   99.01    0.00    0.00    0.00    0.00
09:05:37 PM    1    0.00    0.00    0.00    0.00    0.00   79.21    0.00    0.00    0.00   20.79
09:05:37 PM    2    0.00    0.00    6.93    0.00    0.00    6.93    0.00    0.00    0.00   86.14
09:05:37 PM    3    0.00    0.00   20.59    0.00    0.00    9.80    0.00    0.00    0.00   69.61
09:05:37 PM    4    0.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00   96.00
09:05:37 PM    5    0.00    0.00   19.39    0.00    0.00   13.27    0.00    0.00    0.00   67.35
09:05:37 PM    6    0.00    0.00   17.00    0.00    0.00   11.00    0.00    0.00    0.00   72.00
09:05:37 PM    7    0.00    0.00   23.96    0.00    0.00   19.79    0.00    0.00    0.00   56.25

09:05:37 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:05:38 PM  all    0.00    0.00   12.12    0.00    0.62   30.00    0.00    0.00    0.00   57.25
09:05:38 PM    0    0.00    0.00    1.01    0.00    0.00   76.77    0.00    0.00    0.00   22.22
09:05:38 PM    1    0.00    0.00    0.99    0.00    0.99   98.02    0.00    0.00    0.00    0.00
09:05:38 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:05:38 PM    3    0.00    0.00   14.29    0.00    1.02    8.16    0.00    0.00    0.00   76.53
09:05:38 PM    4    0.00    0.00   31.00    0.00    1.00   27.00    0.00    0.00    0.00   41.00
09:05:38 PM    5    0.00    0.00   38.00    0.00    1.00   21.00    0.00    0.00    0.00   40.00
09:05:38 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:05:38 PM    7    0.00    0.00   11.88    0.00    0.99    8.91    0.00    0.00    0.00   78.22

09:05:38 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:05:39 PM  all    0.00    0.00   10.12    0.00    0.00   28.88    0.00    0.00    0.00   61.00
09:05:39 PM    0    0.00    0.00    0.00    0.00    0.00   77.00    0.00    0.00    0.00   23.00
09:05:39 PM    1    0.00    0.00    1.00    0.00    0.00   99.00    0.00    0.00    0.00    0.00
09:05:39 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:05:39 PM    3    0.00    0.00    3.00    0.00    0.00    3.00    0.00    0.00    0.00   94.00
09:05:39 PM    4    0.00    0.00   11.00    0.00    0.00   14.00    0.00    0.00    0.00   75.00
09:05:39 PM    5    0.00    0.00   19.80    0.00    0.00    9.90    0.00    0.00    0.00   70.30
09:05:39 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:05:39 PM    7    0.00    0.00   46.46    0.00    0.00   28.28    0.00    0.00    0.00   25.25

09:05:39 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:05:40 PM  all    0.00    0.00   12.70    0.00    0.12   28.64    0.00    0.00    0.00   58.53
09:05:40 PM    0    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
09:05:40 PM    1    0.00    0.00    0.00    0.00    0.00   78.79    0.00    0.00    0.00   21.21
09:05:40 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:05:40 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:05:40 PM    4    0.00    0.00   13.59    0.00    0.00   14.56    0.00    0.00    0.00   71.84
09:05:40 PM    5    0.00    0.00   11.76    0.00    0.00   15.69    0.00    0.00    0.00   72.55
09:05:40 PM    6    0.00    0.00   26.53    0.00    0.00   10.20    0.00    0.00    0.00   63.27
09:05:40 PM    7    0.00    0.00   49.50    0.00    0.00   11.88    0.00    0.00    0.00   38.61

09:05:40 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:05:41 PM  all    0.00    0.00   12.98    0.00    0.25   24.84    0.00    0.00    0.00   61.92
09:05:41 PM    0    0.00    0.00    0.00    0.00    0.00   76.24    0.00    0.00    0.00   23.76
09:05:41 PM    1    0.00    0.00    0.00    0.00    0.99   97.03    0.00    0.00    0.00    1.98
09:05:41 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:05:41 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:05:41 PM    4    0.00    0.00   41.84    0.00    0.00    2.04    0.00    0.00    0.00   56.12
09:05:41 PM    5    0.00    0.00   44.90    0.00    0.00   10.20    0.00    0.00    0.00   44.90
09:05:41 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:05:41 PM    7    0.00    0.00   18.81    0.00    0.99   11.88    0.00    0.00    0.00   68.32

09:05:41 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:05:42 PM  all    0.00    0.00   12.58    0.00    0.25   24.28    0.00    0.00    0.00   62.89
09:05:42 PM    0    0.00    0.00    0.00    0.00    1.01   69.70    0.00    0.00    0.00   29.29
09:05:42 PM    1    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00
09:05:42 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:05:42 PM    3    0.00    0.00    0.00    0.00    0.00    2.02    0.00    0.00    0.00   97.98
09:05:42 PM    4    0.00    0.00   58.65    0.00    0.96    9.62    0.00    0.00    0.00   30.77
09:05:42 PM    5    0.00    0.00   20.00    0.00    0.00    0.00    0.00    0.00    0.00   80.00
09:05:42 PM    6    0.00    0.00   18.81    0.00    0.00   12.87    0.00    0.00    0.00   68.32
09:05:42 PM    7    0.00    0.00    0.99    0.00    0.00    1.98    0.00    0.00    0.00   97.03

09:05:42 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:05:43 PM  all    0.00    0.00   11.03    0.00    0.13   26.57    0.00    0.00    0.00   62.28
09:05:43 PM    0    0.00    0.00    0.00    0.00    0.00   73.00    0.00    0.00    0.00   27.00
09:05:43 PM    1    0.00    0.00    0.00    0.00    0.00   87.00    0.00    0.00    0.00   13.00
09:05:43 PM    2    0.00    0.00   16.16    0.00    0.00   14.14    0.00    0.00    0.00   69.70
09:05:43 PM    3    0.00    0.00   12.00    0.00    0.00   13.00    0.00    0.00    0.00   75.00
09:05:43 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:05:43 PM    5    0.00    0.00   22.77    0.00    0.99    8.91    0.00    0.00    0.00   67.33
09:05:43 PM    6    0.00    0.00   24.00    0.00    0.00    3.00    0.00    0.00    0.00   73.00
09:05:43 PM    7    0.00    0.00   13.27    0.00    0.00   13.27    0.00    0.00    0.00   73.47

09:05:43 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:05:44 PM  all    0.00    0.00   12.36    0.00    0.12   26.47    0.00    0.00    0.00   61.05
09:05:44 PM    0    0.00    0.00    0.99    0.00    0.00   99.01    0.00    0.00    0.00    0.00
09:05:44 PM    1    0.00    0.00    0.98    0.00    0.98   60.78    0.00    0.00    0.00   37.25
09:05:44 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:05:44 PM    3    0.00    0.00   33.00    0.00    0.00   24.00    0.00    0.00    0.00   43.00
09:05:44 PM    4    0.00    0.00   31.96    0.00    0.00    9.28    0.00    0.00    0.00   58.76
09:05:44 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:05:44 PM    6    0.00    0.00   13.00    0.00    0.00    1.00    0.00    0.00    0.00   86.00
09:05:44 PM    7    0.00    0.00   19.80    0.00    0.00   15.84    0.00    0.00    0.00   64.36

09:05:44 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:05:45 PM  all    0.00    0.00   10.70    0.00    0.37   30.60    0.00    0.00    0.00   58.33
09:05:45 PM    0    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
09:05:45 PM    1    0.00    0.00    0.00    0.00    0.00   82.83    0.00    0.00    0.00   17.17
09:05:45 PM    2    0.00    0.00    8.82    0.00    0.98   12.75    0.00    0.00    0.00   77.45
09:05:45 PM    3    0.00    0.00   17.65    0.00    0.98   12.75    0.00    0.00    0.00   68.63
09:05:45 PM    4    0.00    0.00   16.00    0.00    0.00    8.00    0.00    0.00    0.00   76.00
09:05:45 PM    5    0.00    0.00   18.81    0.00    0.00   10.89    0.00    0.00    0.00   70.30
09:05:45 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:05:45 PM    7    0.00    0.00   24.00    0.00    0.00   20.00    0.00    0.00    0.00   56.00

09:05:45 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:05:46 PM  all    0.25    0.00   10.70    0.00    0.12   23.26    0.00    0.00    0.00   65.67
09:05:46 PM    0    1.00    0.00    1.00    0.00    0.00   98.00    0.00    0.00    0.00    0.00
09:05:46 PM    1    0.99    0.00    0.99    0.00    0.00   54.46    0.00    0.00    0.00   43.56
09:05:46 PM    2    0.00    0.00    3.00    0.00    0.00    2.00    0.00    0.00    0.00   95.00
09:05:46 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:05:46 PM    4    0.00    0.00   12.75    0.00    0.00   13.73    0.00    0.00    0.00   73.53
09:05:46 PM    5    0.00    0.00   40.40    0.00    0.00    0.00    0.00    0.00    0.00   59.60
09:05:46 PM    6    0.00    0.00   12.00    0.00    0.00   14.00    0.00    0.00    0.00   74.00
09:05:46 PM    7    0.00    0.00   15.84    0.00    0.99    3.96    0.00    0.00    0.00   79.21

09:05:46 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:05:47 PM  all    0.00    0.00   12.59    0.00    0.25   25.06    0.00    0.00    0.00   62.09
09:05:47 PM    0    0.00    0.00    0.00    0.00    0.99   99.01    0.00    0.00    0.00    0.00
09:05:47 PM    1    0.00    0.00    0.00    0.00    1.00   76.00    0.00    0.00    0.00   23.00
09:05:47 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:05:47 PM    3    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
09:05:47 PM    4    0.00    0.00   21.21    0.00    0.00   11.11    0.00    0.00    0.00   67.68
09:05:47 PM    5    0.00    0.00   37.62    0.00    0.00    1.98    0.00    0.00    0.00   60.40
09:05:47 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:05:47 PM    7    0.00    0.00   40.20    0.00    0.00   11.76    0.00    0.00    0.00   48.04

09:05:47 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:05:48 PM  all    0.00    0.00   11.44    0.00    0.12   23.51    0.00    0.00    0.00   64.93
09:05:48 PM    0    0.00    0.00    0.00    0.00    0.00   80.00    0.00    0.00    0.00   20.00
09:05:48 PM    1    0.00    0.00    0.00    0.00    0.00   71.29    0.00    0.00    0.00   28.71
09:05:48 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:05:48 PM    3    0.00    0.00   23.76    0.00    0.00   18.81    0.00    0.00    0.00   57.43
09:05:48 PM    4    0.00    0.00   50.98    0.00    0.98   14.71    0.00    0.00    0.00   33.33
09:05:48 PM    5    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
09:05:48 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:05:48 PM    7    0.00    0.00   14.00    0.00    0.00    3.00    0.00    0.00    0.00   83.00

09:05:48 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:05:49 PM  all    0.12    0.00   11.19    0.00    0.00   22.01    0.00    0.00    0.00   66.67
09:05:49 PM    0    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00
09:05:49 PM    1    1.00    0.00    1.00    0.00    0.00   34.00    0.00    0.00    0.00   64.00
09:05:49 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:05:49 PM    3    0.00    0.00    9.00    0.00    0.00    4.00    0.00    0.00    0.00   87.00
