Linux 7.2.0-rc1 (hp5) 	07/11/2026 	_x86_64_	(8 CPU)

09:04:21 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:04:22 PM  all    0.00    0.00    9.89    0.00    0.38   29.79    0.00    0.00    0.00   59.95
09:04:22 PM    0    0.00    0.00    0.00    0.00    0.99   99.01    0.00    0.00    0.00    0.00
09:04:22 PM    1    0.00    0.00    0.00    0.00    1.00   71.00    0.00    0.00    0.00   28.00
09:04:22 PM    2    0.00    0.00   24.75    0.00    0.00   13.86    0.00    0.00    0.00   61.39
09:04:22 PM    3    0.00    0.00   11.00    0.00    0.00   15.00    0.00    0.00    0.00   74.00
09:04:22 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:04:22 PM    5    0.00    0.00    8.08    0.00    0.00    3.03    0.00    0.00    0.00   88.89
09:04:22 PM    6    0.00    0.00   18.81    0.00    0.99   22.77    0.00    0.00    0.00   57.43
09:04:22 PM    7    0.00    0.00   16.49    0.00    0.00   12.37    0.00    0.00    0.00   71.13

09:04:22 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:04:23 PM  all    0.00    0.00   10.85    0.00    0.25   22.32    0.00    0.00    0.00   66.58
09:04:23 PM    0    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00
09:04:23 PM    1    0.00    0.00    0.98    0.00    0.00   38.24    0.00    0.00    0.00   60.78
09:04:23 PM    2    0.00    0.00   24.75    0.00    0.99   20.79    0.00    0.00    0.00   53.47
09:04:23 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:04:23 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:04:23 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:04:23 PM    6    0.00    0.00   49.00    0.00    0.00    9.00    0.00    0.00    0.00   42.00
09:04:23 PM    7    0.00    0.00   12.00    0.00    1.00   11.00    0.00    0.00    0.00   76.00

09:04:23 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:04:24 PM  all    0.00    0.00    9.63    0.00    0.25   23.58    0.00    0.00    0.00   66.54
09:04:24 PM    0    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00
09:04:24 PM    1    0.00    0.00    0.00    0.00    0.00   20.20    0.00    0.00    0.00   79.80
09:04:24 PM    2    0.00    0.00   15.15    0.00    0.00    5.05    0.00    0.00    0.00   79.80
09:04:24 PM    3    0.00    0.00   11.65    0.00    0.97   13.59    0.00    0.00    0.00   73.79
09:04:24 PM    4    0.00    0.00   26.47    0.00    0.00   27.45    0.00    0.00    0.00   46.08
09:04:24 PM    5    0.00    0.00   14.42    0.00    0.96   14.42    0.00    0.00    0.00   70.19
09:04:24 PM    6    0.00    0.00    9.00    0.00    0.00    7.00    0.00    0.00    0.00   84.00
09:04:24 PM    7    0.00    0.00    0.00    0.00    0.00    1.94    0.00    0.00    0.00   98.06

09:04:24 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:04:25 PM  all    0.00    0.00   11.74    0.00    0.12   23.72    0.00    0.00    0.00   64.42
09:04:25 PM    0    0.00    0.00    0.00    0.00    0.98   76.47    0.00    0.00    0.00   22.55
09:04:25 PM    1    0.00    0.00    0.00    0.00    0.00   76.00    0.00    0.00    0.00   24.00
09:04:25 PM    2    0.00    0.00   44.55    0.00    0.00    5.94    0.00    0.00    0.00   49.50
09:04:25 PM    3    0.00    0.00   21.21    0.00    0.00   13.13    0.00    0.00    0.00   65.66
09:04:25 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:04:25 PM    5    0.00    0.00    5.10    0.00    0.00    1.02    0.00    0.00    0.00   93.88
09:04:25 PM    6    0.00    0.00    7.84    0.00    0.00    3.92    0.00    0.00    0.00   88.24
09:04:25 PM    7    0.00    0.00   15.15    0.00    0.00   12.12    0.00    0.00    0.00   72.73

09:04:25 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:04:26 PM  all    0.13    0.00    9.17    0.00    0.25   22.11    0.00    0.00    0.00   68.34
09:04:26 PM    0    1.01    0.00    1.01    0.00    0.00   83.84    0.00    0.00    0.00   14.14
09:04:26 PM    1    0.00    0.00    0.00    0.00    0.99   37.62    0.00    0.00    0.00   61.39
09:04:26 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:04:26 PM    3    0.00    0.00   21.21    0.00    0.00   25.25    0.00    0.00    0.00   53.54
09:04:26 PM    4    0.00    0.00   13.13    0.00    1.01   14.14    0.00    0.00    0.00   71.72
09:04:26 PM    5    0.00    0.00   10.00    0.00    0.00   11.00    0.00    0.00    0.00   79.00
09:04:26 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:04:26 PM    7    0.00    0.00   28.28    0.00    0.00    5.05    0.00    0.00    0.00   66.67

09:04:26 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:04:27 PM  all    0.12    0.00   11.40    0.00    0.25   22.06    0.00    0.00    0.00   66.17
09:04:27 PM    0    0.98    0.00    0.98    0.00    0.98   66.67    0.00    0.00    0.00   30.39
09:04:27 PM    1    0.00    0.00    0.99    0.00    0.00   73.27    0.00    0.00    0.00   25.74
09:04:27 PM    2    0.00    0.00    6.93    0.00    0.00    3.96    0.00    0.00    0.00   89.11
09:04:27 PM    3    0.00    0.00   12.75    0.00    0.98   12.75    0.00    0.00    0.00   73.53
09:04:27 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:04:27 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:04:27 PM    6    0.00    0.00   16.16    0.00    0.00   12.12    0.00    0.00    0.00   71.72
09:04:27 PM    7    0.00    0.00   53.47    0.00    0.00    6.93    0.00    0.00    0.00   39.60

09:04:27 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:04:28 PM  all    0.00    0.00    9.99    0.00    0.12   28.96    0.00    0.00    0.00   60.92
09:04:28 PM    0    0.00    0.00    1.00    0.00    0.00   70.00    0.00    0.00    0.00   29.00
09:04:28 PM    1    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00
09:04:28 PM    2    0.00    0.00    8.91    0.00    0.00    7.92    0.00    0.00    0.00   83.17
09:04:28 PM    3    0.00    0.00   12.00    0.00    0.00   14.00    0.00    0.00    0.00   74.00
09:04:28 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:04:28 PM    5    0.00    0.00   33.00    0.00    0.00   22.00    0.00    0.00    0.00   45.00
09:04:28 PM    6    0.00    0.00   16.83    0.00    0.99   12.87    0.00    0.00    0.00   69.31
09:04:28 PM    7    0.00    0.00    8.00    0.00    0.00    6.00    0.00    0.00    0.00   86.00

09:04:28 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:04:29 PM  all    0.00    0.00   11.22    0.00    0.25   27.31    0.00    0.00    0.00   61.22
09:04:29 PM    0    0.00    0.00    0.00    0.00    1.00   74.00    0.00    0.00    0.00   25.00
09:04:29 PM    1    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
09:04:29 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:04:29 PM    3    0.00    0.00   27.00    0.00    0.00   18.00    0.00    0.00    0.00   55.00
09:04:29 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:04:29 PM    5    0.00    0.00   14.85    0.00    0.00   15.84    0.00    0.00    0.00   69.31
09:04:29 PM    6    0.00    0.00   37.00    0.00    0.00    3.00    0.00    0.00    0.00   60.00
09:04:29 PM    7    0.00    0.00   11.00    0.00    0.00    9.00    0.00    0.00    0.00   80.00

09:04:29 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
