Linux 7.2.0-rc1 (hp5) 	07/11/2026 	_x86_64_	(8 CPU)

08:49:18 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:49:19 PM  all    0.00    0.00   11.79    0.00    0.12   27.54    0.00    0.00    0.00   60.55
08:49:19 PM    0    0.00    0.00    0.00    0.00    0.00   81.00    0.00    0.00    0.00   19.00
08:49:19 PM    1    0.00    0.00    0.00    0.00    0.99   99.01    0.00    0.00    0.00    0.00
08:49:19 PM    2    0.00    0.00   48.48    0.00    0.00    9.09    0.00    0.00    0.00   42.42
08:49:19 PM    3    0.00    0.00   18.45    0.00    0.00   14.56    0.00    0.00    0.00   66.99
08:49:19 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:49:19 PM    5    0.00    0.00   28.00    0.00    0.00   17.00    0.00    0.00    0.00   55.00
08:49:19 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:49:19 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

08:49:19 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:49:20 PM  all    0.00    0.00   11.15    0.00    0.25   25.56    0.00    0.00    0.00   63.03
08:49:20 PM    0    0.00    0.00    0.00    0.00    0.99   73.27    0.00    0.00    0.00   25.74
08:49:20 PM    1    0.00    0.00    0.00    0.00    0.00   77.00    0.00    0.00    0.00   23.00
08:49:20 PM    2    0.00    0.00   29.29    0.00    1.01   27.27    0.00    0.00    0.00   42.42
08:49:20 PM    3    0.00    0.00   14.29    0.00    0.00   13.27    0.00    0.00    0.00   72.45
08:49:20 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:49:20 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:49:20 PM    6    0.00    0.00   46.46    0.00    0.00   13.13    0.00    0.00    0.00   40.40
08:49:20 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

08:49:20 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:49:21 PM  all    0.12    0.00   12.64    0.00    0.12   21.56    0.00    0.00    0.00   65.55
08:49:21 PM    0    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00
08:49:21 PM    1    1.00    0.00    1.00    0.00    0.00   34.00    0.00    0.00    0.00   64.00
08:49:21 PM    2    0.00    0.00   56.00    0.00    0.00   15.00    0.00    0.00    0.00   29.00
08:49:21 PM    3    0.00    0.00   16.00    0.00    1.00   15.00    0.00    0.00    0.00   68.00
08:49:21 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:49:21 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:49:21 PM    6    0.00    0.00   20.39    0.00    0.00    1.94    0.00    0.00    0.00   77.67
08:49:21 PM    7    0.00    0.00    7.69    0.00    0.00    7.69    0.00    0.00    0.00   84.62

08:49:21 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:49:22 PM  all    0.00    0.00   12.86    0.00    0.13   25.98    0.00    0.00    0.00   61.03
08:49:22 PM    0    0.00    0.00    1.00    0.00    0.00   72.00    0.00    0.00    0.00   27.00
08:49:22 PM    1    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
08:49:22 PM    2    0.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   99.00
08:49:22 PM    3    0.00    0.00   19.00    0.00    0.00   12.00    0.00    0.00    0.00   69.00
08:49:22 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:49:22 PM    5    0.00    0.00   39.00    0.00    0.00    0.00    0.00    0.00    0.00   61.00
08:49:22 PM    6    0.00    0.00   31.96    0.00    0.00   16.49    0.00    0.00    0.00   51.55
08:49:22 PM    7    0.00    0.00   12.50    0.00    0.00    6.25    0.00    0.00    0.00   81.25

08:49:22 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:49:23 PM  all    0.00    0.00   11.87    0.00    0.25   27.56    0.00    0.00    0.00   60.32
08:49:23 PM    0    0.00    0.00    0.00    0.00    0.99   60.40    0.00    0.00    0.00   38.61
08:49:23 PM    1    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00
08:49:23 PM    2    0.00    0.00   23.00    0.00    0.00   21.00    0.00    0.00    0.00   56.00
08:49:23 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:49:23 PM    4    0.00    0.00   11.88    0.00    0.00    5.94    0.00    0.00    0.00   82.18
08:49:23 PM    5    0.00    0.00   12.75    0.00    0.00   14.71    0.00    0.00    0.00   72.55
08:49:23 PM    6    0.00    0.00   21.36    0.00    0.97   11.65    0.00    0.00    0.00   66.02
08:49:23 PM    7    0.00    0.00   25.49    0.00    0.00    7.84    0.00    0.00    0.00   66.67

08:49:23 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:49:24 PM  all    0.00    0.00   11.60    0.00    0.25   26.43    0.00    0.00    0.00   61.72
08:49:24 PM    0    0.00    0.00    0.00    0.00    0.00   74.75    0.00    0.00    0.00   25.25
08:49:24 PM    1    0.00    0.00    1.00    0.00    0.00   99.00    0.00    0.00    0.00    0.00
08:49:24 PM    2    0.00    0.00   22.77    0.00    0.99   16.83    0.00    0.00    0.00   59.41
08:49:24 PM    3    0.00    0.00    2.91    0.00    0.00    1.94    0.00    0.00    0.00   95.15
08:49:24 PM    4    0.00    0.00   48.48    0.00    0.00    4.04    0.00    0.00    0.00   47.47
08:49:24 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:49:24 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:49:24 PM    7    0.00    0.00   18.00    0.00    1.00   16.00    0.00    0.00    0.00   65.00

08:49:24 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:49:25 PM  all    0.00    0.00   10.19    0.00    0.38   27.42    0.00    0.00    0.00   62.01
08:49:25 PM    0    0.00    0.00    0.00    0.00    1.00   44.00    0.00    0.00    0.00   55.00
08:49:25 PM    1    0.00    0.00    0.00    0.00    0.99   99.01    0.00    0.00    0.00    0.00
08:49:25 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:49:25 PM    3    0.00    0.00   25.00    0.00    0.00   21.88    0.00    0.00    0.00   53.12
08:49:25 PM    4    0.00    0.00   16.67    0.00    0.00   14.71    0.00    0.00    0.00   68.63
08:49:25 PM    5    0.00    0.00   16.33    0.00    1.02   16.33    0.00    0.00    0.00   66.33
08:49:25 PM    6    0.00    0.00    9.18    0.00    0.00   12.24    0.00    0.00    0.00   78.57
08:49:25 PM    7    0.00    0.00   15.00    0.00    0.00   10.00    0.00    0.00    0.00   75.00

08:49:25 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:49:26 PM  all    0.00    0.00   11.19    0.00    0.00   26.87    0.00    0.00    0.00   61.94
08:49:26 PM    0    0.00    0.00    0.00    0.00    0.00   50.00    0.00    0.00    0.00   50.00
08:49:26 PM    1    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00
08:49:26 PM    2    0.00    0.00   12.00    0.00    0.00   16.00    0.00    0.00    0.00   72.00
08:49:26 PM    3    0.00    0.00   28.43    0.00    0.00   11.76    0.00    0.00    0.00   59.80
08:49:26 PM    4    0.00    0.00    9.09    0.00    0.00    2.02    0.00    0.00    0.00   88.89
08:49:26 PM    5    0.00    0.00    7.84    0.00    0.00    4.90    0.00    0.00    0.00   87.25
08:49:26 PM    6    0.00    0.00    2.97    0.00    0.00    3.96    0.00    0.00    0.00   93.07
08:49:26 PM    7    0.00    0.00   29.00    0.00    0.00   27.00    0.00    0.00    0.00   44.00

08:49:26 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:49:27 PM  all    0.00    0.00   11.74    0.00    0.37   29.59    0.00    0.00    0.00   58.30
08:49:27 PM    0    0.00    0.00    0.00    0.00    0.00   70.00    0.00    0.00    0.00   30.00
08:49:27 PM    1    0.00    0.00    0.00    0.00    0.99   99.01    0.00    0.00    0.00    0.00
08:49:27 PM    2    0.00    0.00   21.00    0.00    0.00   12.00    0.00    0.00    0.00   67.00
08:49:27 PM    3    0.00    0.00   36.00    0.00    1.00   23.00    0.00    0.00    0.00   40.00
08:49:27 PM    4    0.00    0.00   25.00    0.00    1.00   24.00    0.00    0.00    0.00   50.00
08:49:27 PM    5    0.00    0.00   12.12    0.00    0.00    8.08    0.00    0.00    0.00   79.80
08:49:27 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:49:27 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

08:49:27 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:49:28 PM  all    0.00    0.00   12.24    0.00    0.12   26.08    0.00    0.00    0.00   61.56
08:49:28 PM    0    0.00    0.00    0.00    0.00    0.99   99.01    0.00    0.00    0.00    0.00
08:49:28 PM    1    0.00    0.00    0.00    0.00    0.00   71.00    0.00    0.00    0.00   29.00
08:49:28 PM    2    0.00    0.00   37.00    0.00    0.00    6.00    0.00    0.00    0.00   57.00
08:49:28 PM    3    0.00    0.00    3.92    0.00    0.00    0.98    0.00    0.00    0.00   95.10
08:49:28 PM    4    0.00    0.00   25.49    0.00    0.00   19.61    0.00    0.00    0.00   54.90
08:49:28 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:49:28 PM    6    0.00    0.00   21.78    0.00    0.00    8.91    0.00    0.00    0.00   69.31
08:49:28 PM    7    0.00    0.00    9.71    0.00    0.00    3.88    0.00    0.00    0.00   86.41

08:49:28 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:49:29 PM  all    0.00    0.00   10.33    0.00    0.25   26.83    0.00    0.00    0.00   62.59
08:49:29 PM    0    0.00    0.00    1.00    0.00    0.00   73.00    0.00    0.00    0.00   26.00
08:49:29 PM    1    0.00    0.00    0.00    0.00    0.00   74.75    0.00    0.00    0.00   25.25
08:49:29 PM    2    0.00    0.00   27.00    0.00    1.00   29.00    0.00    0.00    0.00   43.00
08:49:29 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:49:29 PM    4    0.00    0.00    9.09    0.00    0.00    5.05    0.00    0.00    0.00   85.86
08:49:29 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:49:29 PM    6    0.00    0.00   18.37    0.00    0.00   15.31    0.00    0.00    0.00   66.33
08:49:29 PM    7    0.00    0.00   27.55    0.00    1.02   17.35    0.00    0.00    0.00   54.08

08:49:29 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:49:30 PM  all    0.00    0.00   12.16    0.00    0.37   26.43    0.00    0.00    0.00   61.04
08:49:30 PM    0    0.00    0.00    0.00    0.00    0.99   65.35    0.00    0.00    0.00   33.66
08:49:30 PM    1    0.00    0.00    0.00    0.00    0.99   99.01    0.00    0.00    0.00    0.00
