Linux 7.2.0-rc1 (hp5) 	07/11/2026 	_x86_64_	(8 CPU)

08:43:27 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:43:28 PM  all    0.00    0.00   12.56    0.00    0.13   24.87    0.00    0.00    0.00   62.44
08:43:28 PM    0    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00
08:43:28 PM    1    0.00    0.00    0.00    0.00    0.00   56.00    0.00    0.00    0.00   44.00
08:43:28 PM    2    0.00    0.00    5.10    0.00    0.00    7.14    0.00    0.00    0.00   87.76
08:43:28 PM    3    0.00    0.00   33.66    0.00    0.00    4.95    0.00    0.00    0.00   61.39
08:43:28 PM    4    0.00    0.00   20.41    0.00    0.00   14.29    0.00    0.00    0.00   65.31
08:43:28 PM    5    0.00    0.00   31.31    0.00    0.00    9.09    0.00    0.00    0.00   59.60
08:43:28 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:43:28 PM    7    0.00    0.00   10.10    0.00    1.01    7.07    0.00    0.00    0.00   81.82

08:43:28 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:43:29 PM  all    0.00    0.00   10.21    0.00    0.12   26.15    0.00    0.00    0.00   63.51
08:43:29 PM    0    0.00    0.00    0.00    0.00    0.00   84.85    0.00    0.00    0.00   15.15
08:43:29 PM    1    0.00    0.00    0.00    0.00    0.99   76.24    0.00    0.00    0.00   22.77
08:43:29 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:43:29 PM    3    0.00    0.00   12.87    0.00    0.00   13.86    0.00    0.00    0.00   73.27
08:43:29 PM    4    0.00    0.00   12.00    0.00    0.00   14.00    0.00    0.00    0.00   74.00
08:43:29 PM    5    0.00    0.00   46.00    0.00    0.00   10.00    0.00    0.00    0.00   44.00
08:43:29 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:43:29 PM    7    0.00    0.00   10.78    0.00    0.00   10.78    0.00    0.00    0.00   78.43

08:43:29 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:43:30 PM  all    0.00    0.00   10.21    0.00    0.37   26.28    0.00    0.00    0.00   63.14
08:43:30 PM    0    0.00    0.00    0.00    0.00    0.99   50.50    0.00    0.00    0.00   48.51
08:43:30 PM    1    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00
08:43:30 PM    2    0.00    0.00   24.75    0.00    0.99   14.85    0.00    0.00    0.00   59.41
08:43:30 PM    3    0.00    0.00   13.13    0.00    0.00   14.14    0.00    0.00    0.00   72.73
