pair,scenario,cell,rep,sysctl,dur_s,pkt_size,threads,scenario_iface,scenario_mac,pps_sent,pps_recv,cycles,instructions,branches,branch_misses,cycles_per_pkt,ins_per_pkt,branch_miss_per_pkt,recv_sys_pct,recv_soft_pct,rps,rfs,cake,flower,kernel_has_sysctl,status
hp2-hp5,eth_ip,cell-01,1,0,60,64,2,enp1s0f0np0,f8:f2:1e:38:ab:80,4352973,3182945,552905628494,525971158532,96660080168,151968398,2895.15,2754.11,0.7957,11.68,28.01,1,1,1,1,yes,ok
hp2-hp5,eth_ip,cell-01,2,0,60,64,2,enp1s0f0np0,f8:f2:1e:38:ab:80,4238254,3094337,538970675308,518643300717,95270206924,147196001,2902.99,2793.51,0.7928,11.47,26.81,1,1,1,1,yes,ok
hp2-hp5,eth_ip,cell-01,3,0,60,64,2,enp1s0f0np0,f8:f2:1e:38:ab:80,4246064,3075915,542874512156,517320377420,95015041799,148695216,2941.53,2803.07,0.8057,11.67,26.95,1,1,1,1,yes,ok
hp2-hp5,eth_ip,cell-02,1,1,60,64,2,enp1s0f0np0,f8:f2:1e:38:ab:80,4251856,3130880,541015654916,511713279092,94056938800,147268313,2880.00,2724.01,0.7840,11.48,27.73,1,1,1,1,yes,ok
hp2-hp5,eth_ip,cell-02,2,1,60,64,2,enp1s0f0np0,f8:f2:1e:38:ab:80,4217558,3083084,542897059130,516595987848,94911863923,149077523,2934.82,2792.64,0.8059,11.56,27.32,1,1,1,1,yes,ok
hp2-hp5,eth_ip,cell-02,3,1,60,64,2,enp1s0f0np0,f8:f2:1e:38:ab:80,4212476,3095642,525240610401,504614982658,92735503163,142808051,2827.85,2716.80,0.7689,11.26,26.62,1,1,1,1,yes,ok
hp2-hp5,vlan,cell-01,1,0,60,64,2,vlan100,f8:f2:1e:38:ab:80,4239559,3315801,513329663596,505632572360,92784458901,141952774,2580.22,2541.53,0.7135,10.65,27.11,1,1,1,1,yes,ok
hp2-hp5,vlan,cell-01,2,0,60,64,2,vlan100,f8:f2:1e:38:ab:80,4235707,3130239,547955596734,520144346016,95383101142,148239546,2917.54,2769.46,0.7893,11.62,27.60,1,1,1,1,yes,ok
hp2-hp5,vlan,cell-01,3,0,60,64,2,vlan100,f8:f2:1e:38:ab:80,4206846,3176541,525845736905,507357639981,93059439339,142086613,2759.01,2662.00,0.7455,11.09,27.19,1,1,1,1,yes,ok
hp2-hp5,vlan,cell-02,1,1,60,64,2,vlan100,f8:f2:1e:38:ab:80,4201287,3186010,532530596458,516980288573,94826922458,146672996,2785.78,2704.43,0.7673,11.23,27.23,1,1,1,1,yes,ok
hp2-hp5,vlan,cell-02,2,1,60,64,2,vlan100,f8:f2:1e:38:ab:80,4227815,3153612,534482686152,515688556262,94544993679,144639442,2824.71,2725.39,0.7644,11.33,27.15,1,1,1,1,yes,ok
hp2-hp5,vlan,cell-02,3,1,60,64,2,vlan100,f8:f2:1e:38:ab:80,4225294,3175515,518912110105,506817591028,92907333604,142945372,2723.51,2660.03,0.7502,11.17,26.31,1,1,1,1,yes,ok
hp2-hp5,qinq,cell-01,1,0,60,64,2,cvlan100,f8:f2:1e:38:ab:80,4198526,3164825,522946147899,506184064885,92839982022,144370370,2753.95,2665.68,0.7603,11.06,26.77,1,1,1,1,yes,ok
hp2-hp5,qinq,cell-01,2,0,60,64,2,cvlan100,f8:f2:1e:38:ab:80,4228026,3112431,548511701535,520248456903,95400140770,151987411,2937.21,2785.86,0.8139,11.48,27.66,1,1,1,1,yes,ok
hp2-hp5,qinq,cell-01,3,0,60,64,2,cvlan100,f8:f2:1e:38:ab:80,4200807,3202534,530785181945,511898282018,93891222831,147803947,2762.32,2664.03,0.7692,11.13,27.40,1,1,1,1,yes,ok
hp2-hp5,qinq,cell-02,1,1,60,64,2,cvlan100,f8:f2:1e:38:ab:80,4202857,3116934,527806752751,508222931495,93208670717,144964795,2822.25,2717.54,0.7751,11.18,26.90,1,1,1,1,yes,ok
hp2-hp5,qinq,cell-02,2,1,60,64,2,cvlan100,f8:f2:1e:38:ab:80,4197620,3047955,539216037835,516228931969,94627422595,147964555,2948.51,2822.82,0.8091,11.46,26.81,1,1,1,1,yes,ok
hp2-hp5,qinq,cell-02,3,1,60,64,2,cvlan100,f8:f2:1e:38:ab:80,4196791,3117571,533752092797,514454773923,94303368084,147038112,2853.46,2750.30,0.7861,11.43,26.81,1,1,1,1,yes,ok
hp2-hp5,vxlan,cell-01,1,0,60,64,2,vxlan10,be:28:4e:2e:06:bc,0,0,1584927,1167281,234025,6029,93231.00,68663.59,354.6471,0.02,0.00,1,1,1,1,yes,overlay-unsupported
hp2-hp5,vxlan,cell-01,2,0,60,64,2,vxlan10,be:28:4e:2e:06:bc,0,0,1697827,1207746,238439,5578,565942.33,402582.00,1859.3333,0.02,0.00,1,1,1,1,yes,overlay-unsupported
hp2-hp5,vxlan,cell-01,3,0,60,64,2,vxlan10,be:28:4e:2e:06:bc,0,0,1347560,998879,194063,4463,449186.67,332959.67,1487.6667,0.02,0.00,1,1,1,1,yes,overlay-unsupported
hp2-hp5,vxlan,cell-02,1,1,60,64,2,vxlan10,be:28:4e:2e:06:bc,0,0,1520894,1131457,224510,4556,506964.67,377152.33,1518.6667,0.02,0.00,1,1,1,1,yes,overlay-unsupported
hp2-hp5,vxlan,cell-02,2,1,60,64,2,vxlan10,be:28:4e:2e:06:bc,0,0,1058226,867957,169970,3372,352742.00,289319.00,1124.0000,0.02,0.00,1,1,1,1,yes,overlay-unsupported
hp2-hp5,vxlan,cell-02,3,1,60,64,2,vxlan10,be:28:4e:2e:06:bc,0,0,1340387,995933,194882,4957,446795.67,331977.67,1652.3333,0.02,0.01,1,1,1,1,yes,overlay-unsupported
hp2-hp5,mpls,cell-01,1,0,60,64,2,lo,f8:f2:1e:38:ab:80,4230426,3126875,533923013747,506651894696,92911760115,145270516,2845.88,2700.52,0.7743,11.40,27.54,1,1,1,1,yes,ok
hp2-hp5,mpls,cell-01,2,0,60,64,2,lo,f8:f2:1e:38:ab:80,4215097,3135503,544707181014,523334147826,95972510857,148920490,2895.37,2781.77,0.7916,11.43,27.43,1,1,1,1,yes,ok
hp2-hp5,mpls,cell-01,3,0,60,64,2,lo,f8:f2:1e:38:ab:80,4191913,3111973,518155380224,495937486014,90941769488,141047479,2775.06,2656.07,0.7554,11.03,26.42,1,1,1,1,yes,ok
hp2-hp5,mpls,cell-02,1,1,60,64,2,lo,f8:f2:1e:38:ab:80,4200117,3106594,533380896716,506305626026,92860944443,144471664,2861.55,2716.30,0.7751,11.32,27.26,1,1,1,1,yes,ok
hp2-hp5,mpls,cell-02,2,1,60,64,2,lo,f8:f2:1e:38:ab:80,4193279,2946289,554341529744,515305751662,94489454449,148443705,3135.82,2915.00,0.8397,11.80,27.54,1,1,1,1,yes,ok
hp2-hp5,mpls,cell-02,3,1,60,64,2,lo,f8:f2:1e:38:ab:80,4205325,3079518,530551481234,512801422694,93994001546,144986262,2871.40,2775.33,0.7847,11.41,26.47,1,1,1,1,yes,ok
hp2-hp5,ipip,cell-01,1,0,60,64,2,ipip0,f8:f2:1e:38:ab:80,4224877,3053745,546348008144,515431107693,94503208281,146759548,2981.85,2813.11,0.8010,11.60,27.30,1,1,1,1,yes,ok
hp2-hp5,ipip,cell-01,2,0,60,64,2,ipip0,f8:f2:1e:38:ab:80,4204401,3056084,532405392451,508609893829,93238672587,143835536,2903.53,2773.76,0.7844,11.37,26.59,1,1,1,1,yes,ok
hp2-hp5,ipip,cell-01,3,0,60,64,2,ipip0,f8:f2:1e:38:ab:80,4199599,3110908,539884463631,517327391024,94852521397,148208705,2892.43,2771.58,0.7940,11.47,27.11,1,1,1,1,yes,ok
hp2-hp5,ipip,cell-02,1,1,60,64,2,ipip0,f8:f2:1e:38:ab:80,4187598,3109338,527552411266,503128833658,92233192901,145031257,2827.78,2696.87,0.7774,11.21,26.87,1,1,1,1,yes,ok
hp2-hp5,ipip,cell-02,2,1,60,64,2,ipip0,f8:f2:1e:38:ab:80,4192262,3135363,540454107836,508211861713,93203893704,147740964,2872.89,2701.50,0.7853,11.39,27.66,1,1,1,1,yes,ok
hp2-hp5,ipip,cell-02,3,1,60,64,2,ipip0,f8:f2:1e:38:ab:80,4197497,3215946,509195673935,492738764558,90358705679,139408721,2638.91,2553.62,0.7225,10.78,26.67,1,1,1,1,yes,ok
hp2-hp5,gre,cell-01,1,0,60,64,2,gretest0,f8:f2:1e:38:ab:80,4196678,3270805,523194693602,498102995265,91381431738,144612115,2665.98,2538.13,0.7369,10.73,27.71,1,1,1,1,yes,ok
hp2-hp5,gre,cell-01,2,0,60,64,2,gretest0,f8:f2:1e:38:ab:80,4219795,3152351,517905573983,492492025785,90311345620,142272127,2738.20,2603.83,0.7522,10.93,26.90,1,1,1,1,yes,ok
hp2-hp5,gre,cell-01,3,0,60,64,2,gretest0,f8:f2:1e:38:ab:80,4190321,3201509,528691997339,499544866167,91631609923,145751946,2752.31,2600.57,0.7588,10.90,27.60,1,1,1,1,yes,ok
hp2-hp5,gre,cell-02,1,1,60,64,2,gretest0,f8:f2:1e:38:ab:80,4203041,3149188,519198471427,498400185163,91393785494,144105103,2747.79,2637.72,0.7627,10.98,26.63,1,1,1,1,yes,ok
hp2-hp5,gre,cell-02,2,1,60,64,2,gretest0,f8:f2:1e:38:ab:80,4200240,3217688,521131878922,501006058554,91880605111,145571445,2699.31,2595.06,0.7540,10.84,27.03,1,1,1,1,yes,ok
hp2-hp5,gre,cell-02,3,1,60,64,2,gretest0,f8:f2:1e:38:ab:80,4201099,3171244,538649598832,509191532962,93396963965,148731799,2830.91,2676.09,0.7817,11.12,27.68,1,1,1,1,yes,ok
hp2-hp5,geneve,cell-01,1,0,60,64,2,geneve10,8a:25:9f:c7:d9:7d,0,0,1495808,1002597,198819,4677,93488.00,62662.31,292.3125,0.02,0.00,1,1,1,1,yes,overlay-unsupported
hp2-hp5,geneve,cell-01,2,0,60,64,2,geneve10,8a:25:9f:c7:d9:7d,0,0,1838713,1322392,257212,4911,612904.33,440797.33,1637.0000,0.02,0.00,1,1,1,1,yes,overlay-unsupported
hp2-hp5,geneve,cell-01,3,0,60,64,2,geneve10,8a:25:9f:c7:d9:7d,0,0,1539380,1047549,207574,4964,513126.67,349183.00,1654.6667,0.02,0.00,1,1,1,1,yes,overlay-unsupported
hp2-hp5,geneve,cell-02,1,1,60,64,2,geneve10,8a:25:9f:c7:d9:7d,0,0,1155074,798437,156226,2972,385024.67,266145.67,990.6667,0.01,0.01,1,1,1,1,yes,overlay-unsupported
hp2-hp5,geneve,cell-02,2,1,60,64,2,geneve10,8a:25:9f:c7:d9:7d,0,0,1320246,1034676,205102,4179,440082.00,344892.00,1393.0000,0.02,0.01,1,1,1,1,yes,overlay-unsupported
hp2-hp5,geneve,cell-02,3,1,60,64,2,geneve10,8a:25:9f:c7:d9:7d,0,0,2197943,1542155,294905,5744,732647.67,514051.67,1914.6667,0.02,0.00,1,1,1,1,yes,overlay-unsupported
